SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
O-10-01-02  1-21-2010 Include 4
O-10-02-04  2-19-2010 Include 4
O-10-04-07  4-22-2010 Include 4
O-10-04-09  4-22-2010 Include 4
O-10-04-10  4-22-2010 Include 4
O-10-04-11  4-22-2010 Include 4
O-10-04-12  4-22-2010 Include 4
O-10-04-13  4-22-2010 Include 4
O-10-05-15  5-20-2010 Include 4
O-10-05-16  5-20-2010 Include 4
O-10-05-17  5-20-2010 Include 4
O-10-05-18  5-20-2010 Include 4
O-10-05-19  5-20-2010 Include 4
O-10-06-20  6-24-2010 Include 4
O-10-06-21  6-24-2010 Include 4
O-10-07-23  7-22-2010 Include 4
O-10-08-24  8-19-2010 Include 4
O-10-08-25  8-19-2010 Include 4
O-10-08-26  8-19-2010 Include 4
O-10-08-27  8-19-2010 Include 4
O-10-09-31  9-20-2010 Include 4
O-10-11-40 11-18-2010 Include 4
O-10-11-42 11-18-2010 Include 4
O-10-12-43 12-16-2010 Include 4
O-11-05-04  5-19-2011 Include 5
O-11-08-14  8-18-2011 Include 5
O-11-08-15  8-18-2011 Include 5
O-11-09-18  9-22-2011 Include 5
O-11-11-24 11-17-2011 Include 5
O-11-11-25 11-17-2011 Include 5
O-11-12-31 12-15-2011 Include 5
O-11-12-34 12-15-2011 Include 5
O-12-01-01  1-19-2012 Include 6
O-12-02-02  2-23-2012 Include 6
O-12-02-03  2-23-2012 Include 6
O-12-03-06  3-22-2012 Include 6
O-12-03-08  3-22-2012 Include 6
O-12-04-08  4-19-2012 Include 6
O-12-04-09  4-19-2012 Include 6
O-12-04-11  4-19-2012 Include 6
O-2012-13  5-24-2012 Include 6
O-2012-14  5-24-2012 Include 6
O-2012-17  5-24-2012 Include 6
O-2012-18  5-24-2012 Include 6
O-2012-19  7-19-2012 Include 6
O-2012-21  7-19-2012 Include 6
O-2012-26 10-18-2012 Include 6
O-2012-29 12-20-2012 Include 6
O-2012-31 12-20-2012 Include 6
O-2013-3  2-21-2013 Include 7
O-2013-4  2-21-2013 Include 7
O-2013-6  1-17-2013 Include 7
O-2013-10  4-18-2013 Include 7
O-2013-19  7-18-2013 Include 7
O-2013-20  7-18-2013 Include 7
O-2013-21  7-18-2013 Include 7
O-2013-24  9-19-2013 Include 7
O-2013-25  8-22-2013 Include 7
O-2013-29 10-24-2013 Include 7
O-2013-31 11-21-2013 Include 7
O-2014-8  3-20-2014 Include 8
O-2014-16  9-18-2014 Include 8
O-2014-17 10-20-2014 Include 8
O-2014-20 10-20-2014 Include 8
O-2014-21 12-18-2014 Include 8
O-2014-26 11-20-2014 Include 8
O-2015-7  4-15-2015 Include 9
O-2015-8  3-19-2015 Include 9
O-2015-9  6-18-2015 Include 9
O-2015-10  6-18-2015 Include 9
O-2015-12  7-23-2015 Include 9
O-2015-14  7-23-2015 Include 9
O-2015-15  7-23-2015 Include 9
O-2015-17 10-22-2015 Include 9
O-2015-18 11-19-2015 Include 9
O-2015-19 12-17-2015 Include 9
O-2016-1  3-24-2016 Include 10
O-2016-4  7-21-2016 Include 10
O-2016-7 12-22-2016 Include 10
O-2017-3  3-23-2017 Include 11
O-2017-4  4-20-2017 Include 11
O-2017-5  6-22-2017 Include 11
O-2017-6  6-22-2017 Include 11
O-2017-8  7-20-2017 Include 11
O-2017-9  9-21-2017 Include 11
O-2017-11 10-19-2017 Include 11
O-2017-12 10-19-2017 Include 11
O-2017-14 12-21-2017 Include 11
O-2018-3  5-24-2018 Include 12
O-2018-6 12-20-2018 Include 12
O-2019-3  7-18-2019 Include 12
O-2019-4  8-22-2019 Include 12
A-2019-25  9-19-2019 Include 12
O-2019-6 11-21-2019 Include 12
O-2019-7 11-21-2019 Include 12
O-2019-8 12-19-2019 Include 12
O-2020-2  1-23-2020 Omit 13
O-2020-4  1-23-2020 Include 13
O-2020-6  3-19-2020 Include 13
O-2020-7  3-30-2020 Omit 13
O-2020-9  4-23-2020 Omit 13
O-2020-10  7-23-2020 Include 13
O-2020-12  8-20-2020 Include 13
O-2020-13  8-20-2020 Include 13
O-2020-15  9-24-2020 Include 13
O-2020-22 11-19-2020 Include 14
O-2020-23 11-19-2020 Include 14
O-2020-24 12-17-2020 Omit 14
O-2021-1  1-21-2021 Include 14
O-2021-4  3-18-2021 Include 14
O-2021-6  5-20-2021 Include 14
O-2021-7  7-22-2021 Include 14
O-2021-10  6-24-2021 Omit 14
O-2021-11  7-22-2021 Include 14
O-2021-12  7-22-2021 Include 14
O-2021-13  7-22-2021 Omit 14
O-2021-14  8-19-2021 Include 14
O-2021-15  9-23-2021 Include 14
O-2021-16  8-19-2021 Omit 14
O-2021-18 12-18-2021 Omit 14
