SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date Adopted Include/Omit
Supp. No. 1
H.B. 836  3-19-2001 Include
8182011-01  8-18-2011 Include (Recodified)
20111020-01 10-20-2011 Include
20111020-02 10-20-2011 Include
20111215-01 12-15-2011 Include
20111215-02 12-15-2011 Include
2012-01  2-16-2012 Omit
2012-02  3-15-2012 Include
Supp. No. 2
20050303  3- 3-2005 Include
20101216-C 12-16-2010 Include
20110616-01  6-16-2011 Include
20110616-03  6-16-2011 Include
2012-03  4-19-2012 Include
2012-04  4-19-2012 Include
2012-08  7-19-2012 Include
2012-09  7-19-2012 Include
Supp. No. 3
2012-07  8- 2-2012 Include
2012-11  8-16-2012 Include
2012-12  8-16-2012 Include
2012-13 10-18-2012 Include
Supp. No. 4
2012-18 12-20-2012 Omit
2013-01  1- 3-2013 Include
2013-04  1-17-2013 Include
2013-05  1-17-2013 Include
2013-07  2-21-2013 Include
Supp. No. 5
2013-11  6-20-2013 Include
2013-16 10-17-2013 Include
Supp. No. 6
2014-01  2-20-2014 Omit
2014-02  2-20-2014 Omit
2014-03  2-20-2014 Include
2014-05  3-20-2014 Include
2014-06  3-20-2014 Include
2014-07  3-20-2014 Include
2014-08  3-20-2014 Include
Supp. No. 7
2014-12  6-19-2014 Include
2014-15  7-17-2014 Include
2014-18  8-21-2014 Include
2014-21 10-16-2014 Include
Supp. No. 8
2015-03  3-19-2015 Include
2015-04  3-19-2015 Include
2015-05  3-19-2015 Include
Supp. No. 9
2014-18  8-21-2014 Include
Supp. No. 10
2015-09  4-16-2015 Include
2015-10  5-21-2015 Include
2015-11  6-18-2015 Include
2015-13  8-20-2015 Include
2015-18 11-19-2015 Include
2015-19 12-17-2015 Include
2016-01  1-21-2016 Include
Supp. No. 11
2016-04  4-21-2016 Include
2016-05  4-21-2016 Omit
2016-07  5-19-2016 Include
2016-09  6-16-2016 Include
2016-10  6-16-2016 Include
2016-11  6-16-2016 Include
2016-12  6-16-2016 Include
Supp. No. 12
2016-13  8-18-2016 Include
2016-14  8-18-2016 Include
2016-15  8-18-2016 Include
2016-16  8-18-2016 Include
2016-17  8-18-2016 Include
2016-18  8-18-2016 Include
2016-19  8-18-2016 Include
2016-20  9-15-2016 Include
2016-21  9-15-2016 Include
Supp. No. 13
20030502  5- 1-2003 Include
2016-23 12-15-2016 Include
2017-01  1-19-2017 Include
2017-02  3-16-2017 Include
2017-03  3-16-2017 Include
2017-04  3-16-2017 Include
2017-05  3-16-2017 Include
2017-07  3-16-2017 Include
2017-08  4-20-2017 Include
Supp. No. 14
2017-0615  6-15-2017 Include
2017-0615-01  6-15-2017 Include
2017-0803  8- 3-2017 Include
2017-0817-2  8-17-2017 Include
Supp. No. 15
2017-0921  9-21-2017 Include
2017-0921-01  9-21-2017 Include
2017-1019 10-19-2017 Include
Supp. No. 16
2018-0419-01  4-19-2018 Include
2018-0517-01  5-17-2018 Include
2018-0517-04  5-17-2018 Include
2018-0621-01  6-21-2018 Include
2018-0719-01  7-19-2018 Include
Supp. No. 17
2018-0920-01  9-20-2018 Include
2018-0920-02  9-20-2018 Include
2018-0920-03  9-20-2018 Include
Supp. No. 18
2018-0621-02 11- 6-2018 Include
2018-1220-01 12-20-2018 Omit
2018-1220-02 12-20-2018 Omit
2018-1220-03 12-20-2018 Omit
2018-1220-04 12-20-2018 Include
2018-1220-05 12-20-2018 Omit
2018-1220-06 12-20-2018 Include
2019-0117-01  1-17-2019 Include
2019-0117-02  1-17-2019 Include
2019-0117-03  1-17-2019 Include
2019-0117-04  1-17-2019 Include
2019-0117-05  1-17-2019 Include
2019-0117-06  1-17-2019 Include
2019-0117-07  1-17-2019 Include
2019-0117-08  1-17-2019 Include
2019-0117-09  1-17-2019 Include
Supp. No. 19
2019-0221-01  2-21-2019 Omit
2019-0221-03  2-21-2019 Omit
2019-0321-01  3-21-2019 Include
2019-0321-02  3-21-2019 Include
2019-0404-01  4- 4-2019 Omit
2019-0418-01  4-18-2019 Omit
2019-0418-02  4-18-2019 Include
2019-0516-01  5-16-2019 Include
2019-0516-02  5-16-2019 Include
Supp. No. 20
2019-0620-01  6-20-2019 Include
2019-0725-01  7-25-2019 Omit
2019-0725-02  7-25-2019 Omit
Supp. No. 21
2019-0815-01  8-15-2019 Include
2019-0919-01  9-19-2019 Omit
2019-1017-01 10-17-2019 Omit
2019-1017-02 10-17-2019 Omit
2019-1017-03 10-17-2019 Omit
Supp. No. 22
2019-0815-02  8-15-2019 Include
2019-1121-01 11-21-2019 Omit
2019-1121-02 11-21-2019 Omit
2019-1121-03 11-21-2019 Include
2019-1121-04 11-21-2019 Omit
2019-1219-01 12-19-2019 Omit
2019-1219-02 12-19-2019 Omit
Supp. No. 23
2020-0220-02  2-20-2020 Include
2020-0319-01  3-19-2020 Include
2020-0319-03  3-19-2020 Include
Supp. No. 24
2020-0618-01  6-18-2020 Include
Supp. No. 25
2020-0917-01  9-17-2020 Include
2020-0917-02  9-17-2020 Include
Supp. No. 26
2021-0415-01  4-15-2021 Include
Supp. No. 27
2021-0715-02  7-15-2021 Include
2021-0715-03  7-15-2021 Include
Supp. No. 28
2021-1104-01 11- 4-2021 Include
2021-1118-01 11-18-2021 Include
2021-1118-02 11-18-2021 Include
2021-1118-03 11-18-2021 Include
2021-1216-01 12-16-2021 Include
2021-1216-02 12-16-2021 Include
2021-1216-03 12-16-2021 Include
Supp. No. 29
2022-0317-01  3-17-2022 Include
2022-0317-02  3-17-2022 Include
2022-0317-03  3-17-2022 Include
2022-0421-01  4-21-2022 Include
2022-0421-02  4-21-2022 Include
2022-0421-03  4-21-2022 Include
2022-0421-04  4-21-2022 Include
2022-0421-05  4-21-2022 Include
2022-0421-06  4-21-2022 Include
2022-0421-07  4-21-2022 Include
2022-0421-08  4-21-2022 Include
2022-0421-09  4-21-2022 Include
2022-0421-10  4-21-2022 Include
2022-0421-11  4-21-2022 Include
Supp. No. 30
2022-0616-01  6-16-2022 Include
2022-0616-02  6-16-2022 Include
2022-0616-03  6-16-2022 Include
2022-0616-04  6-16-2022 Include
2022-5 (Res.)  2-17-2022 Include
Supp. No. 31
2022-1020-01  10-20-2022 Include
Supp. No. 32
2023-0202-1  2- 2-2023 Include
2023-0518-1  5-18-2023 Include
2023-0720-2  7-20-2023 Include
