SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
2008-17 12- 1-08 Included 23
2010-05  5-17-10 Included 23
2010-06  5-17-10 Included 23
2010-07  5-17-10 Included 23
2010-10  6- 7-10 Included 23
2010-12  6- 7-10 Included 23
2010-12A  6- 7-10 Included 23
2010-16 10- 4-10 Included 23
2010-18 11-15-10 Included 23
2010-22 12- 6-10 Included 23
2010-23 12- 6-10 Included 23
2010-24  6-21-10 Included 23
2010-25  8-16-10 Included 23
2011-01  1- 3-11 Included 23
2011-02  3- 7-11 Included 23
2010-01  2- 1-10 Included 24
2011-04  4- 4-11 Included 24
2011-07  6-20-11 Included 24
2011-05  6- 6-11 Included 24
2011-06  6- 6-11 Included 24
2011-08  7-18-11 Included 24
2011-09  8-17-11 Included 24
2011-10  9- 6-11 Included 24
2011-12  9-19-11 Included 24
2011-15 10-17-11 Included 24
2011-16 10-17-11 Included 24
2011-17 12-22-11 Included 24
2012-01  1- 3-12 Included 25
2012-04  2- 6-12 Included 25
2012-05  2-20-12 Included 25
2012-07  4- 2-12 Included 25
2012-08  4- 2-12 Included 25
2012-09  4-16-12 Included 25
2010-26 11-15-10 Included 26
2012-10 11- 5-12 Included 26
2012-11  5-15-12 Included 26
2012-12  6-18-12 Included 26
2011-18  8- 1-11 Included 27
2012-13 12- 3-12 Included 27
2013-01  2- 4-13 Included 27
2013-02  2- 4-13 Included 27
2013-03  3- 4-13 Included 27
2013-04  3- 4-13 Included 27
2013-06  3-18-13 Included 27
2013-07  6-17-13 Included 27
2013-10  8-19-13 Included 27
2013-13 11- 4-13 Included 27
2014-01  1- 6-14 Included 28
2014-02  1-21-14 Included 28
2014-03  2- 3-14 Included 28
2014-16 10-21-14 Included 28
2015-01  1- 5-15 Included 28
2014-04  2- 3-14 Included 29
2014-17  7-21-14 Included 29
2014-18  9- 2-14 Included 29
2015-02  4-15-15 Included 29
2015-03  3-16-15 Included 29
2015-04  2- 2-15 Included 29
2015-09  5- 4-15 Included 29
2015-10  6- 1-15 Included 29
2015-12  7-20-15 Included 29
2015-13  8-17-15 Included 29
2015-14  9- 8-15 Omitted 29
2015-15  9-21-15 Included 29
2015-17  6-15-15 Included 29
2015-18  6-15-15 Included 29
2015-19  9-21-15 Included 29
2015-21 11-16-15 Included 29
