CODE COMPARATIVE TABLE - 1982 CODE TO 2017 CODE
This table gives the location within the 2017 Code of sections of the 1982 Code.
EXPAND
1982 Code
Section 2017 Code
§
1-1-1 1-1
1-1-2 1-2
1-1-3 1-3
1-1-4 1-7
1-1-5 1-8
1-1-6 1-9
2-2-1 18-1
2-2-3 18-2
2-2-6 18-3
2-3-1 28-1
2-3-2 28-2
2-3-3 28-3
2-3-4 28-4
2-3-6 28-5
2-3-7 28-6
2-4-4 2-87
2-4-5 2-60
2-4-6 2-61
2-4-7 2-1
2-5-1 2-148
2-5-2 2-149
2-5-3 2-150
2-1-11 2-23
2-1-12 2-24
2-1-13 2-25
2-1-15 2-26
2-1-16 2-27
2-1-17 2-28
2-4-11 2-62
2-4-12 2-63
2-5-12 40-23
2-5-13 40-24
2-5-30.1 40-1
3-1-1 26-19
3-1-2 26-20
3-1-4 26-21
3-2-1 24-21
3-2-2 24-22
3-2-3 24-23
3-2-4 24-1
3-2-22 12-4
3-2-23 24-82
4-1-1 38-25
4-1-2 38-25
4-1-3 38-25
4-1-4 38-26
4-1-5 38-27
4-1-6 38-1
4-1-7 38-2
4-1-8 38-3
4-2-6 36-26
4-2-7 36-27
4-2-8 36-2
5-1-1 44-1
5-1-2 44-2
5-1-3 44-3
5-1-4 44-5
5-1-5 44-5
5-1-6 44-5
5-1-7 44-6
5-1-8 44-8
5-1-9 44-7
5-3-1(1)—(18) 44-85
5-3-2 44-87
5-3-3 44-88
5-3-4 44-89
5-3-5 44-90
5-3-6 44-91
5-3-7 44-92
5-3-8 44-93
5-1-10 44-9
5-1-11 44-10
5-1-12 44-43
5-1-13 44-44
6-1-1 34-19
6-1-2 34-20
6-1-3 34-21
6-2-1 12-2
6-2-2 12-3
6-3-1 46-1
7-2-1 32-2
7-2-2 32-3
7-2-3 32-4
7-2-4 32-5
8-1-1 42-1
8-1-2 42-2
8-1-4 42-3
8-1-5 42-4
8-2-1 42-5
8-2-2 42-6
8-2-3 42-7
8-2-5 42-9
8-3-1 42-41
8-3-6 42-9
9-1-1 30-1
9-1-2 30-2
9-1-3 30-2
9-1-4 22-1
9-1-5 4-1
9-1-6 30-3
9-1-8 42-8
9-2-1 22-21
9-2-2 22-22
9-2-3 22-23
9-2-4 22-24
9-2-5 22-25
9-2-6 22-26
9-1-12(a) 30-56
9-1-12(a) 30-58
9-1-12(b) 30-57
9-3-16 10-214
9-3-65 10-58
