SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
2013-22 11-14-2013 Include 1
2014-02A  6-26-2014 Include 1
2014-03  3-11-2014 Include 1
2014-04  3-11-2014 Include 1
2014-05  3-27-2014 Include 1
2014-06  4-10-2014 Include 1
2014-07  4-24-2014 Include 1
2014-08  4-24-2014 Include 1
2014-09  5- 8-2014 Include 1
2014-10  6-26-2014 Include 1
2014-11  7-10-2014 Include 1
2014-12  8-28-2014 Include 1
2014-13 10-10-2014 Include 1
2014-14 10- 7-2014 Include 1
2014-15 10- 7-2014 Omit 1
2014-16 10-23-2014 Include 1
2014-17 10-23-2014 Include 1
2014-18 11-13-2014 Include 1
2014-19 12-11-2014 Include 1
2014-20 12-11-2014 Include 1
2015-01  1-22-2015 Include 1
2015-02  2-12-2015 Include 1
2015-03  2-26-2015 Include 1
2015-05  3-26-2015 Include 1
2015-06  3-26-2015 Include 1
2015-07  4-23-2015 Include 1
2015-08  6-11-2015 Include 1
2015-10  9-10-2015 Include 1
2015-09  9-24-2015 Include 2
2015-12 10-22-2015 Include 2
2015-13 12-10-2015 Include 2
2015-14 11-12-2015 Include 2
2015-15 12- 1-2015 Include 2
2015-16 12-10-2015 Include 2
2016-01  1-14-2016 Include 2
2016-02  3-10-2016 Include 2
2016-03  1-28-2016 Include 2
2016-04  2-25-2016 Include 2
2016-05  2-25-2016 Include 2
Act No. 314(H.B. 955)  2-29-16 Include 2
2016-06  3-10-2016 Include 2
2016-08  5-12-2016 Include 2
2016-10  8-25-2016 Include 2
2016-11  5-26-2016 Include 2
2016-12  7-28-2016 Include 2
2016-13  7-28-2016 Include 2
2016-14  7-28-2016 Include 2
2016-15  7-28-2016 Include 2
2016-16  8-25-2016 Omit 2
2016-17  8-25-2016 Include 2
2016-18  9-22-2016 Include 2
2016-19  9-22-2016 Omit 2
2016-20 11-10-2016 Include 3
2016-21 11-10-2016 Include 3
2016-22 12- 8-2016 Include 3
2016-23 12- 8-2016 Include 3
2017-04  3-23-2017 Include 3
2017-05  3-23-2017 Include 3
2017-06  3-23-2017 Include 3
2017-07  4-25-2017 Include 3
2017-09  6- 6-2017 Include 4
2017-10  6- 6-2017 Include 4
2017-11  6-22-2017 Include 4
2017-16 10-26-2017 Include 4
2017-17 10-26-2017 Include 4
2017-18 10-26-2017 Omit 4
2018-01  4-24-2018 Include 5
2018-05  3-22-2018 Include 5
2018-06  3-22-2018 Include 5
2018-07  3-22-2018 Include 5
2018-08  4-24-2018 Include 5
2017-03 10-26-2017 Include 6
2018-02  2-22-2018 Include 7
2018-03  9-22-2018 Include 7
2018-10  9-13-2018 Include 7
2018-11 10-25-2018 Include 7
2018-12 10-25-2018 Include 7
2018-13 10-25-2018 Include 7
2019-01  2-28-2019 Include 8
2019-02  2-28-2019 Include 8
2019-03  4-23-2019 Include 8
2019-05  6-13-2019 Include 9
2019-04  6-27-2019 Include 10
2019-06  9-26-2019 Include 10
2019-07 11-14-2019 Include 10
2019-08 11-14-2019 Include 10
2019-09 11-14-2019 Include 10
2020-01  5-28-2020 Include 11
2020-02  5-28-2020 Include 11
2020-03  5-14-2020 Include 11
2020-04  3-31-2020 Omit 11
2020-05  8-27-2020 Include 11
2020-06  8-27-2020 Include 11
2020-07  8-13-2020 Include 11
2020-08 10-22-2020 Include 11
2021-01  1-28-2021 Include 12
2021-02  1-28-2021 Include 12
2021-03  1-28-2021 Include 12
2021-04  1-28-2021 Include 12
2021-05  3-25-2021 Include 12
2021-06  3-25-2021 Include 12
2021-07  4-20-2021 Include 12
2021-09  5-27-2021 Include 12
2021-10  5-27-2021 Include 12
2021-11  4-20-2021 Include 12
2021-12  5-13-2021 Include 12
2020-09 12-10-2020 Include 13
2021-13  9-23-2021 Include 13
2021-14 10-14-2021 Include 13
2021-17 10-14-2021 Include 13
2022-01  2-10-2022 Include 14
2022-02  2-10-2022 Include 14
2022-03  8-25-2022 Include 14
