SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
10-1415  5-10-10 Include 3
10-1416  5-10-10 Include 3
10-1417  7-12-10 Omit 3
10-1418  7-12-10 Omit 3
10-1419  8-23-10 Omit 3
10-1420  9- 2-10 Omit 3
10-1421 10-11-10 Include 3
10-1422 11- 8-10 Omit 3
10-1423 11- 8-10 Omit 3
10-1424 11- 8-10 Omit 3
10-1425 12-13-10 Include 3
10-1426 12-13-10 Include 3
10-1427 12-27-10 Include 3
11-1429  5- 9-11 Include 4
11-1432 11-14-11 Include 4
12-1433  7- 9-12 Omit 5
12-1434  7- 9-12 Omit 5
12-1435  7- 9-12 Omit 5
12-1436  7- 9-12 Include 5
12-1437  9-10-12 Omit 5
12-1438 12-10-12 Omit 5
13-1439  4-22-13 Include 5
13-1440  7- 8-13 Omit 6
13-1441  8-12-13 Omit 6
13-1442  9- 5-13 Omit 6
13-1443  9- 9-13 Include 6
14-1444  1-13-14 Omit 6
14-1445  1-13-14 Omit 6
14-1446  2-10-14 Omit 6
14-1447  3-10-14 Include 6
14-1448  4-14-14 Omit 7
14-1449  4-14-14 Omit 7
14-1450  4-14-14 Include 7
14-1451  8-11-14 Omit 7
14-1452  9- 8-14 Omit 7
14-1453  9- 8-14 Omit 7
14-1454 11-10-14 Omit 7
14-1455 11-10-14 Omit 7
14-1456 11-10-14 Omit 7
14-1457 11-10-14 Omit 7
14-1458 12- 8-14 Omit 7
14-1459  1-12-15 Omit 7
14-1460  1-12-15 Omit 7
14-1461  1-12-15 Omit 7
15-1462  4-13-15 Include 7
15-1463  6- 8-15 Omit 8
15-1464  6- 8-15 Include 8
15-1465  6- 8-15 Omit 8
15-1466  6- 8-15 Omit 8
15-1467 11- 9-15 Omit 8
15-1468  9-14-15 Include 8
15-1470  9-14-15 Omit 8
15-1471 10-12-15 Include 8
15-1472 12-14-15 Omit 8
15-1473 10-12-15 Omit 8
15-1474 10-12-15 Omit 8
15-1475 10-12-15 Omit 8
15-1476 11- 9-15 Omit 8
15-1477 12-14-15 Omit 8
16-1478  1-11-16 Include 8
16-1479  2- 8-16 Omit 8
16-1480  2- 8-16 Omit 8
16-1481  2- 8-16 Omit 8
16-1482  6-13-16 Include 9
16-1483  8- 8-16 Include 9
16-1484  9-12-16 Omit 9
16-1485  9-12-16 Omit 9
16-1486  9-12-16 Include 9
16-1487 10-11-16 Include 9
16-1488 10-11-16 Include 9
16-1489 12-12-16 Include 9
17-1490  1- 9-17 Omit 10
17-1491  5- 8-17 Omit 10
17-1492  1- 9-17 Omit 10
17-1493  1- 9-17 Omit 10
17-1495  5- 8-17 Omit 10
17-1496  7-10-17 Include 10
17-1497  5- 8-17 Omit 10
17-1498  7-10-17 Include 10
17-1499  5- 8-17 Include 10
17-1500  6-12-17 Omit 10
17-1501  7-10-17 Omit 10
17-1502  7-10-17 Omit 10
17-1503  8-14-17 Omit 10
17-1504  9-12-17 Omit 10
17-1505 10- 9-17 Omit 10
17-1506 10- 9-17 Omit 10
17-1507 11-13-17 Omit 10
17-1508 11-27-17 Omit 10
17-1509 11-13-17 Omit 10
17-1510 11-27-17 Omit 10
17-1511 12-11-17 Include 10
18-1512  1-22-18 Omit 10
18-1513  2-12-18 Omit 10
18-1514  4- 9-18 Include 10
18-1515  5-14-18 Include 11
18-1516  8-13-18 Include 11
18-1517  5-14-18 Include 11
18-1518  6-11-18 Omit 11
18-1519  6-11-18 Omit 11
18-1520  6-11-18 Omit 11
18-1523  8-13-18 Include 11
18-1524  9-10-18 Omit 11
18-1526  9-10-18 Include 11
18-1527 10- 8-18 Omit 11
18-1529 11-12-18 Omit 11
19-1530  5-13-19 Omit 12
19-1532  4-8-19 Omit 12
19-1533  8-12-19 Omit 12
19-1534  4- 8-19 Omit 12
19-1535  4- 9-19 Omit 12
19-1536  4- 8-19 Omit 12
19-1537  5-13-19 Include 12
19-1538  5-13-19 Include 12
19-1539  6-10-19 Include 12
19-1540  7-22-19 Omit 12
19-1541  7- 8-19 Omit 12
19-1542  7- 8-19 Include 12
19-1543  7-22-19 Omit 12
19-1544  8-26-19 Include 12
19-1545  9- 9-19 Omit 12
19-1546  9- 9-19 Omit 12
19-1547  9- 9-19 Omit 12
19-1548 11-11-19 Omit 12
19-1549 11-11-19 Include 12
19-1551 12- 9-19 Omit 12
20-1552  2-10-20 Omit 13
20-1553  4-13-20 Omit 13
20-1554  4-13-20 Omit 13
20-1555  6- 8-20 Include 13
20-1556  9-14-20 Omit 13
20-1557  9-14-20 Omit 13
20-1558  9-14-20 Include 13
20-1559 10-12-20 Omit 13
20-1560 11- 9-20 Include 13
