SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
04-2011  4-25-2011 Omit 1
05-2011  5- 9-2011 Include 1
06-2011  7-11-2011 Omit 1
07-2011  7-11-2011 Omit 1
08-2011  7-11-2011 Include 1
09-2011  7-25-2011 Include 1
10-2011  8- 8-2011 Include 1
11-2011  8-22-2011 Include 1
12-2011  9-12-2011 Include 2
13-2011 10-10-2011 Omit 2
14-2011 10-10-2011 Omit 2
15-2011 11-28-2011 Omit 2
01-2012  1- 9-2012 Include 2
02-2012  4- 9-2012 Include 2
03-2012  4-23-2012 Include 2
04-2012  5-14-2012 Include 2
05-2012  6-25-2012 Include 2
06-2012  7-23-2012 Include 2
07-2012  7-23-2012 Include 2
08-2012  8-27-2012 Include 3
09-2012  8-27-2012 Include 3
10-2012  9-24-2012 Include 3
11-2012 11-26-2012 Include 3
12-2012 11-26-2012 Include 3
01-2013  1-14-2013 Include 3
02-2013  2-11-2013 Include 3
03-2013  3-11-2013 Include 3
04-2013  5-13-2013 Include 3
05-2013  6-10-2013 Include 3
06-2013  6-24-2013 Include 3
07-2013  7- 8-2013 Include 4
08-2013 10-28-2013 Include 4
09-2013 10-28-2013 Include 4
10-2013 10-28-2013 Include 4
11-2013 11-25-2013 Include 4
12-2013 11-25-2013 Include 4
13-2013 11-25-2013 Include 4
01-2014  2-10-2014 Include 4
02-2014  2-10-2014 Include 4
03-2014  2-10-2014 Include 4
04-2014  2-24-2014 Include 4
05-2014  6- 9-2014 Include 4
06-2014  6-23-2014 Include 4
03-09-2015(Res.)  3-09-2015 Omit 5
01-2015  6-22-2015 Include 5
02-2015  6-22-2015 Include 5
08-2015  8-10-2015 Include 6
09-2015(1)  9-14-2015 Omit 6
12-2015 12-14-2015 Include 6
2016-01  1-25-2016 Include 7
2016-02  2-22-2016 Include 7
2016-03  3-30-2016 Include 7
09-12-2016(1)  9-12-2016 Omit 7
2016-05 10-10-2016 Include 7
2017-01  5- 8-2017 Include 8
2017-02  8-28-2017 Omit 8
2017-01(Res.)  1-23-2017 Include 9
2017-02(Res)  2-13-2017 Omit 9
2017-03  9-25-2017 Omit 9
2017-03(Res)  3-13-2017 Omit 9
2017-05(Res)  6-12-2017 Omit 9
2017-06(Res)  6-12-2017 Omit 9
2017-07(Res.)  6-12-2017 Omit 9
2017-08(Res)  7-17-2017 Omit 9
2017-09(Res.)  8-14-2017 Omit 9
2018-01  2-26-2018 Omit 9
2018-01(Res.)  2-26-2018 Omit 9
2018-02  7- 9-2018 Include 9
2018-03  7-23-2018 Include 9
2018-03(Res)  5-14-2018 Omit 9
2018-04  8-13-2018 Omit 9
2018-04(Res.)  6-11-2018 Include 9
2018-05(Res.)  7- 9-2018 Include 9
2018-05 10-22-2018 Include 10
2018-06 10-8-2018 Include 10
2018-07(Res.) 10- 8-2018 Omit 10
2018-08(Res.) 10- 8-2018 Omit 10
2018-08  1-28-2019 Include 10
2019-01  2-25-2019 Include 10
2019-03  2-25-2019 Include 10
2019-05  9-23-2019 Include 10
2019-06  6-17-2019 Include 10
2020-02  3-23-2020 Omit 10
2019-08  9-23-2019 Omit 10
2019-09  9-23-2019 Omit 10
2019-10  9-23-2019 Omit 10
2019-11  9-23-2019 Include 10
2019-12 12-16-2019 Include 10
2019-13  1-23-2020 Include 10
2020-01  3-23-2020 Include 10
2020-02  3-23-2020 Omit 10
2020-03  7-27-2020 Omit 12
2020-04  7-27-2020 Include 12
2020-05  8-24-2020 Omit 12
2020-06 12-21-2020 Include 12
2020-07  1-25-2021 Include 12
2021-01  4-26-2021 Omit 12
2021-02  4-26-2021 Omit 12
2021-02  6-28-2021 Include 12
2021-03  7-26-2021 Include 12
2021-03(Res.)  5-24-2021 Omit 12
2021-04  5-24-2021 Omit 12
2021-04  8-23-2021 Omit 12
2021-05  9-27-2021 Omit 12
2021-05  7-26-2021 Omit 12
2021-06  8-23-2021 Omit 12
2021-06  9-27-2021 Omit 12
2021-07  9-27-2021 Omit 12
2021-07  7-26-2021 Omit 12
2021-08  7-26-2021 Omit 12
2021-09  9-27-2021 Omit 12
2021-10 10-25-2021 Omit 12
2021-11 12-20-2021 Omit 12
2021-13(Res.)  7-31-2023 Include 12
2021-14(Res.) 12-20-2021 Omit 12
2022-01  4-25-2022 Omit 12
2022-01  2-28-2022 Include 12
2022-02(Res.)  4-25-2022 Omit 12
2022-03(Res.)  5- 9-2022 Omit 12
2022-04(Res.)  8-22-2022 Omit 12
2022-05 10-24-2022 Omit 12
2022-05  6-20-2022 Include 12
2022-06  8-22-2022 Omit 12
2022-06(Res.) 10-24-2022 Omit 12
2022-07(Res.) 10-24-2022 Omit 12
2022-07  9-26-2022 Omit 12
2022-08  9-26-2022 Omit 12
2022-08(Res.) 11-21-2022 Omit 12
2022-09(Res.) 12-19-2022 Omit 12
2023-01  2-27-2023 Include 12
2023-02  2-27-2023 Include 12
2023-03  2-27-2023 Include 12
2023-04  2-27-2023 Include 12
2023-07  3-27-2023 Include 12
