SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
Adding to this table with each supplement helps users of this Code of Ordinances gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Included/
Omitted Supp. No.
93(Act) Included 1
2013-02(Res.) Omitted 1
2013-03(Res.) Omitted 1
2013-04(Res.) Omitted 1
2013-05(Res.) Omitted 1
2013-06(Res.) Omitted 1
2013-2 Included 1
2013-3 Included 1
2013-4 Omitted 1
2013-5 Included 1
2013-6 Included 1
2013-7 Included 1
2013-8 Included 1
2013-9 Included 2
2013-10 Included 2
2013-12 Included 2
2014-01(Res.) Omitted 2
2014-01 Omitted 2
2014-02 Omitted 2
2014-03 Omitted 2
2014-02 Included 3
2014-03 Omitted 3
2014-04 Omitted 3
2014-05 Included 3
2014-06 Included 3
2014-07 Included 3
2014-09 Included 4
2015-01 Included 4
2015-02 Omitted 4
2015-03 Omitted 4
2015-04 Included 4
2015-05 Omitted 4
2015-06 Included 5
2015-07 Omitted 5
2015-08 Omitted 5
2015-09(Res.) Omitted 5
2015-09 Included 5
2016-01(Res.) Omitted 6
2016-01 Omitted 6
2016-02(Res.) Omitted 6
2016-02 Omitted 6
2016-03(Res.) Omitted 6
2016-03 Omitted 6
2016-04(Res.) Omitted 6
2016-04 Included 6
2016-05(Res.) Omitted 6
2016-06(Res.) Omitted 6
2016-05 Omitted 7
2016-07(Res.) Omitted 7
2016-08(Res.) Omitted 7
2017-1 Included 7
2017-01(Res.) Omitted 7
2017-02 Omitted 7
2017-02(Res.) Omitted 7
2017-03 Omitted 7
2017-04 Omitted 7
2017-05 Included 7
2017-03(Res.) Omitted 8
2017-04(Res.) Omitted 8
2017-05(Res.) Omitted 8
2017-06 Included 8
2017-06(Res.) Omitted 8
2017-07 Omitted 8
2017-08 Omitted 8
2017-09 Included 9
2017-10 Omitted 9
2017-11 Omitted 9
2017-07(Res.) Omitted 9
2017-08(Res.) Omitted 9
2017-09(Res.) Omitted 9
2017-10(Res.) Omitted 9
2017-11(Res.) Omitted 9
2017-12 Omitted 9
2017-13 Omitted 9
2018-01 Omitted 10
2018-01(Res.) Omitted 10
2018-02 Omitted 10
2018-02(Res.) Omitted 10
2018-03 Included 10
2018-03(Res.) Omitted 10
2018-04 Omitted 10
2018-04(Res.) Omitted 10
2018-05 Omitted 10
2018-05(Res.) Omitted 10
2018-06(Res.) Omitted 10
2018-07(Res.) Omitted 10
2018-08(Res.) Omitted 10
2018-09(Res.) Omitted 10
2018-10(Res.) Omitted 10
2018-06 Omitted 11
2018-07 Included 11
2018-08 Included 11
2018-09 Included 11
2018-10 Omitted 11
2018-11 Omitted 11
2018-12 Omitted 11
2018-13(Res.) Omitted 11
2019-01 Omitted 11
2019-02 Omitted 11
2019-03 Included 12
2019-03(Res.) Omitted 12
2019-04 Omitted 12
2019-04(Res.) Omitted 12
2019-05 Omitted 12
2019-05(Res.) Omitted 12
2019-06 Included 12
2019-07 Omitted 12
2019-08 Included 12
2019-06(Res.) Omitted 13
2019-07(Res.) Omitted 13
2019-09 Included 13
2019-10 Omitted 13
2019-11 Included 13
2019-12 Omitted 13
2019-13 Omitted 13
2019-14 Included 13
2019-08(Res.) Omitted 14
2019-15 Included 14
2019-16 Included 14
2019-17 Included 14
2020-01 Omitted 14
2020-02 Omitted 14
2020-03 Included 14
2020-04 Included 14
2020-01(Res.) Omitted 15
2020-05 Omitted 15
2020-06 Included 15
2020-07 Included 15
2020-08 Omitted 15
2020-09 Omitted 15
2020-10 Omitted 15
2020-11 Included 16
2020-12 Included 16
2020-02(Res.) Omitted 16
2020-03(Res.) Omitted 16
2021-01(Res.) Omitted 16
2021-01 Omitted 17
2021-02 Included 17
2021-03 Omitted 17
2021-02(Res.) Omitted 17
2021-04 Omitted 17
2021-05 Included 17
2021-06 Included 17
2021-07 Omitted 17
2021-08 Omitted 17
2021-04(Res.) Omitted 18
2021-05(Res.) Omitted 18
2021-06(Res.) Omitted 18
2022-01 Omitted 18
2022-01(Res.) Omitted 18
2022-02 Omitted 18
2022-02(Res.) Omitted 18
2022-03 Omitted 18
2022-03(Res.) Omitted 18
2022-04 Included 18
2022-05 Included 18
2022-06 Omitted 18
2022-04(Res.) Omitted 19
2022-05(Res.) Omitted 19
2022-07 Included 19
2022-08 Included 19
2022-09 Included 19
2022-10 Included 19
2022-06(Res.) Omitted 19
2022-07(Res.) Omitted 19
2023-01(Res.) Omitted 20
2023-01 Included 20
2023-02(Res.) Omitted 20
2023-02 Omitted 20
2023-03 Omitted 20
2023-03(Res.) Omitted 20
2023-04(Res.) Omitted 20
