SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
10-25 12-14-10 Include 43
10-26 12-14-10 Include 43
10-27 12-28-10 Include 43
10-17  9-28-10 Include 44
10-19 10-26-10 Include 44
10-21 10-26-10 Include 44
10-24 11-23-10 Include 44
11-01  1-25-11 Include 44
11-02  3- 8-11 Include 44
11-03  3- 8-11 Include 44
11-04  3-22-11 Include 44
11-05  3-22-11 Include 44
11-06  4-26-11 Include 44
11-07  4-26-11 Include 44
11-08  5-24-11 Include 44
11-09  5-24-11 Include 44
11-10  6-14-11 Include 45
11-11  6-30-11 Include 45
11-12  7-12-11 Include 45
11-13  9-13-11 Include 46
11-14 10-11-11 Include 46
11-15 10-11-11 Include 46
11-16 10-11-11 Include 46
11-17 10-25-11 Include 46
11-18 10-25-11 Include 46
11-19 11- 8-11 Include 46
11-20 12-13-11 Include 47
11-21 12-27-11 Include 47
12-01  1-10-12 Include 47
12-02  1-10-12 Include 47
12-03  2-28-12 Include 47
12-04  2-28-12 Include 47
12-05  3-13-12 Include 47
12-06  3-13-12 Include 47
12-07  3-27-12 Include 48
12-08  4-10-12 Include 48
12-09  6-26-12 Include 49
12-10  6-26-12 Include 49
12-11  6-26-12 Include 49
12-12  6-26-12 Include 49
12-13  7-10-12 Include 49
12-14  7-24-12 Include 49
12-15  8-28-12 Include 49
12-16  9-25-12 Include 50
12-17  9-25-12 Include 50
12-18 10- 9-12 Include 50
12-19 10-23-12 Include 50
12-20 10-23-12 Include 50
12-21 11-27-12 Include 51
12-22 12-11-12 Include 51
12-23 12-11-12 Include 51
12-24 12-11-12 Include 51
12-25 12-20-12 Include 51
13-02  2-12-13 Include 51
13-03  2-12-13 Include 51
13-04  2-26-13 Include 51
13-05  2-26-13 Include 51
13-06  3-26-13 Include 52
13-07  4- 9-13 Include 52
13-08  6-20-13 Include 53
13-09  8-13-13 Include 53
13-10  8-13-13 Include 53
13-11  8-27-13 Include 54
13-12  9-24-13 Include 54
13-13 11-26-13 Include 55
13-14 12-12-13 Include 55
13-15 11-26-13 Include 55
14-01  2-11-14 Include 55
14-02  2-25-14 Include 55
14-03  3-25-14 Include 56
14-04  3-25-14 Include 56
14-05  3-25-14 Include 56
14-06  4-22-14 Include 56
14-07  5-13-14 Include 57
14-08  5-27-14 Include 57
14-09  6-24-14 Include 57
14-10  8-26-14 Include 57
14-11 10-14-14 Include 58
14-12 10-28-14 Include 58
14-13 10-28-14 Include 58
14-14 11-11-14 Include 58
14-15 11-11-14 Include 58
14-16 12- 9-14 Include 59
14-17 12-16-14 Include 59
15-01  1-27-15 Include 59
15-02  3-24-15 Include 60
15-03  3-24-15 Include 60
15-04  5-26-15 Include 60
15-05  5-26-15 Include 60
15-06  5-26-15 Include 60
15-07  8-11-15 Include 61
15-08  8-11-15 Include 61
15-09  9-22-15 Include 61
15-10 10-13-15 Include 61
15-11 10-27-15 Include 61
15-12 11-24-15 Include 62
15-13 12- 8-15 Include 62
15-14 12- 8-15 Include 62
16-01  3-22-16 Include 63
16-02  3-22-16 Include 63
16-03  3-22-16 Include 63
16-04  4-12-16 Include 63
16-05  4-12-16 Include 63
16-07  4-26-16 Include 63
16-08  4-26-16 Include 63
16-09  4-26-16 Include 63
16-06  4-12-16 Include 64
16-10  9-13-16 Include 64
16-11 12-13-16 Include 65
16-12 12-13-16 Include 65
16-13 12-27-16 Include 65
16-14 12-27-16 Include 65
17-01  1-24-17 Include 65
17-02  2-28-17 Include 65
17-03  3-14-17 Include 66
17-04  5- 9-17 Include 66
17-05  5- 9-17 Include 66
17-06  5-23-17 Include 66
17-07  8- 8-17 Include 67
17-08  8- 8-17 Include 67
17-09  8-22-17 Include 67
17-10  8-22-17 Include 67
17-11 12-21-17 Include 68
18-01  1- 9-18 Include 68
18-02  6-26-18 Include 69
18-03  6-26-18 Include 69
18-04  6-26-18 Include 69
18-05  7-10-18 Include 69
18-06  7-10-18 Include 69
18-07  8-14-18 Include 69
18-08  8-28-18 Include 70
18-09  8-28-18 Include 70
18-10  9-11-18 Include 70
18-11  9-25-18 Include 70
18-12  9-25-18 Include 70
18-13 11-27-18 Include 71
18-14 11-27-18 Include 71
18-15 11-27-18 Include 71
18-16 12-20-18 Include 71
18-17 12-20-18 Include 71
18-18 12-20-18 Include 71
18-19 12-20-18 Include 71
19-01  1-22-19 Include 71
19-02  1-22-19 Include 71
19-03  3-26-19 Include 72
19-04  4-23-19 Include 72
19-05  6-25-19 Include 73
19-06  6-25-19 Include 73
19-07  6-25-19 Include 73
19-08  7-11-19 Include 73
19-09  7-23-19 Include 73
19-10  8-13-19 Include 73
19-11  8-27-19 Include 74
19-12  9-24-19 Include 74
19-13 11-12-19 Include 74
20-01  1-28-20 Include 75
20-02  2-25-20 Include 75
20-03  3-10-20 Include 75
20-04  3-17-20 Include 75
20-05  3-24-20 Include 75
20-06  5-26-20 Include 76
20-07  6-23-20 Include 76
20-08  6-23-20 Include 76
20-09  6-23-20 Include 76
20-10  6-23-20 Include 76
20-11  6-23-20 Include 76
20-12  7-28-20 Include 76
20-13  7-28-20 Include 76
20-14  7-28-20 Include 76
20-15  7-28-20 Include 76
20-16  7-28-20 Include 76
20-17  7-28-20 Include 76
20-18  8-18-20 Include 76
20-19  8-25-20 Include 77
20-20  9- 8-20 Include 77
20-21  9-22-20 Include 77
20-22 10-27-20 Include 77
20-23 10-27-20 Include 77
20-24 11-24-20 Include 78
20-25 12- 8-20 Include 78
20-26  8-10-20 Include 78
21-01  1-12-21 Include 78
21-02  1-26-21 Include 78
21-03  2- 9-21 Include 78
21-04  3- 9-21 Include 79
21-05  3- 9-21 Include 79
21-06  3-23-21 Include 79
21-07  5-11-21 Include 79
21-08  5-25-21 Include 79
21-09  6-22-21 Include 80
21-11  6-22-21 Include 80
21-12  6-22-21 Include 80
21-13  7-15-21 Include 80
21-14  7-27-21 Include 80
21-15  8-12-21 Include 80
21-16  8-12-21 Include 80
21-17 11- 9-21 Include 81
21-18 11- 9-21 Include 81
21-19 11- 9-21 Include 81
21-20 12-14-21 Include 81
22-02  1-25-22 Include 81
22-03  2-22-22 Include 81
22-04  3-22-22 Include 82
22-07  5-10-22 Include 82
22-08  5-24-22 Include 82
22-09  5-24-22 Include 82
22-10  6-21-22 Include 82
22-11  7-26-22 Include 83
22-12  7-26-22 Include 83
22-13  8- 9-22 Include 83
22-14  9-15-22 Include 83
22-15 11- 8-22 Include 84
22-18 12-27-22 Include 84
22-19 12-27-22 Include 84
23-03  4-11-23 Include 85
23-04  4-11-23 Include 85
23-05  4-25-23 Include 85
23-06  5-23-23 Include 85
23-07  6-20-23 Include 86
23-08  6-20-23 Include 86
23-09  6-20-23 Include 86
23-12  7-25-23 Include 86
23-13  8- 8-23 Include 86
