SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
O-2013-1 12-31-2013 Omit 1
O-2013-2 12-31-2013 Omit 1
O-2013-3 12-31-2013 Omit 1
O-2013-4 12-31-2013 Include 1
O-2013-5 12-31-2013 Include 1
O-2013-6 12-31-2013 Include 1
O-2014-1  1- 7-2014 Omit 1
O-2014-2  1-21-2014 Include 1
O-2014-23  4- 1-2014 Omit 1
O-2014-24  4- 1-2014 Include 1
O-2014-25  4-16-2014 Omit 1
O-2014-26  4-16-2014 Omit 1
O-2014-29  4-16-2014 Omit 1
O-2014-30  4-16-2014 Omit 1
O-14-0033  5-20-2014 Include 1
O-14-0034  5-20-2014 Omit 1
O-14-0036  6-17-2014 Include 1
O-14-0037  7- 1-2014 Include 1
O-14-0038  7- 1-2014 Include 1
O-14-0039  7- 1-2014 Omit 1
O-14-0041  7-15-2014 Include 1
O-14-0042  8- 5-2014 Include 1
O-14-0043  8- 5-2014 Include 1
O-14-0044  8-19-2014 Omit 1
O-14-0045  8-19-2014 Include 1
O-14-0046  8-19-2014 Include 1
O-14-0047  8-19-2014 Include 1
O-14-0048  8-19-2014 Include 1
O-14-0049  9- 2-2014 Include 1
O-14-0050  9- 2-2014 Include 1
O-14-0064 12- 9-2014 Include 1
O-15-0002  1- 6-2015 Include 1
O-15-0003  1-20-2015 Include 1
O-15-0010  2- 3-2015 Include 1
O-15-0014  3-17-2015 Omit 1
O-15-0015  3-17-2015 Include 1
O-2014-22  3-18-2014 Include 2
O-2014-32  5- 6-2014 Include 2
O-14-0051  9-16-2014 Omit 2
O-14-0056  9-16-2014 Omit 2
O-15-0011  3- 3-2015 Include 2
O-15-0012  2-17-2015 Include 2
O-15-0013  3-17-2015 Omit 2
O-15-0016  4- 7-2015 Omit 2
O-15-0018  4-21-2015 Include 2
O-15-0022  6- 2-2015 Omit 2
O-15-0024  6-16-2015 Omit 2
O-15-0025  6-16-2015 Include 2
O-15-0026  6-16-2015 Include 2
O-15-0027  6-16-2015 Include 2
O-15-0029  7- 7-2015 Include 2
O-15-0030  7-21-2015 Include 2
O-15-0031  7-21-2015 Include 2
O-15-0032  7-21-2015 Include 2
O-15-0033  7-21-2015 Include 2
O-15-0041  8-18-2015 Omit 2
O-14-0062 11-18-2014 Include 3
O-14-0063 11-18-2014 Include 3
O-15-0013A  3-17-2015 Omit 3
O-15-0019  4-21-2015 Include 3
O-15-0020  4-21-2015 Include 3
O-15-0028  6-16-2015 Include 3
O-15-0046 10- 6-2015 Include 3
O-15-0051 10-20-2015 Include 3
O-15-0054 11-17-2015 Include 3
O-15-0059 11-17-2015 Include 3
O-15-0062 12-15-2015 Include 3
O-15-0063 12-15-2015 Include 3
O-15-0064 12-15-2015 Include 3
O-16-0001  1- 5-2016 Include 3
O-16-0006  1-19-2016 Include 3
O-16-0025  2- 2-2016 Include 3
O-16-0026  3- 1-2016 Include 3
O-16-0027  3- 1-2016 Include 3
O-16-0029  3-15-2016 Include 3
O-16-0039  4- 5-2016 Include 4
Ord. of  4-19-2016 Include 4
O-16-0047  6- 7-2016 Include 4
O-16-0048  6-21-2016 Include 4
O-16-0053  6-21-2016 Include 4
Ord. of  1-17-2017 Include 4
Ord. of  2-21-2017 Include 4
O-17-0011  3- 3-2017 Include 4
O-17-0016  3-21-2017 Include 4
O-15-0060 12-15-2015 Include 5
O-16-0043  4-19-2016 Include 5
O-16-0044  4- 5-2016 Include 5
O-16-0062  7-19-2016 Include 5
O-16-0090 12-20-2016 Include 5
O-16-0093  8-16-2016 Include 5
O-17-0035  5-16-2017 Include 5
O-17-0038  6- 6-2017 Include 5
O-17-0039  6- 6-2017 Omit 5
O-17-0047  6-20-2017(1) Include 5
Ord. of  6-20-2017(2) Include 5
O-17-0050  7- 5-2017 Include 5
Ord. of 11-15-2016(1) Include 6
O-17-0009  2-21-2017 Include 7
O-17-0012  3- 7-2017 Include 7
O-17-0021  5- 2-2017 Omit 7
O-17-0024  5- 4-2017 Include 7
O-17-0051  7- 5-2017 Include 7
O-17-0059  8-15-2017 Include 7
O-17-0060  8-15-2017 Include 7
O-18-0007  2- 6-2018 Include 7
O-18-0021  3-20-2018 Include 7
O-18-0033  5- 1-2018 Include 7
O-18-0043  7- 3-2018 Include 7
O-18-0044  7- 3-2018 Omit 7
O-18-0076  8-21-2018 Include 7
O-18-0089 10- 2-2018 Include 7
O-18-0091 10-16-2018 Include 7
O-18-0094 11- 6-2018 Include 7
O-18-0097 11-20-2018 Include 7
O-18-0097 A  6- 4-2019 Include 7
O-18-0101 11-20-2018 Include 7
O-18-0106 12- 4-2018 Omit 7
O-18-0109 12- 4-2018 Include 7
O-19-0002  1-15-2019 Include 7
O-19-0003  2- 5-2019 Include 7
O-19-0005  2- 5-2019 Include 7
O-19-0006  2- 5-2019 Include 7
O-19-0007  2-19-2019 Include 7
O-19-0008  2-19-2019 Include 7
O-19-0021  4-16-2019 Include 7
O-19-0024  4-16-2019 Include 7
O-19-0030  5-21-2019 Include 7
O-19-0031  5-21-2019 Include 7
O-19-0033  6- 4-2019 Include 7
O-19-0035  6-18-2019 Include 7
O-19-0036  6-18-2019 Include 7
O-19-0045  7- 2-2019 Include 7
O-16-0078 10- 4-2016 Include 8
