SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Municipal Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ordinance
Number Date
Adopted Included/
Omitted Supplement
Number
7485A  4- 2-2010 Omitted 21
7491  9-15-2010 Omitted 20
7492  9-15-2010 Omitted 20
7493  9-15-2010 Omitted 20
7494  9-15-2010 Omitted 20
7495  9-15-2010 Omitted 20
7496  9-15-2010 Omitted 20
7497 10-13-2010 Omitted 20
7498 10-13-2010 Omitted 20
7499 10-13-2010 Included 20
7500 10-13-2010 Omitted 20
7502 11-10-2010 Omitted 20
7503 11-10-2010 Omitted 20
7504 11-10-2010 Omitted 20
7505 11-10-2010 Included 20
7506 11-10-2010 Included 20
7507 11-10-2010 Omitted 20
7508 12- 8-2010 Included 21
7509 12- 8-2010 Omitted 21
7510 12- 8-2010 Included 21
7511  1-12-2011 Included 21
7512  1-12-2011 Omitted 21
7513  1-12-2011 Included 21
7514  1-12-2011 Included 21
7515  1-26-2011 Omitted 21
7516  1-26-2011 Omitted 21
7517  1-26-2011 Omitted 21
7518  1-26-2011 Omitted 21
7519  2- 9-2011 Included 21
7520  3- 9-2011 Omitted 21
7521  3- 9-2011 Omitted 21
7522  3- 9-2011 Omitted 21
7523  3- 9-2011 Included 21
7524  3- 9-2011 Included 21
7525  3- 9-2011 Included 21
7526  3- 9-2011 Included 21
7527  3-29-2011 Included 21
7528  4-13-2011 Included 21
7529  4-13-2011 Omitted 21
7530  4-13-2011 Included 21
7533  5-11-2011 Included 21
7534  6- 8-2011 Omitted 22
7535  6- 8-2011 Omitted 22
7536  6- 8-2011 Omitted 22
7537  6- 8-2011 Omitted 22
7538  6- 8-2011 Omitted 22
7539  6- 8-2011 Omitted 22
7540  6- 8-2011 Omitted 22
7541  6- 8-2011 Omitted 22
7543  7-13-2011 Omitted 22
7544  7-13-2011 Included 22
7545  7-13-2011 Included 22
7546  7-27-2011 Omitted 22
7547  8-10-2011 Omitted 22
7548  8-10-2011 Omitted 22
7549  8-10-2011 Omitted 22
7550  8-10-2011 Included 22
7551  9-14-2011 Omitted 22
7552  9-14-2011 Omitted 22
7553  9-14-2011 Omitted 22
7554  9-14-2011 Omitted 22
7555  9-14-2011 Omitted 22
7556  9-14-2011 Omitted 22
7557 10-12-2011 Omitted 22
7558 10-12-2011 Omitted 22
7559 10-12-2011 Omitted 22
7560 10-12-2011 Omitted 22
7561 10-12-2011 Omitted 22
7562 10-12-2011 Omitted 22
7563 10-12-2011 Included 22
7564 11- 7-2011 Omitted 22
7565 11- 7-2011 Omitted 22
7566 11- 7-2011 Omitted 22
7567 12-14-2011 Omitted 22
7568 12-14-2011 Included 22
7569  1-11-2012 Omitted 23
7570  2- 8-2012 Omitted 23
7571  3-14-2012 Omitted 23
7572  3-14-2012 Omitted 23
7573  3-14-2012 Omitted 23
7574  3- 7-2012 Omitted 23
7575  3- 7-2012 Included 23
7576  3- 7-2012 Omitted 23
7577  3-14-2012 Included 23
7578  4-11-2012 Included 23
7579  4-11-2012 Omitted 23
7580  4-11-2012 Omitted 23
7581  4-11-2012 Omitted 23
7582  4-11-2012 Included 23
7583  3- 7-2012 Included 23
7584  4-25-2012 Omitted 23
7585  5- 9-2012 Omitted 23
7586  5- 9-2012 Omitted 23
7587  5- 9-2012 Omitted 23
7588  5- 9-2012 Included 23
7589  5- 9-2012 Omitted 23
7590  1-11-2012 Included 23
7591  6-13-2012 Omitted 23
7592  6-13-2012 Omitted 23
7593  6-13-2012 Omitted 23
7594  6-13-2012 Omitted 23
7595  7-11-2012 Omitted 24
7596  7-25-2012 Omitted 24
7597  8- 8-2012 Included 24
7598  8- 8-2012 Omitted 24
7599  8-29-2012 Omitted 24
7600  9-12-2012 Omitted 24
7601  9-12-2012 Omitted 24
7602  9-12-2012 Omitted 24
7603  9-12-2012 Omitted 24
7604  9-12-2012 Omitted 24
7605 10-10-2012 Included 24
7606 10-10-2012 Included 24
7607 10-14-2012 Omitted 24
7608 10-10-2012 Omitted 24
7609 10-10-2012 Omitted 24
7611 11-14-2012 Omitted 25
7612 11-14-2012 Omitted 25
7613 11-14-2012 Included 25
7614 11-14-2012 Included 25
7615 11-14-2012 Omitted 25
7616 11-14-2012 Omitted 25
7617 11-14-2012 Omitted 25
7618 11-14-2012 Omitted 25
7619 11-14-2012 Omitted 25
7620 12-12-2012 Omitted 25
7621 12-12-2012 Omitted 25
7623 12-12-2012 Omitted 25
7624 12-12-2012 Omitted 25
7625 12-12-2012 Omitted 25
7626 11-14-2012 Omitted 25
7627 12-12-2012 Omitted 25
7628  1- 9-2013 Omitted 25
7629  1- 9-2013 Omitted 25
7630  1- 9-2013 Omitted 25
7631  1- 9-2013 Omitted 25
7632  1- 9-2013 Omitted 25
7633  1- 9-2013 Omitted 25
7634  1- 9-2013 Omitted 25
7635  2-13-2013 Omitted 25
7636  2-13-2013 Omitted 25
7637  2-13-2013 Omitted 25
7638  2-13-2013 Omitted 25
7639  2-13-2013 Omitted 25
7640  2-13-2013 Omitted 25
7641  2-13-2013 Omitted 25
7642  2-13-2013 Omitted 25
7643  2-13-2013 Omitted 25
7644  2-13-2013 Omitted 25
7645  2-13-2013 Omitted 25
7646  2-13-2013 Omitted 25
7647  2-13-2013 Omitted 25
7648  2-13-2013 Omitted 25
7649  2- 6-2013 Omitted 25
7650  2-13-2013 Omitted 25
7651  2-13-2013 Omitted 25
7652  2-13-2013 Omitted 25
7653  2-13-2013 Omitted 25
7654  3- 6-2013 Omitted 25
7655  4-17-2013 Omitted 25
7656  4-17-2013 Omitted 25
7657  4-17-2013 Omitted 25
7658  4-17-2013 Omitted 25
7659  4-17-2013 Omitted 25
7660  5- 8-2013 Omitted 25
7661  5- 8-2013 Omitted 25
7662  5- 8-2013 Omitted 25
7663  5- 8-2013 Included 25
7664  6-12-2013 Included 25
7665  6-12-2013 Omitted 25
7666  6-12-2013 Omitted 25
7667  6-12-2013 Omitted 25
7668  6-12-2013 Omitted 25
7669  7-10-2013 Included 25
7670  7-10-2013 Omitted 25
7671  8-14-2013 Included 25
7672  8-14-2013 Omitted 25
7673  7-25-2013 Omitted 25
7674  8-14-2013 Omitted 25
7675  8-14-2013 Omitted 25
7676  9-11-2013 Omitted 25
7677  9-11-2013 Omitted 25
7678  9-11-2013 Omitted 25
7679  9-11-2013 Omitted 25
7680  9-11-2013 Omitted 25
7681  9-11-2013 Omitted 25
7682  9-11-2013 Omitted 25
7683  9-11-2013 Included 25
7684  9-11-2013 Omitted 25
7685  9-11-2013 Omitted 25
7686  9-11-2013 Included 25
7687  9-11-2013 Included 25
7688 10- 9-2013 Omitted 25
7690 10- 9-2013 Included 25
7691 10- 9-2013 Included 25
7692 10- 9-2013 Included 25
7693 10- 9-2013 Omitted 25
7694 10- 9-2013 Omitted 25
7695 10- 9-2013 Omitted 25
7696 10- 9-2013 Omitted 25
7697 10- 9-2013 Omitted 25
7698 10- 9-2013 Omitted 25
1487(Res.)  3-10-2010 Included 26
7706 12-11-2013 Omitted 26
7707 12- 9-2013 Omitted 26
7708 12-11-2013 Omitted 26
7709 12-11-2013 Omitted 26
7710 12-11-2013 Included 26
7711 12-11-2013 Omitted 26
7712 12-11-2013 Omitted 26
7713 12-11-2013 Omitted 26
7714 12-11-2013 Omitted 26
7715 12-11-2013 Omitted 26
7716  1- 8-2014 Omitted 26
7717  2-14-2014 Omitted 26
7718  3-12-2014 Omitted 27
7719  4- 9-2014 Omitted 27
7720  4- 9-2014 Omitted 27
7721  4- 9-2014 Omitted 27
7722  4- 9-2014 Omitted 27
7723  4- 9-2014 Omitted 27
7724  4- 9-2014 Omitted 27
7725  4- 9-2014 Omitted 27
7726  5-14-2014 Included 27
7727  4- 9-2014 Omitted 27
7728  4- 9-2014 Omitted 27
7729  4- 9-2014 Omitted 27
7730  5-14-2014 Included 27
7731  6-11-2014 Omitted 27
7732  6-11-2014 Omitted 27
7733  6-11-2014 Included 27
7734  6-11-2014 Included 27
7735  6-11-2014 Included 27
7736  7- 9-2014 Omitted 27
7737  7- 9-2014 Included 27
7738  7-28-2014 Omitted 27
7739  8-13-2014 Omitted 28
7740  8-13-2014 Omitted 28
7741  8-13-2014 Omitted 28
7742  8-13-2014 Omitted 28
7743  8-13-2014 Omitted 28
7744  8-13-2014 Omitted 28
7745  8-13-2014 Omitted 28
7746  8-13-2014 Omitted 28
7747  8-13-2014 Included 28
7748  8-13-2014 Included 28
7749  9-10-2014 Omitted 28
7750  9-10-2014 Omitted 28
7751  9-10-2014 Omitted 28
7752  9-10-2014 Included 28
7753  9-10-2014 Omitted 28
7754  9-10-2014 Omitted 28
7755  9-10-2014 Omitted 28
7756  9-10-2014 Omitted 28
7757  9-10-2014 Omitted 28
7758  9-10-2014 Omitted 28
7759  9-10-2014 Omitted 28
7760  9-10-2014 Omitted 28
7761 10- 8-2014 Omitted 28
7762 10- 8-2014 Omitted 28
7763 10- 8-2014 Included 28
7764 10- 8-2014 Omitted 28
7765 10- 8-2014 Omitted 28
7766 10- 8-2014 Included 28
7767 10- 8-2014 Omitted 28
7768 11-12-2014 Omitted 28
7769 11-12-2014 Omitted 28
7770 11-12-2014 Omitted 28
7771 12-10-2014 Omitted 28
7772 11-12-2014 Omitted 28
7773 12-10-2014 Omitted 28
7774 12-10-2014 Omitted 28
7775 12-10-2014 Omitted 28
7776 12-10-2014 Omitted 28
7777 12-10-2014 Omitted 28
7778 12-10-2014 Omitted 28
7779 12-10-2014 Omitted 28
7780 12-10-2014 Omitted 28
7781 12-10-2014 Omitted 28
7782 12-10-2014 Omitted 28
7783  1-14-2015 Omitted 28
7785  1-14-2015 Omitted 28
7786  1-14-2015 Omitted 28
7787  1-14-2015 Omitted 28
7788  1-14-2015 Omitted 28
7789  2-11-2015 Omitted 28
7790  3-11-2015 Included 29
7791  3-11-2015 Omitted 29
7792  3-11-2015 Omitted 29
7793  3-11-2015 Omitted 29
7794  3-11-2015 Omitted 29
7795  3-11-2015 Omitted 29
7796  3-11-2015 Omitted 29
7797  3-11-2015 Omitted 29
7799  3-11-2015 Included 29
7800  3-11-2015 Included 29
7805  4- 8-2015 Omitted 29
7806  4- 8-2015 Omitted 29
7808  5-13-2015 Included 29
7809  5-13-2015 Omitted 29
7810  5-13-2015 Omitted 29
7811  5-13-2015 Omitted 29
7812  6-10-2015 Omitted 29
7813  6-10-2015 Included 29
