CODE COMPARATIVE TABLE - PRIOR CODE
This table gives the location within this Code of those sections of the Prior Adopted Code, as updated, which are included herein. Sections of the Prior Adopted Code, as supplemented, not listed herein have been omitted as repealed, superseded, obsolete or not of a general and permanent nature. For the location of ordinances adopted subsequent thereto, see the table immediately following this table.
EXPAND
Prior Code
Section Section this Code
1-1 1.04.010
1-2 1.04.020
1-3 1.04.030
1-4 1.04.040
1-5 1.04.050
1-6 1.04.060
1-7 1.04.070
1-8 1.08.010
2-20 2.28.010
2-21 2.28.020
2-22 2.28.030
2-23 2.28.040
2-24 2.28.050
2-25 2.28.060
2-50 2.08.010
4-1 6.04.170
4-2 6.04.180
4-3 6.04.190
4-10 6.04.200
5-10-1 15.16.010
5-10-2 15.16.020
5-10-3 15.16.030
5-10-4 15.16.040
8-4 3.04.010
8-5-1 5.28.010
8-5-2 5.28.020
8-5-3 5.28.030
8-5-4 5.28.040
9-8(part) 15.08.010
15.08.020
15.08.030
10-1 8.12.010
10-3(a), (b) 8.20.010
10-4 8.12.020
10-4A 8.12.050
10-5 8.12.060
10-6 8.12.030
10-7 8.12.040
10-23 8.04.030
10-24 8.04.040
11-3 9.08.050
12-1 13.04.010
12-2 13.04.020
12-3 13.04.030
12-4 13.04.050
12-5 13.04.060
12-6.1 13.04.080
12-6.3 13.04.100
12-7 13.04.110
12-8 13.04.120
12-9 13.04.130
12-10 13.04.140
12-11 13.04.150
12-12 13.04.160
12-13 13.04.170
12-14 13.04.180
12-15 13.04.190
12-16 13.04.200
12-17 13.04.210
12-18 13.04.220
12-19 13.04.230
12-20 13.04.240
12-21 13.04.250
12-22 13.04.260
12-23 13.04.270
12-25 13.04.290
12-26, 12-27 13.04.300
13-31 5.20.010
13-32 5.20.020
13-33 5.20.030
13-34 5.20.040
13-35 5.20.050
13-36 5.20.060
13-37 5.20.070
13-40 5.20.080
13-41 5.12.010
13-42 5.12.020
13-43 5.12.030
14-2 9.08.020
14-2A 9.08.010
14-3 9.08.030
14-6 9.08.060
14-6-1 9.04.010
14-6-3 9.04.020
9.04.030
14-8 9.08.040
14.2-1 10.16.010
14.2-2 10.16.020
14.2-3 10.16.030
14.2-4 10.16.040
14.2-5 10.16.050
14.2-6 10.16.060
14.2-7 10.16.070
14.2-8 10.16.080
15-2 2.16.020
17-17 12.08.010
17-81 10.08.010
17-81B 10.08.030
17-82 10.08.020
17-116 10.20.010
17-117 10.20.020
17-118 10.20.030
17-119 10.20.040
17-120 10.20.050
17-121 10.20.060
17-122 10.20.070
17-123 10.20.080
17-124 10.20.090
17-155 10.24.010
17-156 10.24.020
17-157 10.24.030
17-158 10.24.040
17-159 10.24.050
17-160 10.24.060
17-200 10.14.010
17-201 9.04.015
10.14.020
17-202 10.14.030
17-207 10.14.040
17-208 10.14.050
10.14.060
19-1 5.04.020
19-2—19-3 5.04.030
19-4 5.04.040
19-5 5.04.050
19-6 5.04.060
19-7 5.04.070
19-8 5.04.080
19-9 5.04.090
19-10 5.04.100
19-11 5.04.110
19-12 5.04.120
19-13 5.04.130
19-14 5.04.140
19-15 5.04.150
19-16 5.04.160
19-17 5.04.170
19-18 5.04.180
20-1 3.08.010
