SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
2010-11 11- 1-10 Include 32
2010-12 12- 6-10 Include 32
2010-13 12- 6-10 Include 32
2010-14 12-20-10 Include 32
2011-01  2-21-11 Include 32
2011-02  4- 4-11 Include 32
2011-03  3-21-11 Include 32
2011-04  4-18-11 Include 32
2011-05  4-18-11 Include 32
2011-06  4-18-11 Include 32
2011-08  5- 2-11 Include 32
2011-09  5- 2-11 Include 32
2011-10  5- 2-11 Include 32
2011-12  6- 6-11 Include 32
2011-13  6- 6-11 Include 32
2011-07  6-20-11 Include 33
2011-11  6-20-11 Include 33
2011-15 10- 3-11 Include 33
2011-17 10-17-11 Include 33
2011-18 11- 7-11 Include 33
2011-19 11- 7-11 Include 33
2011-20 12- 5-11 Include 33
2011-21 11-21-11 Include 33
2011-22 12-19-11 Include 33
2012-01  1-17-12 Include 33
2012-02  2-20-12 Include 33
2012-03  3- 5-12 Include 34
2012-04  3- 5-12 Include 34
2012-07  4-16-12 Include 34
2012-09  5-21-12 Include 34
2012-11  6- 4-12 Include 34
2012-12  5-21-12 Include 34
2012-13  6-18-12 Include 34
2012-15  7-16-12 Include 35
2012-16  7-16-12 Include 35
2012-17  8- 6-12 Include 35
2012-18  8- 6-12 Include 35
2012-21 11- 5-12 Include 36
2012-22 12-17-12 Include 36
2012-23  2- 4-13 Include 36
2012-25 11-19-12 Include 36
2013-01  1-22-13 Include 36
2013-02  2-18-13 Include 36
2013-03  2-18-13 Include 36
2013-04  3- 4-13 Include 36
2013-05  3-18-13 Include 36
2013-07  5- 6-13 Include 36
2013-08  6- 3-13 Include 36
2013-09  6- 3-13 Include 36
2013-13  8-19-13 Include 36
2013-14  8-19-13 Include 36
2012-05  8-20-12 Include 37
2013-15 10-21-13 Include 37
2013-16 10-21-13 Include 37
2014-02  2-17-14 Include 37
2014-03  5-19-14 Include 37
2014-04  3-17-14 Include 37
2014-05  4- 7-14 Include 37
2014-09  5-19-14 Include 37
2014-11  7-21-14 Include 37
2014-12  9- 2-14 Include 37
2015-03  3- 2-15 Include 37
2015-07  5- 4-2015 Include 38
2015-08  5-18-2015 Include 38
2015-09  6-15-2015 Include 38
2015-15  8-17-2015 Include 38
2015-16  8-17-2015 Include 38
2015-17  8-17-2015 Include 38
2016-03  3- 7-2016 Include 38
2016-05  4-18-2016 Include 38
2016-06  4-18-2016 Include 38
2016-07  4-18-2016 Include 38
2016-08  4-18-2016 Include 38
2016-09  4-18-2016 Include 38
2016-10  4-18-2016 Include 38
2016-11  4-18-2016 Include 38
