SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
2018-001  1-23-2018 Include 1
2018-003  2-13-2018 Include 1
2018-004  2-13-2018 Include 1
2018-005  2-13-2018 Include 1
2018-006  2-27-2018 Include 1
2018-008  2-27-2018 Include 1
2018-009  3-20-2018 Include 1
2018-010  2-27-2018 Include 1
2018-011  2-27-2018 Include 1
2018-012  3-20-2018 Include 1
2018-013  3-20-2018 Include 1
2018-015  3-27-2018 Include 1
2018-016  3-27-2018 Include 1
2018-017  3-27-2018 Include 1
2018-019  3-27-2018 Include 1
2018-021  3-27-2018 Omit 2
2018-022  4-24-2018 Include 2
2018-023  5- 8-2018 Include 2
2018-024  4-24-2018 Omit 2
2018-025  5-21-2018 Include 2
2018-026  5-21-2018 Include 2
2018-027  6-26-2018 Include 2
2018-028  8-14-2018 Include 3
2018-029  8-14-2018 Include 3
2018-032  8-28-2018 Include 3
2018-033  8-28-2018 Include 3
2018-034  9-11-2018 Include 3
2018-035  9- 7-2018 Include 3
2018-037  9-11-2018 Include 3
2018-038  9-11-2018 Include 3
2018-039  9-24-2018 Include 3
2018-041 10-23-2018 Include 3
2018-042 11-13-2018 Include 4
2018-043 11-27-2018 Include 4
2018-044 12-11-2018 Include 4
2018-045 11-27-2018 Include 4
2018-047 11-27-2018 Include 4
2018-050 11-27-2018 Include 4
2018-051 11-27-2018 Include 4
2018-052  1- 8-2019 Include 4
2019-001  1-22-2019 Include 4
2019-002  1-22-2019 Include 4
2019-003  1-22-2019 Include 4
2019-004  1-22-2019 Include 4
2019-008  4-23-2019 Include 4
2019-009  5-14-2019 Include 4
2019-010  5-28-2019 Include 4
2018-049 12-11-2018 Include 5
2019-011  6-11-2019 Include 5
2019-013  6-11-2019 Include 5
2019-014  6-11-2019 Include 5
2019-019  7- 9-2019 Include 5
2019-020  8-13-2019 Include 5
2019-022  8-13-2019 Include 5
2019-023  8-13-2019 Include 5
2019-024  9-10-2019 Include 5
2019-025  9-10-2019 Include 5
2019-027 10- 8-2019 Include 5
2019-028 10- 8-2019 Include 5
2019-030 10-22-2019 Include 5
2019-031 11-12-2019 Include 5
2019-032 11-12-2019 Include 5
2019-038  9-24-2019 Include 5
2020-001  1-14-2020 Include 5
2020-003  2-11-2020 Include 5
2020-004  2-11-2020 Include 5
2019-007  7- 9-2019 Include 6
2019-017  7- 9-2019 Include 6
2020-006  3-17-2020 Include 6
2020-007  4- 2-2020 Include 6
2020-009  4-28-2020 Include 6
2020-010  4-28-2020 Include 6
2020-011  4-28-2020 Include 6
2020-012  5-26-2020 Include 6
2020-013  5-26-2020 Include 6
2020-016  6-23-2020 Include 6
2020-017  6-23-2020 Include 6
2020-019  7-28-2020 Include 6
2020-020  7-28-2020 Include 6
2020-021  8-25-2020 Include 6
2020-022  8-25-2020 Include 6
2020-023  8-25-2020 Include 6
H.B. 921(Act 330)  6-29-2020 Include 6
H.B. 1019(Act 414)  6-30-2020 Include 6
2020-025  9-22-2020 Include 6
2020-026  9-22-2020 Include 6
2020-027  9-22-2020 Include 6
2020-028  9-22-2020 Include 6
2020-029  9-22-2020 Omit 6
2020-030 10-27-2020 Include 6
2020-031 10-27-2020 Include 6
2020-032 10-27-2020 Include 6
2020-033 10-27-2020 Include 6
2020-034 10-27-2020 Include 6
2020-035 11-10-2020 Include 6
2020-036 11-10-2020 Include 6
2020-037 12- 8-2020 Omit 6
2020-038 12- 8-2020 Include 6
2018-048 11-27-2018 Include 7
2019-035 12-10-2019 Include 7
2019-036 12-10-2019 Include 7
2019-037 12-10-2019 Include 7
2020-039 12- 8-2020 Include 7
2021-002  1-12-2021 Include 8
2021-003  1-12-2021 Include 8
2021-004  1-12-2021 Include 8
2021-006  3-23-2021 Include 8
2021-007  4-27-2021 Include 8
2021-008  4-27-2021 Include 8
2021-010  5-25-2021 Include 8
2021-012  7-27-2021 Include 8
2021-014  8-10-2021 Omit 8
2021-018  8-24-2021 Include 8
2021-019  8-24-2021 Include 8
