CODE COMPARATIVE TABLE
As of Supplement No. 24, this table will no longer be updated.
EXPAND
Code 1971 Code 1991
1-1 1.04.010
1-2 1.04.020
1-3 1.04.030
1-4 1.04.040
1-5 1.04.050
1-6 1.04.060
1-7 1.04.070
1-8 1.04.080
1-9 8.04.020
2-1 2.12.060
2-2 Repealed
2-3 2.12.010
2-4 Repealed
2-5 Repealed by 01-13
2-6 2.12.030
2-7 3.04.030
2-8 Repealed
2-9 Repealed
2-21 2.04.020
2-22 2.04.030
2-23 2.04.040
2-24 2.04.050
2-25 2.04.060
2-26 2.04.070
2-27 2.04.080
2-28 2.04.090
2-29 2.04.100
2-30 2.04.110
2-31 2.04.120
2-32 2.04.130
2-33 2.04.140
2-34 2.04.150
2-35 2.04.160
2-36 2.04.170
2-37 Repealed
2-38 2.04.180
2-39 2.04.190
2-40 Repealed
2-41 Repealed
2-42 2.04.200
2-51 2.04.210
2-52 2.04.220
2-53 2.04.230
2-61 4.12.010
2-76 Repealed
2-77 Repealed
2-78 Repealed
2-79 Repealed
2-80 Repealed
2-81 Repealed
3-32 Repealed
3-33 Repealed
3-34 Repealed
3-35 Repealed
3-36 Repealed
3-37 Repealed by 98-14
3-38 Repealed
3-39 Repealed
3-40 Repealed
3-41 Repealed
3-42 Repealed
3-43 Repealed
3-44 Repealed
3-45 Repealed
3-46 Repealed
3-47 Repealed
3-51 Repealed
3-52 Repealed
3-53 Repealed
3-54 Repealed
3-55 Repealed
4-1 Repealed
4-2 11.12.030
4-17 Repealed
4-18 Repealed
4-19 Repealed
5-1 Repealed
5-2 Repealed
5-3 Repealed
5-4 Repealed
5-14 Repealed
5-15 Repealed
5-16 Repealed
5-26 Repealed
5-27 Repealed
5-28 Repealed
5-29 Repealed
5-30 Repealed
5-31 Repealed
5-32 Repealed
5-33 Repealed
5-41 Repealed
5-42 Repealed
5-43 Repealed
5-44 Repealed
5-45 Repealed
5-51 Repealed
5-52 Repealed
5-53 Repealed
5-54 Repealed
5-55 Repealed
5-56 Repealed
5-57 Repealed
5-58 Repealed
5-59 Repealed
5-60 Repealed
5-61 Repealed
5-62 Repealed
5-75 Repealed
5-76 Repealed
5-87 Repealed
5-88 Repealed
5-89 Repealed
5-98 Repealed
5-99 Repealed
5-100 Repealed
5-101 Repealed
5-102 Repealed
5-103 Repealed
5-104 Repealed
5-105 Repealed
5-106 Repealed
5-107 Repealed
6-1 5.16
7-1 2.08.010
7-2 Repealed by 01-16
7-3 Repealed
7-4 Repealed
7-5 Repealed
7-6 Repealed
7-7 Repealed
7-8 Repealed
7-9 2.08.050
7-10 Repealed
7-11 Repealed
7-12 Repealed
7-12.1 2.08.060
7-13 2.08.070
7-14 Repealed
7-15 Repealed
7-16 Repealed
7-17 Repealed
7-18 Repealed
7-19 Repealed
8-1 4.08.020
8-2 4.08.010
8-3 4.08.010
8-4 4.08.040
10-1 Repealed by 98-17
10-2 Repealed by 98-17
10-3 Repealed by 98-17
10-3.1 Repealed
10-4 Repealed by 98-17
10-5 Repealed by 98-17
10-6 Repealed by 98-17
10-7 Repealed by 98-17
10-8 Repealed by 98-17
10-9 Repealed by 95-2
10-10 Repealed by 98-17
10-11 Repealed by 98-17
10-12 Repealed by 98-17
10-13 Repealed by 98-17
10-14 Repealed by 98-17
10-15 Repealed by 98-17
10-16 Repealed by 98-17
10-17 Repealed by 98-17
10-18 Repealed by 98-17
10-19 Repealed by 98-17
10-20 Repealed by 98-17
10-21 Repealed by 98-17
10-22 Repealed by 98-17
10-23 Repealed by 98-17
10-24 Repealed by 98-17
10-25 Repealed by 98-17
10-26 Repealed by 98-17
10-27 Repealed by 98-17
10-28 Repealed by 98-17
10-29 Repealed by 98-17
10-30 Repealed
11-1 Repealed
11-2 Repealed
11-13 11.08.010
11-14 Repealed
11-15 Repealed
11-16 Repealed
11-17 Repealed
11-18 Repealed
11-19 Repealed
11-20 Repealed
11-21 Repealed
13-1 11.04.020
13-2 11.04.010
13-3 Repealed
13-4 11.04.030
13-5 11.04.040
13-6 11.04.050
13-6.1 Repealed by 01-26
13-7 Repealed
13-8 11.04.070
13-9 9.28.020
13-10 9.28.020
13-11 9.28.020
13-12 11.04.060
13-13 Not codified
13-14 Repealed
13-15 Repealed
13-16 Repealed
13-17 Repealed
13-18 11.04.090
13-19 Repealed
13-20 Repealed
13-21 Repealed
13-22 Repealed
13-23 Repealed
13-24 11.04.100
13-40 2.20.020
13-41 2.20.030
13-42 2.20.040
13-43 2.20.050
13-44 2.20.060
13-45 2.20.070
13-46 2.20.080
15-1 Repealed by 96-5
15-2 Repealed by 96-5
15-3 Repealed by 96-5
15-4 8.08.050
15-5 Not codified
15-6 Not codified
16-1 Repealed
16-2 Repealed
16-3 Repealed
16-4 Repealed
16-5 Repealed
16-6 Repealed
16-7 Repealed
16-8 Repealed
16-9 Repealed
16-10 Repealed
16-11 Repealed
16-12 Repealed
16-13 Repealed
16-14 Repealed
17-1 5.04.010
17-2 5.04.020
17-3 5.04.030
17-3.1 Repealed
17-4 5.04.040
