CHARTER COMPARATIVE TABLE - GEORGIA LAWS
This table shows the location of amendments to the Charter. The Charter is derived from Ga. Laws, Act No. 237 (HB 515), May 12, 2015.
EXPAND
Ga. Laws
Act No. Date Section Section
this Charter
237 5-12-2015 1.01 1.01
1.02 1.02
1.03 1.03
1.04 1.04
1.05 1.05
2.01 2.01
2.02 2.02
2.03 2.03
2.04 2.04
2.05 2.05
2.06 2.06
2.07 2.07
2.08 2.08
2.09 2.09
2.10 2.10
2.11 2.11
2.12 2.12
2.13 2.13
2.14 2.14
2.15 2.15
2.16 2.16
3.01 3.01
3.02 3.02
3.03 3.03
3.04 3.04
3.05 3.05
3.06 3.06
3.07 3.07
3.08 3.08
3.09 3.09
3.10 3.10
3.11 3.11
3.12 3.12
3.13 3.13
4.01 4.01
4.02 4.02
4.03 4.03
4.04 4.04
4.05 4.05
4.06 4.06
5.01 5.01
5.02 5.02
5.03 5.03
5.04 5.04
5.05 5.05
5.06 5.06
5.07 5.07
5.08 5.08
5.09 5.09
5.10 5.10
5.11 5.11
6.01 6.01
6.02 6.02
6.03 6.03
6.04 6.04
6.05 6.05
