SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
EXPAND
Legislation Included/Omitted Supp. No.
Ord. of 12-3-2018(1) Included 1
Ord. No. O-694 Included 1
Ord. No. O-696 Included 1
Ord. No. O-714 Included 1
Ord. of 3-1-2021(1) Included 1
Res. No. R-117 Included 1
Res. No. R-118 Included 1
Res. No. R-120 Included 1
Res. No. R-942 Included 1
Act No. 112 Included 1
Act No. 113 Included 1
Act No. 359 Included 1
Ord. of 7-11-2022(1) Included 2
