APPENDIX 2 - CROSS REFERENCE TABLE FOR ORDINANCE 1494
Chapter, article and section numbers of Ordinance 1494 are shown with the corresponding section numbers of Title 22 of the Los Angeles County Code in which they are set out. To locate the legislative history of a section (for example, Ord. 1494 § 101 — LACC § 22.12.010), check the entry for that section in Appendix 1.
EXPAND
Ord. 1494 LACC
Chapter 1
Article 1
100 22.04.010
101 22.12.010
101.1 22.12.020
101.3 22.12.030
101.4 22.12.040
102 22.04.020
103 22.12.050
104 22.12.060
105 22.04.040
106 22.04.050
107 22.04.060
107.5 22.04.070
108 22.04.030
109 22.04.080
110 22.04.080
111 22.04.080
112 22.04.100
113 Repealed by 85-0191
114 22.12.070
Article 2
120.1 22.08.010
120.2 22.08.020
120.3 22.08.030
120.4 22.08.040
120.5 22.08.050
120.6 22.08.060
120.7 22.08.070
120.8 22.08.080
120.9 22.08.090
120.10 22.08.100
120.11 22.08.110
120.12 22.08.120
120.13 22.08.130
120.14 22.08.140
120.15 22.08.150
120.16 22.08.160
120.17 22.08.170
120.18 22.08.180
120.19 22.08.190
120.20 22.08.200
120.21 22.08.210
120.22 22.08.220
120.23 22.08.230
120.25 22.08.250
Chapter 2
Article 1
201 22.20.010
202 22.20.020
205 22.20.030
205.5 22.20.040
206 22.20.050
207 22.20.070
207.3 22.20.080
207.5 22.20.090
208 22.20.100
208.5 22.20.110
209 22.20.120
211 Repealed by 83-0006
211.2 Repealed by 83-0006
211.4 Repealed by 83-0006
211.6 Repealed by 83-0006
212 22.20.170
212.3 22.20.180
212.5 22.20.190
212.7 22.20.200
212.8 22.20.210
213 22.20.220
215 22.20.230
215.2 22.20.240
215.4 22.20.250
216 22.20.260
216.03 22.20.270
216.05 22.20.280
216.07 22.20.290
216.2 22.20.300
216.5 22.20.310
217 22.20.320
219 22.20.330
220 22.20.340
220.01 22.20.350
220.03 22.20.360
220.05 22.20.370
220.2 22.20.380
220.5 22.20.390
221 22.20.400
223 22.20.410
223.1 22.20.420
223.3 22.20.430
223.5 22.20.440
223.6 22.20.450
225.5 22.20.460
227 22.20.060
Article 2
230 22.24.010
231 22.24.020
232 22.24.030
232.3 22.24.040
232.5 22.24.050
233 22.24.070
233.1 22.24.080
233.2 22.24.090
233.3 22.24.100
233.6 22.24.110
242 22.24.120
242.1 22.24.130
242.2 22.24.140
242.3 22.24.150
242.5 22.24.160
242.6 22.24.170
243 22.24.180
244 22.24.190
245 22.24.200
245.1 22.24.210
245.2 22.24.220
245.3 22.24.230
246 22.24.060
Article 3
250 22.28.010
250.5 22.28.020
251.1 22.28.030
251.3 22.28.040
251.5 22.28.050
251.7 22.28.060
251.9 22.28.070
253.1 22.28.080
253.3 22.28.090
253.5 22.28.100
253.7 22.28.110
253.9 22.28.120
255.1 22.28.130
255.3 22.28.140
255.5 22.28.150
255.7 22.28.160
255.9 22.28.170
257.1 22.28.180
