APPENDIX 1 - CROSS REFERENCE TABLE FOR ORDINANCE 5860
Chapter, article and section numbers of Ordinance 5860 are shown with section numbers of the Los Angeles County Code in which they appear.
EXPAND
Ord. 5860 LACC
Chapter 1
Article 1
1 7.04.290
2 7.02.380
3 7.02.390
4 7.02,340
5 7.02.350
6 7.02.360
7 7.04.020
7.1 7.04.330
7.2 7.04.340
7.3 7.04.350
7.4 7.04.360
7.5 7.04.370
7.6 7.04.030
8 7.04.010
8.5 7.04.040
9 7.04.050
10 7.04.060
11 7.04.090
12 7.04.300
13 7.04.320
14 7.04.100
15 7.04.110
16 7.04.270
17 7.04.140
18 7.02.370
19 7.02.010
20 7.04.120
Article 2
21 7.02.020
21.2 7.02.050
21.4 7.02.060
22 7.02.040
22.5 7.02.030
23 7.02.070
23.5 7.02.080
24 7.02.090
24.2 7.02.100
24.3 7.02.110
24.5 7.02.120
25 7.02.130
25.5 7.02.140
25.7 7.02.150
26 7.02.160
26.1 7.02.170
26.2 7.02.190
26.4 7.02.200
26.4 7.02.210
26.6 7.02.220
26.7 7.02.180
26.8 7.02.230
26.9 7.02.240
27 7.02.250
28 7.02.260
28.1 7.02.270
28.2 7.02.280
28.5 7.02.290
29 7.02.310
30 7.02.300
31 7.02.320
32 7.02.330
39 7.06.040
40 7.04.150
Article 3
43 7.06.010
43.5 7.06.020
43.6 7.06.030
44 7.06.050
44.5 7.06.060
44.6 7.06.070
44.7 7.06.080
45 7.06.100
45.2 7.06.110
45.3 7.06.120
45.7 7.06.130
46 7.06.140
47 7.06.150
48 7.06.160
Article 4
51 7.06.170
52 7.06.180
Article 5
61 7.06.200
62 7.06.230
62.2 7.06.240
62.3 7.06.250
62.6 7.06.210
63 7.06.260
64 7.06.220
Article 6
71 7.06.270
72 7.06.300
73 7.06.290
74 7.06.310
75 7.06.190
76 7.06.280
Article 7
81 7.08.060
82 7.08.010
82.7 7.08.070
83 7.08.080
84 7.06.090
84.5 7.08.090
85 7.08.020
86 7.08.030
86.2 7.08.040
87 7.08.050
91 7.08.110
91.5 7.08.100
91.6 7.08.120
91.7 7.08.130
91.9 7.08.140
92 7.08.150
92.1 7.08.160
92.2 7.08.170
93 7.08.190
94 7.08.180
95 7.08.200
95.6 7.08.210
95.7 7.08.220
95.8 7.08.230
96 7.08.240
97 7.08.270
98 7.08.250
98.5 7.08.260
98.6 7.08.280
Article 9
99 7.10.010
101 7.10.100
101.1 7.10.110
101.2 7.10.120
101.3 7.10.130
101.4 7.10.140
102 7.10.020
103 7.10.030
103.1 7.10.040
103.2 7.10.050
103.3 7.10.060
103.4 7.10.070
103.5 7.10.090
103.6 7.10.080
104 7.10.150
105 7.10.170
105.2 7.10.160
105.4 7.10.180
106 7.10.190
Article 9.5
107 7.12.010
108 7.12.030
108.2 7.12.040
109 7.12.020
109.1 7.12.050
109.2 7.12.060
109.3 7.12.070
109.5 7.12.080
109.6 7.12.090
109.7 7.12.100
109.9 7.12.110
110 7.12.120
111 7.04.070
112 7.04.080
113 7.04.210
114 7.04.200
115 7.04.220
Article 11
121 7.04.170
122 7.04.180
123 7.04.190
124 7.04.160
126 7.04.310
127 7.04.230
129 7.04.240
130 7.02.260
132 7.04.250
133 7.14.030
134 7.14.020
135 7.10.200
135.1 7.10.210
135.3 7.10.220
135.4 7.10.230
135.5 7.10.240
135.6 7.10.260
135.7 7.10.270
135.8 7.10.280
135.9 7.10.290
135.9.1 7.10.300
135.10 7.10.310
135.11 7.10.250
135.12 7.10.330
135.13 7.10.320
135.14 7.10.340
135.15 7.10.370
135.15.5 7.10.360
135.16 7.10.380
135.17 7.10.350
136 7.10.390
137 7.04.280
Chapter 2
Article 1
301 7.04.130
Article 2
321 7.90.030
321.5 7.90.040
322 7.90.050
323 7.90.060
324 7.90.070
325 7.90.080
326 7.90.340
326.5 7.90.350
327 7.90.360
328 7.90.370
328.1 7.90.430
328.2 7.90.440
328.3 7.90.450
328.4 7.90.460
328.5 7.90.480
328.6 7.90.010
328.7 7.90.490
328.8 7.90.470
328.9 7.90.500
329.2 7.90.390
329.4 7.90.400
329.8 7.90.420
330 7.90.090
331 7.90.100
332 7.90.110
333 7.90.120
335 7.90.130
336 7.90.140
338 7.90.150
339 7.90.160
340 7.90.170
340.8 7.90.180
341 7.90.190
341.2 7.90.200
343 7.90.510
344 7.90.520
345 7.90.520
346 7.90.530
347 7.90.210
349 7.90.540
350 7.90.550
351 7.90.560
352 7.90.220
353 7.90.230
354 7.90.570
355 7.90.580
358 7.90.240
360 7.90.250
360.5 7.90.260
361 7.90.590
361.5 7.90.600
362 7.90.020
363 7.90.270
364 7.90.280
366 7.90.610
372 7.90.290
375 7.90.620
375.2 7.90.630
375.4 7.90.640
376 7.90.300
377 7.90.310
378 7.90.320
379 7.90.330
Article 3
401 7.58.010
402 7.58.010
403 7.58.010
404 7.58.040
404.2 7.58.030
404.4 7.58.020
404.6 7.58.010
405 7.58.110
406 7.58.070
407 7.58.090
408 7.58.100
409 7.58.120
410 7.58.060
411 7.58.080
412 7.58.050
Article 4
441 7.18.010
441.5 7.18.010
442 7.18.020
445 7.18.030
446 7.18.040
447 7.18.050
450 7.18.060
451 7.18.090
452 7.18.120
453 7.18.100
454 7.18.110
455 7.18.070
457 7.18.080
Article 5
501 7.26.010
502 7.26.010
503 7.26.030
504 7.26.040
505 7.26.020
Article 7
531 7.38.010
532 7.38.020
533 7.38.030
535 7.38.040
