CODE COMPARATIVE TABLE - 1974 CODE
This table gives the location within the Code of the 1974 Code.
EXPAND
Code 1974
Section Section

this Code
1-1 1-1
1-2 1-2
1-3 1-3
1-4 1-4
1-5 1-5
1-6 1-6
1-7 1-7
1-8 1-8
1-9 1-9
1-10 1-10
1-11 1-11
1-12 1-12
2-1 2-1
2-3 2-22
2-4 2-88
2-5 2-89
2-6 2-90
2-7 2-91
2-9 20-1
2-19 2-111
2-20 2-112
2-24 2-113
2-25 2-114
2-26 2-115
2-27 2-116
2-39 2-48
2-40 2-49
2-41 2-50
2-43 2-51
2-44 2-52
2-45 2-53
2-47 2-54
2-48 2-55
2-49 2-56
2-50 2-57
2-61 12-21
2-62 12-22
2-63 12-23
2-64 12-24
2-92 2-268
2-93 2-269
2-94 2-270
2-95 2-271
2-96 2-272
5-2 1-4
6-1 10-1
— 10-21
— 10-22
— 10-23
6-2 10-1
— 10-21
— 10-22
— 10-23
6-3 10-1
— 10-21
— 10-22
— 10-23
6-4 10-1
— 10-21
— 10-22
— 10-23
8-14 14-1
8-15 14-2
8-16 14-3
8-28 14-4
9-13 28-19
9-14 28-20
9-15 28-21
9-16 28-23
9-17 28-24
11-1 1-4
11-12 20-21
11-13 20-22
11-14 20-23
11-15 20-25
11-16 20-26
11-17 20-24
11-18 20-27
11-19 20-28
11-21 20-29
11-22 20-30
12-25 20-49
12-26 20-49
— 20-50
12-27 20-51
12-28 20-52
12-29 20-53
12-30 20-54
12-31 20-55
12-32 20-56
12-33 20-57
15-1 1-4
15-12 2-202
15-13 2-203
15-14 2-204
15-15 2-205
15-16 2-206
15-17 2-207
17-1 1-4
17-2 30-1
17-3 30-2
17-4 30-3
17-6 30-5
17-7 30-6
18-1 32-1
18-2 32-2
18-3 32-2
20-1 34-1
20-2 34-2
20-4 34-4
20-5 34-5
20-18 34-6
20-19 34-7
20-20 34-8
20-21 34-9
20-22 34-10
20-23 34-11
20-24 34-12
20-25 34-13
20-26 34-14
