CODE COMPARATIVE TABLE - 2004 CODE
The following table gives the location within this Code of sections of the 2004 Code, and subsequently adopted ordinances, which are included herein:
EXPAND
Code 2004
Section Section
this Code
1-1 1-1
1-2 1-2
1-3 1-2
1-4 1-3
1-6 1-4
1-7 1-5
1-8 1-6
1-9 1-7
1-10 1-8
1-11 1-9
1-12 1-10
1-13 1-11
2-1 2-1
2-2 2-2
2-3 2-3
2-4 2-4
2-5 2-5
2-6 2-6
2-7 2-7
2-8 2-8
2-9 2-9
2-10 2-10
2-11 2-11
2-41 2-41
2-42 2-42
2-71 2-73
2-72 2-74
2-73 2-75
2-74 2-76
2-75 2-77
2-76 2-78
2-77 2-79
2-78 2-80
2-79 2-81
2-80 2-82
2-111 2-108
2-112 2-109
2-113 2-110
2-114 2-111
2-115 2-112
2-116 2-113
2-117 2-114
2-118 2-115
2-119 2-116
10-1 6-1
10-2 6-2
10-3 6-3
10-4 6-4
10-31 6-27
10-32 6-28
10-33 6-29
10-34 6-30
10-35 6-31
10-36 6-32
10-37 6-33
10-38 6-34
10-40 6-35
10-41 6-36
10-42 6-37
10-43 6-38
10-44 6-39
14-1 8-2
14-2 8-3
18-31 10-126
18-32 10-127
18-33 10-128
18-34 10-129
18-35 10-130
18-36 10-131
18-37 10-132
18-38 10-133
18-39 10-134
18-40 10-135
18-41 10-136
18-42(a) 10-19
18-42(b) 10-20
18-42(c) 10-21
18-43(a) 10-46
18-43(b) 10-47
18-43(c) 10-48
18-43(d) 10-49
18-43(e) 10-50
18-44 10-137
18-45(a) 10-74
18-45(b) 10-75
18-45(c) 10-76
18-45(d) 10-77
18-45(e) 10-78
18-46(a) 10-100
18-46(b) 10-101
18-46(c) 10-102
18-46(d) 10-103
18-46(e) 10-104
18-47 10-138
22-1 12-1
22-2 12-2
22-3 12-3
22-4 12-4
22-5 12-5
22-6 12-6
22-7 12-7
22-8 12-8
22-9 12-9
30-1 14-1
30-2 14-2
30-3 14-3
30-4 14-4
30-5 14-5
30-6 14-6
30-7 14-7
30-8 14-8
30-9 14-9
30-10 14-10
30-11 14-11
34-1 16-1
34-2 16-2
34-3 16-3
34-4 16-4
34-5 16-5
42-1 18-1
42-2 18-2
42-4 18-3
42-5 18-4
42-6 18-5
42-7 18-6
42-8 18-7
46-1 20-1
46-2 20-2
46-4 20-3
46-5 20-4
46-6 20-5
46-7 20-6
46-8 20-7
46-9 20-8
46-10 20-9
46-11 20-10
46-12 20-11
46-15 20-12
46-16 20-13
50-1 22-1
50-2 22-2
50-3 22-3
50-4 22-4
50-5 22-5
50-6 22-6
50-7 22-7
50-8 22-8
50-9 22-9
50-10 22-10
50-11 22-11
50-12 22-12
50-13 22-13
50-14 22-14
50-15 22-15
50-16 22-16
50-17 22-17
50-18 22-18
50-19 22-19
50-20 22-20
50-21 22-21
50-22 22-22
50-23 22-23
54-2 24-1
54-3 24-2
54-4 24-3
54-5 24-4
54-6 24-5
54-7 24-6
54-8 24-7
54-9 24-8
54-10 24-9
54-11 24-10
54-12 24-11
54-15 24-12
54-16 24-13
54-17 24-14
54-18 24-15
58-1 26-1
58-2 26-2
58-3 26-3
58-4 26-4
58-5 26-5
58-6 26-6
58-8 26-7
58-9 26-8
62-1 28-1
62-2 28-2
62-3 28-3
62-4 28-4
62-5 28-5
62-6 28-6
62-7 28-7
62-8 28-8
62-9 28-9
62-10 28-10
62-41 28-39
62-42 28-40
62-71 28-69
62-72 28-70
62-73 28-71
62-74 28-72
62-75 28-73
62-76 28-74
62-77 28-75
62-78 28-76
62-79 28-77
62-80 28-78
62-81 28-79
62-82 28-80
62-83 28-81
62-84 28-82
62-85 28-83
62-86 28-84
62-121 28-112
62-122 28-113
62-123 28-114
62-124 28-115
62-125 28-116
62-126 28-117
66-1 30-1
66-2 30-2
66-4 30-3
66-5 30-4
66-6 30-5
66-7 30-6
70-31 32-19
70-32 32-20
70-33 32-21
74-1 34-1
74-2 34-2
74-3 34-3
74-4 34-4
74-31 34-27
74-32 34-28
74-61 34-60
74-62 34-61
74-64 34-62
78-2 36-1
78-3 36-2
78-4 36-3
78-5 36-4
78-6 36-5
78-7 36-6
78-8 36-7
78-9 36-8
78-10 36-9
78-11 36-10
78-12 36-11
78-41 36-41
78-42 36-42
78-43 36-43
78-44 36-44
78-45 36-45
78-46 36-46
78-47 36-47
