SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
2010-247 12-14-10 Include 60
2010-248 12-14-10 Include 60
2010-250 12-14-10 Include 60
2010-251 12-14-10 Include 60
2010-252 12-14-10 Include 60
2010-253 12-14-10 Include 60
2010-254 12-14-10 Include 60
2010-255 12-14-10 Include 60
2011-31  3-15-11 Include 61
2011-110  7-12-11 Include 62
2011-119  8- 2-11 Include 62
2011-193 11-15-11 Include 62
2012-28  2- 7-12 Include 63
2012-37  2-21-12 Include 63
2012-52  3-20-12 Omit 64
2012-53  3-13-12 Include 64
2012-54  3-13-12 Include 64
2012-55  3-13-12 Include 64
2012-70  4-10-12 Include 64
2012-80  5- 1-12 Include 65
2012-159  8- 7-12 Include 66
2012-160  8- 7-12 Include 66
2012-161  8- 7-12 Include 66
2012-214 10-16-12 Omit 67
2012-229 11- 6-12 Include 67
2012-231 11-13-12 Include 67
2012-232 11-13-12 Include 67
2012-233 11-13-12 Include 67
2012-258 12-11-12 Include 68
2012-259 12-11-12 Include 68
2012-266 12-18-12 Omit 68
2013-12  1- 8-13 Include 68
2013-13  1- 8-13 Omit 68
2013-14  1- 8-13 Omit 68
2013-15  1- 8-13 Include 68
2013-16  1- 2-13 Include 68
2013-17  1- 8-13 Include 68
2013-52  2-19-13 Include 69
2013-73  3-12-13 Include 69
2013-82  4- 9-13 Include 69
2013-110  4-16-13 Include 69
2012-45  3- 6-12 Include 70
2013-149  6-18-13 Include 70
2013-158  6-18-13 Include 70
2013-159  6-18-13 Include 70
2013-19  2- 5-13 Include 71
2013-246 10- 1-13 Include 71
2013-265 10-15-13 Include 71
2013-266 10-15-13 Include 71
2013-290 12- 3-13 Omit 71
2013-291 11-19-13 Include 71
2013-316 12-17-13 Include 71
2013-318  1- 7-14 Omit 71
2014-6  1- 7-14 Include 71
2014-20  1-21-14 Include 71
2014-43  2-18-14 Include 72
2014-58  3-18-14 Include 72
2014-59  3-18-14 Include 72
2014-84  4-15-14 Include 72
2014-85  5- 6-14 Include 73
2014-102  5- 6-14 Include 73
2014-119  5-20-14 Include 73
2014-120  5-20-14 Include 73
2014-126  5-20-14 Include 73
2014-215  8-19-14 Include 74
2014-281 10-21-14 Include 74
2014-286 11-18-14 Include 74
2014-288 11-18-14 Include 74
2014-314 12- 2-14 Include 75
2014-319 12- 2-14 Include 75
2015-29  2-17-15 Omit 76
2015-37  2-17-15 Include 76
2015-52  3- 3-15 Include 76
2015-85  4- 7-15 Include 77
2015-86  4- 7-15 Include 77
2015-94  4-21-15 Include 77
2015-95  4-21-15 Include 77
2015-115  5- 5-15 Include 77
2015-116  5- 5-15 Include 77
2015-117  5- 5-15 Include 77
2015-134  5-19-15 Include 77
2015-135  5-19-15 Include 77
2015-143  6- 2-15 Include 77
2015-158  6-16-15 Include 77
2015-288 11-17-15 Include 78
2016-47  3- 1-16 Include 78
2016-79  4-19-16 Include 79
2016-115  6- 7-16 Include 79
2016-152  8- 2-16 Include 80
2016-164  9- 6-16 Include 80
2016-169 10-18-16 Include 81
2016-170 10-18-16 Include 81
2016-171 10-18-16 Include 81
2016-172 11- 1-16 Include 81
2016-173 11-15-16 Include 81
2016-178 12- 6-16 Include 81
2016-176 12-20-16 Include 81
2016-177 12-20-16 Include 81
2016-184 12-20-16 Include 81
2017-6  1- 3-17 Include 82
2017-7  2- 7-17 Include 82
2017-12  2-21-17 Include 82
2017-16  3- 7-17 Include 82
2017-23  4- 4-17 Include 82
2017-29  5- 2-17 Include 83
2017-36  5-16-17 Include 83
2017-41  5-30-17 Include 83
2017-42  5-30-17 Include 83
2017-43  5-30-17 Include 83
2017-44  5-30-17 Include 83
2017-45  6- 6-17 Include 83
2017-56  7-18-17 Include 83
2017-67 10- 3-17 Include 83
2017-20  3-21-17 Include 84
2017-73 11- 7-17 Include 84
2017-74 11- 7-17 Include 84
2017-79 11-21-17 Include 84
2017-88 12-19-17 Include 84
