SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
R-33-09  8- 6-2009 Omit 1
R-01-15  1- 1-2015 Omit 1
R-02-15  1- 1-2015 Omit 1
R-03-15  1- 1-2015 Omit 1
R-04-15  1- 1-2015 Omit 1
R-05-15  1- 1-2015 Omit 1
R-06-15  1- 1-2015 Omit 1
R-07-15  1-29-2015 Omit 1
R-08-15  2- 5-2015 Omit 1
R-09-15  2- 5-2015 Omit 1
R-10-15  2- 5-2015 Omit 1
R-11-15  2- 5-2015 Omit 1
R-12-15  2- 5-2015 Omit 1
R-13-15  2- 5-2015 Omit 1
R-14-15  2- 5-2015 Omit 1
R-15-15  2- 5-2015 Omit 1
R-16-15  2- 5-2015 Omit 1
R-17-15  2- 5-2015 Omit 1
R-18-15  3- 5-2015 Omit 1
R-19-15  3- 5-2015 Omit 1
R-20-15  3- 5-2015 Omit 1
R-21-15  4- 2-2015 Omit 1
R-22-15  5- 7-2015 Omit 1
R-23-15  6- 4-2015 Omit 1
R-24-15  5- 7-2015 Omit 1
R-25-15  5- 7-2015 Omit 1
R-26-15  5- 7-2015 Omit 1
R-27-15  5- 7-2015 Omit 1
R-28-15  5- 7-2015 Omit 1
R-29-15  5- 7-2015 Omit 1
R-30-15  5- 7-2015 Omit 1
R-31-15  6- 4-2015 Omit 1
R-32-15  6- 4-2015 Omit 1
R-33-15  6- 4-2015 Omit 1
R-34-15  6- 4-2015 Omit 1
R-35-15  6- 4-2015 Omit 1
R-36-15  6-25-2015 Omit 1
R-37-15  6-25-2015 Omit 1
R-38-15  7- 2-2015 Omit 1
R-39-15  7- 2-2015 Omit 1
R-40-15  8- 6-2015 Omit 1
09-03-15  9- 3-2015 Include 1
R-41-15  9- 3-2015 Omit 1
R-42-15  9- 3-2015 Omit 1
R-43-15  9- 3-2015 Omit 1
R-44-15  9- 3-2015 Omit 1
10-01-15 10- 1-2015 Include 1
R-45-15 10- 1-2015 Omit 1
R-46-15 11- 5-2015 Omit 1
R-47-15 10- 1-2015 Omit 1
R-48-15 11- 5-2015 Omit 1
R-49-15 11- 5-2015 Omit 1
R-50-15 11- 5-2015 Omit 1
R-51-15 11- 5-2015 Omit 1
R-52-15 11- 5-2015 Omit 1
R-53-15 11- 5-2015 Omit 1
R-54-15 11- 5-2015 Omit 1
R-55-15 11- 5-2015 Omit 1
R-56-15 11- 5-2015 Omit 1
12-03-15 12- 3-2015 Include 1
R-57-15 12- 3-2015 Omit 1
R-58-15 12- 3-2015 Omit 1
R-59-15 12- 3-2015 Omit 1
R-60-15 12- 3-2015 Omit 1
R-61-15 12- 3-2015 Omit 1
R-62-15 12- 3-2015 Omit 1
R-63-15 12- 3-2015 Omit 1
R-01-16  1- 7-2016 Omit 1
R-02-16  1- 7-2016 Omit 1
R-03-16  1- 7-2016 Omit 1
R-04-16  1- 7-2016 Omit 1
R-05-16  1- 7-2016 Omit 1
R-06-16  1- 7-2016 Omit 1
R-07-16  1- 7-2016 Omit 1
02-04-16  2- 4-2016 Include 1
03-03-16  2- 4-2016 Include 1
R-08-16  2- 4-2016 Omit 1
R-09-16  2- 4-2016 Omit 1
R-10-16  2- 4-2016 Omit 1
R-11-16  3- 3-2016 Omit 1
R-12-16  3- 3-2016 Omit 1
R-13-16  3- 3-2016 Omit 1
R-14-16  3- 3-2016 Omit 1
R-15-16  3- 3-2016 Omit 1
R-16-16  4- 7-2016 Omit 1
R-17-16  4- 7-2016 Omit 1
R-18-16  4- 7-2016 Omit 1
R-19-16  4- 7-2016 Omit 1
R-20-16  4- 7-2016 Omit 1
R-21-16  5- 5-2016 Omit 1
R-22-16  5- 5-2016 Omit 1
R-23-16  5- 5-2016 Omit 1
R-24-16  5- 5-2016 Omit 1
06-02-16  6- 2-2016 Include 1
R-25-16  6- 2-2016 Omit 1
R-26-16  6- 2-2016 Omit 1
R-27-16  6- 2-2016 Omit 1
R-28-16  6-23-2016 Omit 1
R-29-16  7- 7-2016 Omit 1
R-30-16  8- 4-2016 Omit 1
R-31-16  8- 4-2016 Omit 1
R-32-16  8- 4-2016 Omit 1
R-33-16  8- 4-2016 Omit 1
R-34-16  8- 4-2016 Omit 1
R-35-16  8- 4-2016 Omit 1
R-36-16  9- 1-2016 Omit 1
R-37-16  8-25-2016 Omit 1
R-38-16  9- 1-2016 Omit 1
R-39-16  9- 1-2016 Omit 1
R-40-16 10- 6-2016 Omit 1
R-41-16 11- 3-2016 Omit 1
R-42-16 11- 3-2016 Omit 1
R-43-16 11- 3-2016 Omit 1
R-44-16 12- 1-2016 Omit 1
R-45-16 12- 1-2016 Omit 1
R-46-16 12- 1-2016 Omit 1
R-47-16 12- 1-2016 Omit 1
R-48-16 12- 1-2016 Omit 1
R-49-16 12- 1-2016 Omit 1
R-50-16 12- 1-2016 Omit 1
R-51-16 12- 1-2016 Omit 1
R-52-16 12- 1-2016 Omit 1
R-53-16 12- 1-2016 Omit 1
R-54-16 12- 1-2016 Omit 1
R-55-16 12- 1-2016 Omit 1
R-56-16 12- 1-2016 Omit 1
R-57-16 12- 1-2016 Omit 1
R-58-16 12- 1-2016 Omit 1
R-59-16 12- 1-2016 Omit 1
R-60-16 12- 1-2016 Omit 1
R-61-16 12- 1-2016 Omit 1
R-62-16 12- 1-2016 Omit 1
R-63-16 12- 1-2016 Omit 1
01-05-17  1- 5-2017 Include 1
R-01-17  1- 5-2017 Omit 1
R-02-17  1- 5-2017 Omit 1
R-03-17  1- 5-2017 Omit 1
R-04-17  2- 2-2017 Omit 1
R-05-17  3- 2-2017 Omit 1
