SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature and ordinances that amend subject matter not found in the Code are not codified and are considered "Omitted."
EXPAND
Ord. Date Included/Omitted Supp. No.
6-21-11 Included 27
7-19-11 Included 27
10-18-11 Included 28
8-21-12 Included 28
9-18-12 Included 28
9-18-12 Included 28
12-18-12 Included 28
12-18-12 Included 28
12-18-12 Included 28
12-18-12 Included 28
12-18-12 Included 28
12-18-12 Included 28
12-18-12 Included 28
1-22-13 Included 28
8-20-13 Included 29
4- 2-13 Included 29
4- 2-13 Included 29
10-15-13 Included 30
12- 3-13 Included 30
1- 7-14 Included 30
5-20-14 Included 31
10- 7-14 Included 31
4- 7-15 Included 32
11- 2-15 Included 33
12- 1-15 Included 33
1-19-16 Included 34
3-15-16 Included 34
6-21-16 Included 35
6-21-16 Included 35
8- 2-16 Included 36
2-21-17 Included 36
4- 4-17 Included 36
5- 2-17 Included 36
3-20-18 Included 37
6-19-18 Included 37
11- 6-18 Included 38
11- 6-18 Included 38
12-18-18 Included 39
1- 8-19 Included 39
4- 2-19 Included 40
11- 7-18 Included 41
9-17-19 Included 41
9-17-19 Included 41
10- 1-19 Included 42
11- 5-19 Included 42
11- 5-19 Included 42
11- 5-19 Included 42
12- 3-19 Included 42
12-17-19 Included 42
7-21-20 Included 43
7-21-20 Included 43
9-15-20 Included 44
8-17-21 Included 45
12-14-21 Included 46
12-14-21 Included 46
8- 2-22 Included 47
9-20-22 Included 47
11-29-22 Included 48
9- 6-22 Included 49
4-18-23 Included 49
5-17-22 Included 50
5-16-23 Included 50
