SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
O-2010-39 10- 4-10 Include 58
O-2010-40 10-18-10 Include 58
O-2010-43 11-15-10 Include 58
O-2010-47 11-15-10 Include 58
O-2011-5   3- 7-11 Include 59
O-2011-11  4-18-11 Include 60
O-2011-12  4-18-11 Include 60
O-2011-16  6- 6-11 Include 60
O-2011-17  6- 6-11 Include 60
O-2011-18  6- 6-11 Include 60
O-2011-37  9- 6-11 Include 61
O-2011-39 10- 3-11 Include 61
O-2011-40 10-17-11 Include 61
O-2011-46 11- 7-11 Include 61
O-2011-50 12-19-11 Include 61
O-2011-51 12-19-11 Include 61
O-2011-52 12-19-11 Include 61
O-2012-11  3- 5-12 Include 62
O-2012-15  4-16-12 Include 63
O-2012-16  4-16-12 Include 63
O-2012-19  5- 7-12 Include 63
O-2012-23  6- 4-12 Include 63
O-2012-24  6- 4-12 Include 63
O-2012-25  6-18-12 Include 63
O-2012-33  7- 2-12 Include 64
O-2012-35  7-16-12 Include 64
O-2012-37  8- 6-12 Include 64
O-2012-38  8- 6-12 Include 64
O-2012-21  5- 7-12 Include 65
O-2012-50 11-19-12 Include 65
O-2012-52 11-19-12 Include 65
O-2013-4  1-22-13 Include 65
O-2013-8  2- 4-13 Include 65
O-2013-10  2-18-13 Include 65
O-2013-11  3- 4-13 Include 65
H.B. 1264  7- 1-12 Include 66
O-2013-28  6-18-13 Include 66
O-2013-36  9-13-13 Include 67
O-2013-39  9-16-13 Include 67
O-2013-43 10-21-13 Include 68
O-2013-49 11-18-13 Include 68
O-2013-51 11-18-13 Include 68
O-2013-52 12- 4-13 Include 68
O-2013-53 12-16-13 Include 68
O-2013-55 12-31-13 Include 68
O-2014-07  1-21-14 Include 69
O-2014-11  2- 3-14 Include 69
O-2014-23  3-17-14 Include 69
O-2014-24  4-21-14 Include 70
2014-07(Res.)  2- 3-14 Omit 71
2014-08(Res.)  2- 3-14 Omit 71
2014-09(Res.)  2- 3-14 Omit 71
2014-15(Res.)  3- 3-14 Omit 71
2014-16(Res.)  3- 3-14 Omit 71
2014-17(Res.)  3- 3-14 Omit 71
2014-18(Res.)  3- 3-14 Omit 71
2014-19(Res.)  3- 3-14 Omit 71
2014-20(Res.)  3- 3-14 Omit 71
O-2014-37  7-21-14 Include 71
O-2014-44  8-18-14 Include 71
O-2014-45  8-18-14 Include 71
O-2014-48 10-20-14 Include 72
O-2014-53 11- 3-14 Include 72
O-2014-58 11-17-14 Include 72
O-2014-59 12-15-14 Include 72
O-2015-2  1- 7-15 Include 73
O-2015-3  1- 7-15 Include 73
O-2015-4  1-20-15 Include 73
O-2015-7  2- 2-15 Include 73
O-2015-9  2-16-15 Include 73
O-2015-11  4-20-15 Include 74
O-2015-15  4-20-15 Include 74
O-2015-16  5- 4-15 Omit 74
O-2015-17  5- 4-15 Include 74
O-2015-23  6-15-15 Omit 74
2015-26(Res.)  5- 4-15 Omit 74
2015-27(Res.)  5- 4-15 Omit 74
2015-28(Res.)  5- 4-15 Omit 74
2015-29(Res.)  5- 4-15 Omit 74
O-2015-20  5-18-15 Include 74
O-2015-32  7-20-15 Omit 75
O-2015-33  7-30-15 Omit 75
O-2015-35  8-17-15 Include 75
O-2015-36  8-17-15 Omit 75
2015-37(Res.)  7- 6-15 Omit 75
O-2015-39  8-17-15 Include 75
O-2015-40  9- 8-15 Include 75
O-2015-41  9- 8-15 Include 75
O-2015-42  9-21-15 Omit 75
2015-43(Res.)  7-13-15 Omit 75
O-2015-43  9-21-15 Omit 75
O-2015-44  9-21-15 Include 75
O-2015-45  9-21-15 Include 75
2015-50(Res.)  8-17-15 Omit 75
2015-51(Res.)  9- 8-15 Omit 75
2015-55(Res.)  9-21-15 Omit 75
2015-56(Res.)  4-21-15 Omit 75
2015-57(Res.)  9-21-15 Omit 75
O-2015-47 10- 5-15 Include 76
O-2015-52 11- 2-15 Include 76
O-2015-55 12- 7-15 Include 76
O-2015-58 12-21-15 Include 76
O-2015-59 12-21-15 Include 76
O-2016-3  2- 1-16 Include 76
O-2016-11  5- 2-16 Include 77
O-2016-27  6-20-16 Include 77
O-2016-36  7-18-16 Include 78
O-2016-45 10- 3-16 Include 78
O-2016-51 11- 7-16 Include 79
O-2016-52 11- 7-16 Include 79
O-2016-59 12-19-16 Include 80
O-2017-1  1-17-17 Omit 80
O-2017-8  2-20-17 Include 80
