SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
2010-10-37 10-25-2010 Included 4
2010-10-39 10-25-2010 Included 4
2010-10-40 11-22-2010 Included 4
2010-10-41 11-22-2010 Included 4
2010-10-42 11-22-2010 Included 4
2011-01-01  1-24-2011 Included 5
2011-01-02  1-24-2011 Included 5
2011-01-03  1-24-2011 Included 5
2011-01-04  1-24-2011 Included 5
2011-01-05  1-24-2011 Included 5
2011-02-07  2-28-2011 Included 5
2011-02-08  2-28-2011 Included 5
2011-03-11  3-28-2011 Included 5
2011-05-13  5-23-2011 Included 6
2011-05-14  5-23-2011 Included 6
2011-05-15  5-23-2011 Included 6
2011-07-22  7-11-2011 Included 6
2011-07-24  7-25-2011 Included 6
2011-07-26  7-25-2011 Included 6
2011-07-27  8-22-2011 Omitted 7
2011-09-29  9-26-2011 Included 7
2011-09-30  9-26-2011 Included 7
2011-06-20  6-20-2011 Included 8
2011-06-21  6-20-2011 Included 8
2011-10-33 10-24-2011 Included 8
2012-03-01  3-26-2012 Included 9
2012-03-03  4- 9-2012 Included 9
2012-04-04  4- 9-2012 Included 9
2012-04-05  4-23-2012 Included 10
2012-05-07  5-29-2012 Included 10
2012-08-10  8-27-2012 Included 11
2013-01-02  1-28-2013 Included 12
2013-04-07  4- 1-2013 Included 13
2013-08-12  8-26-2013 Omitted 14
2013-10-14 10-14-2013 Included 14
2013-10-15 10-14-2013 Included 14
2013-12-17 12- 9-2013 Included 14
440(Act)  4-10-2014 Included 15
2014-05-03  5-27-2014 Included 15
2014-06-04  6- 9-2014 Included 16
2014-08-10  8-11-2014 Included 17
2014-10-15 10-27-2014 Omitted 17
2014-10-16 10-27-2014 Included 17
2014-09-13  9-22-2014 Included 18
2014-09-14  9-22-2014 Included 18
2014-12-19 12- 8-2014 Included 18
2015-01-01  1-26-2015 Included 19
2015-01-04  1-26-2015 Included 19
2015-01-05  1-26-2015 Included 19
2015-03-07  3-23-2015 Included 19
562(Act)  6- 2-2010 Included 20
2015-06-11  6- 8-2015 Included 20
2015-06-12  6- 8-2015 Included 20
2015-06-13  6-22-2015 Included 20
2015-09-18  9-28-2015 Included 21
2016-04-04  4-11-2016 Included 22
2016-07-07  7-25-2016 Included 23
2016-08-11  7-25-2016 Included 23
2016-05-05  5- 9-2016 Omitted 24
2016-11-20 11-14-2016 Omitted 24
2017-01-02  1- 9-2017 Included 24
2017-02-03  2-13-2017 Included 24
2017-02-04  2-27-2017 Included 25
2017-03-06  3-27-2017 Included 25
2017-04-07  4-11-2017 Included 26
2017-05-09  5-22-2017 Included 26
2017-05-13  5-22-2017 Included 26
2017-05-14  5-22-2017 Included 26
2017-07-18  7-24-2017 Included 27
2017-10-19 10- 9-2017 Included 27
2017-12-21 12-11-2017 Included 28
2018-03-01  3-12-2018 Included 29
2018-03-05  3-26-2018 Included 29
2018-04-06  4- 9-2018 Included 29
2018-04-07  4- 9-2018 Included 29
2018-05-09  5-21-2018 Included 30
2018-05-10  5-21-2018 Included 30
2018-07-12  7-23-2018 Included 31
2018-07-13  7-23-2018 Included 31
2018-08-14  8-13-2018 Included 31
2018-09-15  9-11-2018 Omitted 31
2018-10-16 10- 8-2018 Included 31
2018-12-20 12-10-2018 Included 32
2019-01-01  1-28-2019 Included 33
2019-01-02  1-28-2019 Included 33
2019-01-03  1-28-2019 Included 33
2019-02-05  2-11-2019 Included 33
2019-05-08  5- 6-2019 Included 34
2019-05-09  5- 6-2019 Included 34
2019-05-10  5- 6-2019 Included 34
2019-06-11  6-10-2019 Included 34
2019-07-14  7-22-2019 Included 35
2019-08-15  8-12-2019 Included 35
2019-11-18 11-18-2019 Included 35
2019-12-19 12- 9-2019 Included 35
2019-12-20 12- 9-2019 Included 35
2019-12-23 12- 9-2019 Included 35
2020-02-02  2-24-2020 Included 36
2020-03-04  3- 9-2020 Included 36
2020-03-05  3- 9-2020 Included 36
2020-07-12  7-13-2020 Included 36
2020-08-15  8-24-2020 Included 36
2020-08-16  8-24-2020 Included 36
2020-11-21 11-30-2020 Included 36
2020-11-23 11-30-2020 Included 36
2021-05-08  5-10-2021 Included 36
2021-06-09  6-14-2021 Included 37
2021-07-10  7-12-2021 Included 37
2021-09-12  9-27-2021 Included 37
2021-09-13  9-27-2021 Included 37
2021-09-14  9-27-2021 Included 37
2021-09-15  9-27-2021 Included 37
2021-09-16  9-27-2021 Included 37
2021-10-17 10-11-2021 Included 37
2021-10-18 10-11-2021 Included 37
2021-11-19 11- 8-2021 Included 38
2021-11-20 11-29-2021 Omitted 38
2022-01-01  1-10-2022 Included 38
2022-01-02  1-10-2022 Included 38
2021-11-20 11-29-2021 Omitted 39
2022-06-08  6-13-2022 Included 39
2022-06-09  6-13-2022 Included 39
2022-06-10  6-13-2022 Included 39
2022-06-11  6-13-2022 Included 39
2022-06-12  6-13-2022 Included 39
2022-08-13  8-22-2022 Included 40
2022-11-14 11-28-2022 Included 40
2023-02-01  2-13-2023 Included 41
2023-06-02  6-12-2023 Included 41
2023-06-03  6-12-2023 Included 41
2023-06-05  6-12-2023 Included 41
2023-06-06  6-12-2023 Included 41
