SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
Supp. No. 3
327  6-16-09 Omit 3
328  5- 5-09 Include 3
331  6-16-09 Omit 3
332 10- 6-09 Include 3
336 12- 1-09 Omit 3
339  2- 2-10 Include 3
340  3-16-10 Omit 3
342  6-15-10 Include 3
343  8- 3-10 Include 3
345  8-17-10 Include 3
346  9-21-10 Omit 3
347-E 11- 2-10 Omit 3
348 12-7-10 Include 3
351  1- 4-11 Include 3
352  1- 4-11 Include 3
353  1- 4-11 Omit 3
354  3- 1-11 Include 3
355  6- 7-11 Omit 3
356  6- 7-11 Include 3
357  7-12-11 Include 3
361  9- 6-11 Include 3
363  9-20-11 Omit 3
365 12- 6-11 Omit 3
366 12- 6-11 Include 3
367 12- 6-11 Include 3
368  2- 7-12 Omit 3
369  4-17-12 Include 3
371  8- 7-12 Include 3
372  8- 7-12 Include 3
375 10- 2-12 Include 3
Supp. No. 4
376 12- 4-12 Include 4
377  1- 8-13 Omit 4
378  3- 5-13 Include 4
379  3- 5-13 Include 4
380  5- 7-13 Omit 4
381  5- 7-13 Include 4
382  9-10-13 Omit 4
383  9- 3-13 Omit 4
384 12- 3-13 Include 4
Supp. No. 5
170  9-10-02 Include 5
170-A  5-12-03 Include 5
170-B  5-11-04 Include 5
170-C 11- 5-04 Include 5
170-D 12-14-04 Include 5
170-E  6-16-05 Include 5
170-F  9-13-05 Include 5
172  7- 9-03 Include 5
172-A  5- 5-05 Include 5
172-B  5- 5-05 Include 5
172-D  5- 5-05 Include 5
172-F  5- 5-05 Include 5
314 11- 4-08 Omit 5
Supp. No. 6
385  2-14-14 Include 6
386  3-25-14 Include 6
389  4-22-14 Omit 6
391  7-22-14 Include 6
395 10-28-14 Include 6
396 10-28-14 Include 6
398 12-23-14 Include 6
399  2-10-15 Omit 6
401 Denied 6
402  9-22-15 Include 6
403  3-24-15 Omit 6
405  5-12-15 Omit 6
406  5-12-15 Include 6
409  7-14-15 Include 6
410  7-14-15 Include 6
411  8-11-15 Omit 6
Supp. No. 7
220  2-14-06 Include 7
412  9-22-15 Omit 7
413 11-10-15 Omit 7
414  2- 9-16 Include 7
415  2- 9-16 Include 7
416  4-12-16 Include 7
417  3- 8-16 Include 7
418  3- 8-16 Omit 7
419  3- 8-16 Include 7
420  4-12-16 Include 7
421  5-10-16 Omit 7
422  8- 9-16 Omit 7
423  5-10-16 Include 7
424  9-13-16 Include 7
425  9-13-16 Include 7
426  9-27-16 Omit 7
428  3-14-17 Include 7
429 12-27-16 Include 7
430  1-10-17 Include 7
432  2-17-17 Omit 7
433  3-14-17 Omit 7
Supp. No. 8
434  6-13-17 Include 8
435  5- 9-17 Include 8
H.B. 539  5-13-17 Include 8
436  7-11-17 Omit 8
439  8- 8-17 Include 8
440  9-28-17 Omit 8
443 12-12-17 Include 8
Supp. No. 9
444  4-10-18 Include 9
446  5-8-18 Omit 9
447  5-8-18 Omit 9
448  5-8-18 Omit 9
449  5-8-18 Omit 9
450  7-10-18 Include 9
451  7-10-18 Include 9
455  7-24-18 Include 9
456  8-14-18 Include 9
457  8-14-18 Include 9
458  8-14-18 Include 9
459  8-14-18 Include 9
460  8-14-18 Include 9
463 10-29-18 Include 9
464 10-22-18 Include 9
466 10-29-18 Omit 9
468 10-22-18 Omit 9
469 10-22-18 Omit 9
471 12-27-18 Include 9
Supp. No. 10
474  3-12-19 Include 10
475  5-14-19 Include 10
476  3-12-19 Omit 10
478  9-10-19 Include 10
481  8-13-19 Include 10
483 10- 8-19 Include 10
484 10- 8-19 Include 10
485 10- 8-19 Include 10
486 10- 8-19 Include 10
487 10- 8-19 Include 10
488 10- 8-19 Include 10
489 10- 8-19 Include 10
490 10- 8-19 Include 10
491 10- 8-19 Include 10
492 10- 8-19 Include 10
496 10-15-19 Omit 10
497 12-10-19 Include 10
498  1-14-20 Include 10
499  1-14-20 Include 10
500  1-14-20 Include 10
507  2-11-20 Include 10
Supp. No. 11
311 10-21-08 Include 11
482  3-10-20 Omit 11
502  2-11-20 Include 11
503  2-11-20 Include 11
504  2-11-20 Include 11
505  2-11-20 Include 11
506  2-11-20 Include 11
508A  3-10-20 Omit 11
508B  3-10-20 Omit 11
509  3-10-20 Omit 11
510  3-10-20 Omit 11
511  3-10-20 Omit 11
512  3-10-20 Omit 11
Supp. No. 12
513  5-12-20 Include 12
515  4- 2-20 Omit 12
516  6- 9-20 Include 12
517  6- 9-20 Include 12
518  7-14-20 Include 12
519  8-11-20 Include 12
520  7-29-20 Omit 12
522 10-13-20 Include 12
523 10-13-20 Include 12
524 10-13-20 Include 12
525  9-22-20 Omit 12
526 11-10-20 Include 12
527 11-10-20 Include 12
529 12- 8-20 Include 12
530 12- 8-20 Include 12
531 12- 8-20 Include 12
532 12- 8-20 Include 12
534  1-12-21 Include 12
535  2- 9-21 Omit 12
Supp. No. 13
521  5-11-21 Include 13
535  2- 9-21 Omit 13
536  3- 9-21 Omit 13
537  3- 9-21 Include 13
538  4-13-21 Include 13
539  4-13-21 Include 13
