SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Included/
Omitted Supp. No.
2002-03 Included 5
2010-01 Included 5
2010-02 Included 5
2010-03 Included 5
2010-05 Omitted 5
2010-06 Omitted 5
2010-07 Omitted 5
2010-08 Included 5
2010-09 Included 5
2010-10 Omitted 5
2010-11 Included 5
2010-12 Included 5
2010-13 Omitted 5
2010-14 Included 5
2011-01 Included 5
2011-02 Included 5
2011-04 Included 5
2011-05 Included 5
2011-06 Omitted 5
2011-07 Included 5
2011-08 Included 5
2011-09 Included 5
2011-10 Included 5
2011-11 Included 5
2011-12 Included 5
2011-13 Included 5
2011-14 Included 5
2011-15 Included 5
2004-19 Included 6
2012-01 Included 6
2012-03 Included 6
2012-05 Omitted 6
2012-06 Included 6
2012-07 Included 6
2012-08 Omitted 6
2012-09 Included 6
2013-02 Included 6
2013-03 Included 6
2013-04 Included 6
2013-05 Included 6
2013-06 Omitted 6
2013-07 Included 6
2013-08 Included 6
2013-09 Omitted 6
2013-10 Included 6
2013-11 Included 6
2013-12 Included 6
2013-13 Included 6
2013-14 Included 6
2014-01 Included 6
2014-02 Included 6
2014-03 Included 6
2014-04 Included 6
2014-05 Included 6
2014-06 Included 6
2014-07 Included 7
2014-08 Included 7
2014-09 Included 7
2014-10 Included 7
2014-11 Included 7
2014-12 Included 7
2014-13 Included 7
2015-01 Omitted 7
2015-02 Included 7
2015-03 Included 7
2015-04 Included 7
2015-05 Included 7
2015-06 Included 7
2015-07 Included 7
2015-08 Omitted 7
2015-10 Omitted 7
2015-11 Included 7
2015-12 Included 7
2015-13 Included 7
2015-14 Included 7
2015-15 Included 7
2015-17 Included 7
2015-18 Omitted 7
2015-19 Included 7
2015-20 Omitted 7
2016-01 Omitted 7
2016-02 Omitted 7
2016-03 Included 7
2016-08 Included 7
2016-10 Included 7
2016-11 Omitted 7
2016-12 Included 7
2016-14 Included 7
2016-15 Omitted 7
2016-18 Included 7
2016-19 Included 7
2016-20 Included 7
2016-21 Included 7
2016-22 Omitted 7
2016-23 Included 8
2016-26 Included 8
2016-29 Included 8
2016-33 Included 8
2016-34 Included 8
2016-35 Included 8
2016-36 Included 8
2017-03 Omitted 8
2017-04 Included 8
2017-05 Included 8
2017-06 Omitted 8
2017-09 Included 8
2017-10 Included 8
2017-11 Included 8
2017-12 Omitted 8
2017-15 Included 8
2018-02 Included 8
2018-01 Included 9
2018-03 Included 9
2018-04 Included 9
2018-05 Omitted 9
2018-06 Included 9
2018-07 Included 9
2018-08 Included 9
2018-10 Included 9
2018-11 Included 9
2018-12 Included 9
2018-13 Included 9
2018-14 Included 9
2018-15 Included 9
2018-16 Included 9
2018-17 Omitted 9
2018-18 Included 9
2018-19 Omitted 9
2018-20 Included 9
2018-21 Included 9
2019-01 Omitted 9
2019-02 Omitted 9
2016-28 Included 10
2019-03 Included 10
2019-04 Included 10
2019-05 Omitted 10
2019-06 Included 10
2019-07 Omitted 10
2019-08 Omitted 10
2019-09 Included 10
2019-10 Included 10
2019-11 Included 10
2019-12 Included 10
2019-13 Omitted 10
2019-14 Included 10
2019-15 Included 10
2019-16 Omitted 10
2019-18 Included 10
2019-19(1) Included 10
2019-20 Included 10
2019-21 Included 10
2019-22 Included 10
2019-23 Included 10
2019-16 Included 11
2019-17 Included 11
2019-19(2) Included 11
2019-24 Included 11
2019-25 Included 11
2019-27 Included 11
2019-28 Included 11
2019-29 Included 11
2019-30 Included 11
2019-31 Included 11
2019-32 Included 11
2019-33 Included 11
2019-34 Included 11
2019-35 Omitted 11
2019-26 Included 12
2019-36 Included 12
2019-37 Included 12
2019-38 Included 12
2019-39 Included 12
2019-40 Omitted 12
2019-41 Omitted 12
2020-1 Included 12
2020-2 Included 12
2020-3 Included 12
2020-4 Included 12
2020-5 Omitted 12
2020-6 Omitted 12
2020-7 Included 12
Amd. of June 2018 Included 13
2020-8 Omitted 13
2020-09 Omitted 13
2020-10 Included 13
2020-11 Omitted 13
2020-12 Omitted 13
2020-12 Included 14
2020-13 Omitted 14
2020-14 Included 14
2020-15 Included 14
2020-16 Included 14
2020-17 Omitted 14
2020-18 Included 14
2020-19 Omitted 14
2020-20 Included 14
2020-21 Included 14
2020-22 Omitted 14
2020-23 Included 15
2020-24 Included 15
2020-25 Included 15
2020-26 Omitted 15
2020-27 Included 15
2020-28 Included 15
2020-29 Included 15
2021-01 Included 16
2021-02 Omitted 16
2021-03 Included 16
2021-04 Included 16
2021-06 Included 16
2021-07 Included 16
2021-08 Omitted 16
2021-09 Included 16
2021-10 Omitted 16
2021-11 Omitted 16
2021-12 Included 16
2021-13 Included 16
2021-14 Included 16
2021-15 Included 16
2021-16 Omitted 16
2021-17 Included 16
2021-18 Omitted 16
2021-19 Included 16
2022-01 Omitted 16
2022-02 Included 16
2022-03 Omitted 16
2022-04 Included 16
2022-06 Omitted 16
2022-09 Included 16
2022-11 Included 16
