SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ordinance
Number Date
Adopted Include/
Omit Supplement
Number
04-06-038  6-21-04 Include 8
04-11-081 11- 1-04 Include 8
09-07-026  7- 6-09 Include 8
09-08-032  8- 3-09 Include 8
09-10-040 10- 5-09 Include 8
09-10-042 10- 5-09 Include 8
09-10-058 10- 5-09 Include 8
09-12-052 12- 7-09 Omit 8
10-01-004  1- 4-10 Include 8
10-02-006  2- 1-10 Include 8
10-02-007  2- 1-10 Include 8
10-02-008  2- 1-10 Include 8
10-03-017  3- 1-10 Include 8
10-03-018  3- 1-10 Omit 8
10-04-027  4- 5-10 Include 8
10-05-031  5- 3-10 Include 8
10-06-035  6- 7-10 Include 8
10-06-036  6- 7-10 Include 8
10-07-041  7- 6-10 Include 8
10-12-060 12- 6-10 Omit 8
10-12-061 12- 6-10 Include 8
10-12-062 12- 6-10 Include 8
10-12-067 12- 6-10 Include 8
10-12-068 12- 6-10 Include 8
11-01-001  1- 3-11 Include 8
11-03-012  3- 7-11 Include 8
11-03-013  3- 7-11 Include 8
11-04-016  4- 4-11 Include 8
11-05-020  5- 2-11 Include 8
11-05-024  5- 2-11 Include 8
11-06-026  6- 6-11 Include 9
11-07-032  7- 5-11 Include 9
11-07-034  7- 5-11 Omit 9
11-10-053 10- 3-11 Include 9
11-10-054 10- 3-11 Include 9
11-11-060 11- 7-11 Include 9
11-12-066 12- 5-11 Include 9
11-12-068 12- 5-11 Include 9
12-01-001  1- 3-12 Omit 9
12-01-003  1- 3-12 Include 9
12-01-004  1- 3-12 Include 9
12-01-010  1- 3-12 Include 9
12-02-018  2- 6-12 Omit 9
12-04-038  4- 2-12 Omit 9
12-04-042  4- 2-12 Include 9
12-04-043  4- 2-12 Omit 9
12-07-066  7-16-12 Omit 9
12-10-077 10- 1-12 Include 9
12-10-078 10- 1-12 Include 9
12-10-079 10- 1-12 Include 9
12-11-081 11- 5-12 Include 9
05-07-059  7- 5-05 Include 10
13-09-082  9-23-13 Include 10
13-11-02 11- 4-13 Include 10
13-11-094 11- 4-13 Include 10
13-11-095 11- 4-13 Include 10
14-10-048 10-20-14 Include 10
14-10-049 11-17-14 Include 10
14-10-050 11-17-14 Include 10
15-02-013  2- 2-15 Include 10
15-03-019  3- 5-15 Include 10
15-04-021  4- 6-15 Include 10
15-07-027  8- 3-15 Include 10
15-07-028  8- 3-15 Include 10
15-09-037  9- 8-15 Include 10
Ord.  9-21-15 Include 10
15-11-047 11- 2-15 Include 10
16-02-016  2-15-16 Omit 11
16-03-019  3-21-16 Omit 11
16-04-022  3-21-16 Include 11
16-04-023  4- 4-16 Include 11
16-05-027  5- 2-16 Include 11
16-05-031  5-16-16 Omit 11
16-05-032  5-16-16 Include 11
16-07-041  7- 5-16 Omit 11
16-07-043  8- 1-16 Include 11
16-07-044  8- 1-16 Include 11
16-08-045.1  8- 1-16 Include 11
16-09-046  9- 9-16 Omit 11
16-09-047  9- 6-16 Include 11
16-11-051 11- 7-16 Include 11
16-12-059 12- 5-16 Include 11
16-12-063 12-19-16 Include 11
17-01-002  1- 3-17 Include 12
17-01-003  1- 3-17 Include 12
17-02-007  2-13-17 Omit 12
