SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
2014-08-30  9-16-2014 Omitted 1
2014-11-32 11-18-2014 Omitted 1
2014-11-33 12-16-2014 Omitted 1
2014-11-35 12-16-2014 Omitted 1
2014-12-37  4- 2-2015 Omitted 1
2015-01-37  2-17-2015 Included 1
2015-01-39  3-17-2015 Included 1
2015-03-41  4-21-2015 Omitted 1
2015-05-45  6-16-2015 Omitted 1
2015-05-46  6-16-2015 Omitted 1
2015-06-48  7-21-2015 Included 1
2015-06-49  7-21-2015 Omitted 1
2015-07-50  8-18-2015 Included 1
2015-07-51  8-18-2015 Omitted 1
2015-09-54 10-20-2015 Omitted 1
2015-09-55 10-20-2015 Omitted 1
2015-10-56 11-17-2015 Omitted 1
2015-10-57 11-17-2015 Omitted 1
2015-12-61  1-19-2016 Included 1
2015-12-62  1-19-2016 Included 1
2014-06-28  7-15-2014 Included 2
2014-07-29  8-19-2014 Included 2
2014-11-36  1-20-2015 Included 2
2015-01-38  2-17-2015 Included 2
2015-01-40  3-17-2015 Included 2
2015-03-42  4-21-2015 Included 2
2015-05-44  7-21-2015 Included 2
2015-05-47  6-16-2015 Included 2
2015-08-52  9-15-2015 Included 2
2015-09-53 10-20-2015 Included 2
2015-11-58 12-15-2015 Included 2
2015-11-59 12-15-2015 Included 2
2015-12-60  1-19-2016 Included 2
2016-01-64  2-16-2016 Included 2
2016-02-65  3-15-2016 Included 2
2016-02-69  2-28-2016 Included 2
2016-02-70  2-28-2016 Included 2
2016-06-74  7-19-2016 Included 2
2016-09-79 10-18-2016 Included 2
2016-09-80 11-15-2016 Included 2
2016-11-82 12-20-2016 Included 2
2016-12-83  1-17-2017 Omitted 3
2017-01-84  2-27-2017 Omitted 3
2017-04-85  7-18-2017 Omitted 3
2017-04-87  7-18-2017 Omitted 3
2017-04-88  5-16-2017 Omitted 3
2017-04-89  5-16-2017 Included 3
2017-04-90  5-16-2017 Included 3
2017-04-91  5-16-2017 Included 3
O2071-04-92  5-16-2017 Included 3
O2017-04-93  5-16-2017 Included 3
2017-05-94  7-20-2017 Omitted 3
2017-05-95  6-20-2017 Omitted 3
O2017-07-96  8-15-2017 Included 3
2017-07-97  9-19-2017 Omitted 3
2017-08-98  9-19-2017 Included 3
2017-10-100 11-20-2017 Included 3
2017-10-101 11-20-2017 Included 3
2017-10-102 11-20-2017 Included 3
2017-10-103 11-20-2017 Included 3
2017-11-105 12-19-2017 Omitted 3
2017-11-107 12-19-2017 Included 3
O2017-12-109 12-19-2017 Included 3
2017-11-106  1-16-2018 Omitted 4
2017-12-108  1-16-2018 Included 4
2018-01-111  1-16-2018 Included 4
2018-01-112  1-16-2018 Included 4
2018-01-113  1-16-2018 Included 4
2018-02-115  3-17-2018 Omitted 4
2018-02-117  3-27-2018 Included 4
2018-03-118  4-24-2018 Included 4
2018-03-119  4-24-2018 Included 4
2018-03-120  4-24-2018 Omitted 4
2018-04-121  5-22-2018 Omitted 4
2018-04-122  5-22-2018 Included 4
2018-04-123  6-27-2018 Included 4
2018-05-126  6-27-2018 Included 4
2018-05-124  6-27-2018 Omitted 4
2018-05-125  6-27-2018 Omitted 4
2018-06-127  6-27-2018 Included 4
2018-07-128  8-28-2018 Omitted 4
2018-07-129  8-28-2018 Omitted 4
2018-07-130  9-25-2018 Omitted 4
2018-08-131  9-25-2018 Included 4
2018-09-132 10-23-2018 Included 4
2018-09-133 10-23-2018 Omitted 4
2018-10-134 11-27-2018 Omitted 4
2018-10-135 11-27-2018 Included 4
2018-10-136 11-27-2018 Included 4
2018-11-137 12-18-2018 Omitted 4
2018-11-138 12-18-2018 Omitted 4
2019-01-139  2-26-2019 Omitted 5
2019-01-140  2-26-2019 Included 5
2019-01-141  2-26-2019 Included 5
2019-02-142  3-26-2019 Omitted 5
2019-02-143  3-26-2019 Omitted 5
2019-02-144  3-26-2019 Included 5
2019-05-145  6-26-2019 Omitted 5
2019-05-146  6-26-2019 Omitted 5
2019-07-148 10-22-2019 Included 5
2019-07-149  8-27-2019 Included 5
2019-08-150 10-22-2019 Included 5
2019-09-151 10-22-2019 Omitted 5
2019-10-153 11-19-2019 Included 5
2019-11-154 12-17-2019 Included 5
2019-11-156 12-17-2019 Omitted 5
2019-12-157 12-17-2019 Included 5
2019-12-158 12-17-2019 Included 5
House Bill 832  4- 3-2018 Included 6
2019-11-155  1-28-2020 Omitted 6
2020-01-159  1-28-2020 Included 6
2020-01-160  2-25-2020 Included 6
2020-01-161  2-25-2020 Included 6
2020-03-164  3-21-2020 Omitted 6
2020-03-165  3-26-2020 Omitted 6
2020-03-166  5-26-2020 Included 6
2020-05-168  6-23-2020 Omitted 6
2020-07-169  8-25-2020 Omitted 6
2020-07-170 11-17-2020 Omitted 6
2020-07-171  8-25-2020 Omitted 6
2020-07-172  8-25-2020 Included 6
2020-08-173  8-25-2020 Omitted 6
2020-09-176 10-27-2020 Included 6
2020-09-177  9-22-2020 Omitted 6
2020-09-178 10-13-2020 Omitted 6
2020-10-179 10-27-2020 Omitted 6
2020-10-180 11-17-2020 Included 6
2020-10-181 11-17-2020 Included 6
2020-10-182 11-17-2020 Included 6
2020-11-183 12-15-2020 Omitted 6
2020-11-184 12-15-2020 Omitted 6
2020-11-185 12-15-2020 Included 6
2020-12-186  3-23-2021 Omitted 7
2021-01-187  4-27-2021 Omitted 7
2021-01-188  2-23-2021 Included 7
2021-02-191  3-23-2021 Omitted 7
2021-02-192  3-23-2021 Included 7
2021-03-193  4-27-2021 Included 7
2021-03-194  4-27-2021 Omitted 7
2021-04-195  5-25-2021 Included 7
2021-04-196  5-25-2021 Omitted 7
2021-04-197  6-22-2021 Omitted 7
2021-04-198  4-27-2021 Omitted 7
2021-06-199  7-27-2021 Included 7
2021-06-200  6-22-2021 Omitted 7
2021-06-201  6-22-2021 Omitted 7
2021-06-202  6-22-2021 Included 7
2021-06-203  6-22-2021 Included 7
2021-06-204  6-22-2021 Omitted 7
2021-06-205  7-27-2021 Included 7
2021-07-206  8-24-2021 Included 7
2021-07-207  8-24-2021 Omitted 7
2021-07-208  8-24-2021 Omitted 7
2021-07-209  8-24-2021 Omitted 7
2021-07-210  8-24-2021 Omitted 7
2021-08-212  9-28-2021 Included 7
2021-08-213  9-28-2021 Included 7
2021-09-214 10-26-2021 Omitted 7
2021-09-215 11-16-2021 Omitted 7
2021-09-216 10-26-2021 Included 7
2021-09-217 10-26-2021 Included 7
2021-10-218 11-16-2021 Omitted 7
2021-10-220 11-16-2021 Included 7
2021-11-221 12-14-2021 Included 7
2021-10-219  1-25-2022 Omitted 8
2022-01-223  2-22-2022 Omitted 8
2022-01-224  2-22-2022 Omitted 8
2022-02-225  3-22-2022 Included 8
2022-02-227  7-26-2022 Omitted 8
2022-04-228  5-24-2022 Omitted 8
2022-05-229  6-28-2022 Omitted 8
2022-05-230  6-28-2022 Omitted 8
2022-05-231  6-28-2022 Omitted 8
2022-06-232  7-26-2022 Omitted 8
2022-06-233  7-26-2022 Omitted 8
2022-06-234  7-26-2022 Omitted 8
2022-06-235  7-26-2022 Included 8
2022-06-236  7-26-2022 Included 8
2022-07-237  8-23-2022 Omitted 8
2022-07-238  8-23-2022 Omitted 8
2022-07-239  8-23-2022 Omitted 8
2022-08-240  9-27-2022 Omitted 8
2022-08-241  9-27-2022 Omitted 8
2022-08-242  9-27-2022 Omitted 8
2022-09-243 10-25-2022 Omitted 8
2022-09-244 10-25-2022 Omitted 8
