SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Included/Omitted Supp. No.
Act No. 474 Included 2
2011-04 Included 2
2012-01 Included 2
2012-03 Included 2
2012-04 Included 2
2012-05 Included 2
2012-06 Included 2
2012-07 Included 2
2012-09 Included 2
2012-11 Included 2
2012-12 Included 2
2012-14 Included 2
2012-15 Omitted 2
2012-16 Omitted 2
2012-18 Omitted 2
2012-19 Included 2
2015-01 Included 2
2015-04 Omitted 2
2015-05 Included 3
2016-01 Included 3
2016-02 Included 3
2016-04 Included 3
2017-01 Included 3
2017-02 Included 3
2017-03 Omitted 3
2017-06 Included 3
2017-08 Included 3
2017-09 Included 3
2017-10 Included 3
2018-01 Included 3
2018-02 Included 3
2018-06 Included 3
2018-09 Omitted 4
2019-01 Included 4
2019-02 Included 4
2019-03 Included 4
2019-04 Included 4
2019-05 Included 4
2019-06 Included 4
2019-08 Included 4
2019-09 Included 4
2019-03 Included 5
2019-07 Included 5
2019-10 Omitted 5
2019-11 Included 5
2019-12 Omitted 5
2019-14 Included 5
2019-16 Included 5
2019-17 Omitted 5
2020-01 Included 5
2020-02 Included 5
2020-03 Included 5
2020-07 Omitted 5
2020-04 Included 6
2020-08 Omitted 6
2020-09 Omitted 6
2020-10 Included 6
2020-13 Included 6
2020-14 Omitted 6
2020-15 Omitted 6
2020-16 Omitted 6
2020-18 Included 6
2020-21 Included 6
2020-22 Included 6
2020-23 Omitted 6
2021-01 Included 6
2021-03 Included 6
2021-04 Omitted 6
2021-05 Included 6
2021-07 Included 6
2021-06 Included 7
2021-08 Omitted 7
2021-09 Included 7
2021-10 Omitted 7
2021-11 Omitted 7
2021-12 Omitted 7
2021-13 Included 7
2021-14 Included 7
2021-15 Included 7
2021-16 Included 7
2021-17 Omitted 7
2021-18 Omitted 7
2021-19 Omitted 7
2021-20 Included 7
2021-21 Omitted 7
2022-01 Included 7
2022-02 Included 7
2022-03 Omitted 7
2022-04 Omitted 7
2022-05 Omitted 7
2022-06 Included 7
2022-07 Included 7
2022-08 Included 7
2022-09 Included 7
2022-10 Included 7
2022-11 Included 7
2022-12 Included 7
2022-15 Included 8
2022-23 Omitted 8
2022-24 Included 8
2023-01 Included 8
2023-02 Included 8
2023-03 Included 8
2023-05 Included 8
2023-07 Omitted 8
2023-08 Included 8
2023-10 Included 8
2023-12 Included 8
