SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord./Res. No. Date
Adopted Included/
Omitted Supp. No.
2010-16  9-21-10 Included 32
2010-17  8-17-10 Omitted 32
2010-18  8-17-10 Included 32
2010-19 11- 2-10 Included 32
2010-20 10-19-10 Included 32
2010-21 11-16-10 Omitted 32
2010-22 11-16-10 Included 32
2010-23 12- 7-10 Included 32
2010-58(Res.)  9-21-10 Included 32
2011-02  3- 1-11 Included 32
2011-04  7- 7-11 Included 32
2011-06  8- 2-11 Included 32
2011-07 10- 4-11 Included 32
2011-01  1-19-11 Omitted 32
2011-05  7- 6-11 Included 33
2011-08 10-18-11 Included 33
2011-09 11- 1-11 Included 33
2011-10 11-15-11 Included 33
2011-11 11-15-11 Included 33
2011-12 11-15-11 Included 33
2011-13 12- 6-11 Included 33
2011-14 12- 6-11 Included 33
2012-01  3- 6-12 Included 34
2012-02  7-17-12 Included 34
2012-03  7- 3-12 Included 34
2012-04  4- 3-12 Included 34
2012-05  8-21-12 Included 34
2012-06  9- 5-12 Included 34
2012-07  9-20-12 Included 34
2012-08 12- 4-12 Included 35
2013-01  3- 5-13 Included 35
2013-02  2-19-13 Omitted 35
2013-03  2-19-13 Omitted 35
2013-04  2-19-13 Omitted 35
2013-06  6- 4-13 Included 36
2013-07  6-18-13 Included 36
2013-08  6-18-13 Omitted 36
2013-09  6-18-13 Omitted 36
2013-10  6-18-13 Omitted 36
2013-11  6-18-13 Omitted 36
2013-12  6-18-13 Omitted 36
2013-13  7- 2-13 Included 36
2013-14  8-20-13 Omitted 37
2013-15  8-20-13 Omitted 37
2013-18 10-15-13 Included 37
2013-19 10-15-13 Included 37
2013-20 11- 5-13 Included 37
2013-21 11- 5-13 Included 37
2013-22 12- 3-13 Included 37
2014-02 10- 7-14 Included 38
2015-02  1- 6-15 Included 38
2015-01  2-17-15 Included 39
2015-07  9-15-15 Included 39
2015-08  8- 4-15 Included 39
2015-04  5-19-15 Included 40
2015-11 12- 1-15 Included 40
2015-12 12- 1-15 Included 40
2016-02  3- 1-16 Included 41
2016-03  3-15-16 Included 41
2016-04  3-15-16 Included 41
2016-05  3-15-16 Included 41
2016-06  8- 2-16 Included 42
2016-08  9- 6-16 Included 42
2016-09 10-18-16 Included 42
2016-10 10-18-16 Included 42
2016-12 12- 6-16 Included 42
2017-01  1-17-17 Included 42
2017-05  1-19-17 Included 42
2017-02  2- 7-17 Included 43
2017-03  2- 7-17 Included 43
2017-04  2-21-17 Included 43
2017-07  3- 7-17 Included 43
2017-08  6-20-17 Included 44
2017-10  9-19-17 Included 44
2017-11  9-19-17 Included 44
2017-12  9- 5-17 Included 44
2017-13 10- 3-17 Included 44
2018-01  5- 1-18 Included 45
2018-02  7-17-18 Included 45
2018-04  7-17-18 Included 45
2018-05  7-17-18 Included 45
2018-06  8-21-18 Included 46
2018-07  8-21-18 Included 46
2018-09 11-20-18 Included 46
2018-10 10-16-18 Included 46
2018-11 10-16-18 Included 46
2018-12 10- 2-18 Included 46
2018-13 12- 4-18 Included 46
2018-14 12- 4-18 Included 46
2018-15 12- 4-18 Included 46
2019-01  4- 2-19 Included 47
2019-02  5-21-19 Included 47
2019-03  5-21-19 Included 47
2019-04  5-21-19 Included 47
2019-05  5-21-19 Included 47
2019-06  6- 4-19 Included 47
2019-09 10- 1-19 Included 47
2019-10 10-15-19 Included 48
2019-11 11-19-19 Included 48
2019-12 12- 3-19 Included 48
2019-14  1- 7-20 Included 48
2020-01  3- 3-20 Included 48
2020-02  3-17-20 Included 49
2020-03  6-16-20 Included 49
2020-04  6-16-20 Included 49
2020-05  6-16-20 Included 49
2020-06  8- 4-20 Included 49
2020-07 10-20-20 Included 50
2020-09 11-17-20 Included 50
2020-10 10-20-20 Included 50
2020-11 10-20-20 Included 50
2020-14 12-15-20 Included 50
2020-15 12-15-20 Included 50
2020-16  1-19-21 Included 50
2021-02  5-18-21 Included 51
2022-01  3- 1-22 Included 51
2022-02  4-19-22 Included 52
2022-03  8- 2-22 Included 52
2022-04  9-20-22 Included 52
2022-08 11-15-22 Included 53
2023-01  2- 7-23 Included 53
2023-05  6-20-23 Included 53
