SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
12-2010  7-22-2010 Included 5
13-2010  8-26-2010 Included 5
14-2010  8-26-2010 Included 5
15-2010  9-23-2010 Omitted 5
16-2010  9-23-2010 Included 5
Charter Amend. 11- 2-2010 Included 5
18-2010 11-18-2010 Included 5
23-2010  1-13-2011 Included 5
24-2010  9-24-2010 Included 5
25-2010  2-24-2011 Included 5
27-2010 10-28-2010 Included 5
28-2010 10-28-2010 Included 5
29-2010 10-28-2010 Included 5
30-2010 10-28-2010 Included 5
31-2010 12- 9-2010 Included 5
32-1010 12- 9-2010 Included 5
33-2010 12- 9-2010 Included 5
34-2010  1-23-2011 Included 5
35-2010 11-18-2010 Included 5
36-2010 11-18-2010 Included 5
37-2010 11-18-2010 Included 5
38-2010 11-18-2010 Included 5
01-2011  1-13-2011 Included 5
02-2011  2-24-2011 Included 5
03-2011  1-13-2011 Included 5
08-2011  4-14-2011 Included 5
09-2011  4-14-2011 Included 5
10-2011  4-14-2011 Included 5
11-2011  4-14-2011 Included 5
12-2011  4-14-2011 Omitted 5
13-2011  4-14-2011 Included 5
14-2011  4-14-2011 Included 5
15-2011  9-22-2011 Included 5
16-2011  6- 9-2011 Included 5
17-2011  6- 9-2011 Included 5
20-2011  4-28-2011 Included 5
21-2011  6- 9-2011 Included 5
22-2011  4-28-2011 Included 5
23-2011  4-14-2011 Included 5
24-2011  4-14-2011 Omitted 5
25-2011  6- 9-2011 Included 5
26-2011  7-28-2011 Included 5
29-2011A  7-28-2011 Included 5
30-2011  9- 8-2011 Included 5
31-2011  9- 8-2011 Included 5
33-2011  8-11-2011 Included 5
34-2011 10-13-2011 Included 5
36-2011  9- 8-2011 Included 5
37-2011  8-25-2011 Included 5
38-2011  9-22-2011 Included 5
41-2011  9-22-2011 Included 5
42-2011 10-27-2011 Included 5
45-2011 10-27-2011 Included 5
46-2011 12- 8-2011 Included 5
50-2011 12- 8-2011 Included 5
51-2011 12- 8-2011 Included 5
23-2011(A)  8-11-2011 Included 6
39-2011 10-13-2011 Included 6
40-2011 10-13-2011 Included 6
54-2011  7-28-2011 Included 6
01-2012  3- 8-2012 Included 6
02-2012  3- 8-2012 Included 6
03-2012  3- 8-2012 Included 6
04-2012  3- 8-2012 Included 6
05-2012 12-14-2011 Included 6
07-2012 12- 8-2011 Included 6
09-2012 12- 8-2011 Included 6
12-2012  4-26-2012 Included 6
13-2012  4-12-2012 Included 6
18-2012  5-24-2012 Included 6
15-2012  7-12-2012 Included 7
16A-2012  7-12-2012 Included 7
22-2012  7-12-2012 Included 7
23-2012  7-12-2012 Included 7
08-2012  8-23-2012 Included 8
19B-2012  9-27-2012 Included 8
