SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Adoption
Date Included/Omitted Supp. No.
Ord. of  7- 5-11 Included 11
Ord. of  4- 3-12 Included 12
Ord. of  5- 7-13 Included 13
Ord. of  7- 1-14 Included 14
Ord. of  9- 9-14 Included 15
Ord. of 12- 2-14 Included 16
Ord. of  4- 7-15 Included 16
Ord. of 12- 1-15 Included 17
S.B. 333 Included 18
Ord. of  3- 1-16 Included 18
Ord. of  6- 6-17 Included 19
Ord. of 11- 7-17 Included 20
Ord. of 10- 2-18(1) Included 21
Ord. of 10- 2-18(2) Included 21
Ord. of 11- 6-18 Included 22
Ord. of  2- 5-19 Included 22
Ord. of  5- 7-19 Included 23
Ord. of  8- 4-20 Included 24
Ord. of  7- 9-21 Included 24
Ord. of  2- 1-22 Included 25
Ord. of 11- 1-22 Included 26
Ord. of 12- 6-22 Included 27
Ord. of  7-11-23 Included 27
