SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord./Res. No. Date
Adopted Included/
Omitted Supp. No.
2010-33 12- 6-10 Omitted 39
2010-34 12- 6-10 Omitted 39
2010-35 12- 6-10 Omitted 39
2010-36 12- 6-11 Omitted 39
2010-37 12- 6-10 Omitted 39
2011-01  1-14-11 Omitted 39
2011-02  1-14-11 Omitted 39
2011-03  1-14-11 Omitted 39
2011-04  1-14-11 Omitted 39
2011-05  1-14-11 Included 39
2011-06  1-14-11 Omitted 39
2011-07  2- 7-11 Omitted 39
2011-08  2- 7-11 Omitted 39
2011-09  2- 7-11 Omitted 39
2011-12  4- 4-11 Included 39
2011-13  4-14-11 Omitted 39
2011-14  6-13-11 Omitted 40
2011-15  6-13-11 Omitted 40
2011-16  6-13-11 Omitted 40
2011-17  6-13-11 Omitted 40
2011-18  6-13-11 Included 40
2011-19  6-13-11 Included 40
2011-20  6-13-11 Omitted 40
2011-21  6-13-11 Omitted 40
2011-22  6-27-11 Omitted 40
2011-23  6-27-11 Omitted 40
2011-24  6-27-11 Omitted 40
671(Act)  5-13-08 Included 41
2011-25  7-29-11 Omitted 41
2011-26  8-29-11 Omitted 41
2011-27  8-29-11 Omitted 41
2011-28  8-29-11 Omitted 41
2011-29  9-26-11 Omitted 41
2011-30 10-20-11 Omitted 41
2011-31 10-28-11 Omitted 41
2011-32 11- 7-11 Omitted 41
2011-33 11- 7-11 Omitted 41
2011-34 12-19-11 Omitted 41
2011-35 12-19-11 Omitted 41
2011-36 12-19-11 Omitted 41
2011-37 12-19-11 Omitted 41
2011-38 12-19-11 Omitted 41
2011-39 12-19-11 Omitted 41
2012-01  2- 6-12 Omitted 41
2012-02  2- 6-12 Omitted 41
2012-03  2- 6-12 Omitted 41
2012-04  2- 6-12 Omitted 41
2012-05  2-27-12 Omitted 41
2012-06  3- 5-12 Omitted 41
2012-07  3- 5-12 Omitted 41
2012-08  4- 9-12 Included 41
2012-09  5- 7-12 Omitted 42
2012-10  5- 7-12 Omitted 42
2012-11  5- 7-12 Omitted 42
2012-12  5- 7-12 Omitted 42
2012-13  6- 4-12 Omitted 42
2012-14  6- 4-12 Omitted 42
2012-15  6-25-12 Omitted 42
2012-16  7-30-12 Omitted 42
2012-17  8- 6-12 Omitted 42
2012-18  8- 6-12 Omitted 42
2012-19  8- 6-12 Omitted 42
2012-20  9-10-12 Omitted 42
2012-21  9-10-12 Included 42
2012-22  9-24-12 Omitted 42
2012-23 11- 5-2 Included 42
2012-24 11- 5-12 Omitted 42
2012-25 11- 5-12 Omitted 42
2012-26 11-26-12 Omitted 42
2012-27 12- 3-12 Omitted 42
2012-28 12- 3-12 Omitted 42
2013-01  1- 8-13 Omitted 42
2013-02  1- 8-13 Included 42
2013-03  1- 8-13 Included 42
2013-04  3- 4-13 Omitted 43
2013-05  2-25-13 Omitted 43
2013-06  5-20-13 Included 43
2013-07  5-20-13 Omitted 43
2013-08  6-24-13 Omitted 43
2013-09  6-24-13 Omitted 43
2013-10  6-24-13 Included 43
2013-11  6-24-13 Included 43
2013-12  7-26-13 Omitted 43
2013-13  8- 5-13 Omitted 43
2013-19 11-15-13 Included 44
2014-08  6-30-14 Included 44
2014-09 10- 6-14 Included 44
2014-10 10- 6-14 Omitted 44
2014-11 12- 9-14 Omitted 44
2015-01  2- 2-15 Included 44
2015-02  4- 1-15 Included 44
2015-03  3-30-15 Included 44
2015-04  5- 4-15 Included 44
2015-05  5- 4-15 Included 44
2015-06  6-15-15 Included 45
2015-07  6-22-15 Omitted 45
2015-08  8- 4-15 Omitted 46
2015-09  9-17-15 Omitted 46
2015-10 10- 5-15 Omitted 46
2015-13 11-17-15 Included 46
2015-17 12- 7-15 Omitted 46
2016-05  5- 2-16 Included 47
2016-08  5- 2-16 Omitted 48
2016-09  5- 2-16 Omitted 48
2016-10  6-30-16 Omitted 48
2016-11  6-30-16 Omitted 48
2016-12  6-30-16 Omitted 48
2016-13  6-30-16 Omitted 48
2016-14  8- 8-16 Omitted 48
2016-15  9-12-16 Omitted 48
2016-16  9-12-16 Omitted 48
2016-17 10- 3-16 Omitted 48
2016-18 11- 7-16 Omitted 48
