CODE COMPARATIVE TABLE - 1997 ZONING CODE
This table gives the location within this Code of those sections of the 1997 Zoning Code which are included herein. Sections of the 1997 Zoning Code, not listed herein have been omitted as repealed, superseded, obsolete or not of a general and permanent nature.
EXPAND
1997 Zoning Code
Section Section
this Code
1-1 App. A, § 1-1
1-2 App. A, § 1-2
1-3 App. A, § 1-3
1-4 App. A, § 1-4
2-2 App. A, § 1-5
3-3 App. A, § 2-4
3-4 App. A, § 2-5
3-5 App. A, § 2-6
3-6 App. A, § 2-7
4-1 App. A, § 3-1
4-2 App. A, § 3-2
5-1 App. A, § 4-1
5-2 App. A, § 4-2
5-3 App. A, § 4-3
5-4 App. A, § 4-4
5-5 App. A, § 4-5
5-6 App. A, § 4-6
5-7 App. A, § 4-7
7-1 App. A, § 5-1
7-2.1 App. A, § 5-21
7-2.2 App. A, § 5-21
7-3.1 App. A, § 5-36
7-3.2 App. A, § 5-36
7-4.1 App. A, § 5-51
7-4.2 App. A, § 5-51
7-5.1 App. A, § 5-66
7-5.2 App. A, § 5-66
7-5.3 App. A, § 5-67
7-5.4 App. A, § 5-68
6-1.1 App. A, § 5-83
6-1.2 App. A, § 5-83
8-1.1 App. A, § 6-17
8-1.2 App. A, § 6-17
9-1 App. A, § 6-31
9-2.1 App. A, § 6-32
9-2.2 App. A, § 6-32
9-3.1 App. A, § 6-33
9-3.2 App. A, § 6-33
9-4.1 App. A, § 6-34
9-4.2 App. A, § 6-34
10-1 App. A, § 6-49
10-2.1 App. A, § 6-50
10-2.2 App. A, § 6-50
10-2.3 App. A, § 6-50
10-3.1 App. A, § 6-51
10-3.2 App. A, § 6-51
10-3.3 App. A, § 6-51
11-1 App. A, § 5-2
11-2 App. A, § 6-1
11-3.1 App. A, § 5-3
11-3.2 App. A, § 5-3
11-4.1 App. A, § 6-2
11-4.2 App. A, § 6-2
12-1 App. A, § 7-1
12-1.2 App. A, § 7-2
13-1 App. A, § 8-1
13-2 App. A, § 8-2
13-3 App. A, § 8-3
13-4 App. A, § 8-4
13-5 App. A, § 8-19
13-6 App. A, § 8-34
13-7 App. A, § 8-49
13-7.1 App. A, § 8-50
13-7.2 App. A, § 8-51
13-7.3 App. A, § 8-52
13-7.4 App. A, § 8-53
13-8 App. A, § 8-69
13-8.1 App. A, § 8-70
13-8.2 App. A, § 8-71
13-8.3 App. A, § 8-72
13-8.4 App. A, § 8-73
13-8.5 App. A, § 8-74
13-9.1 App. A, § 8-89
13-9.2 App. A, § 8-90
13-9.3 App. A, § 8-91
13-9.4 App. A, § 8-92
13-9.5 App. A, § 8-93
13-9.6 App. A, § 8-94
13-10.1 App. A, § 8-109
13-10.2 App. A, § 8-110
13-11.1 App. A, § 8-125
13-11.2 App. A, § 8-126
13-11.3 App. A, § 8-127
13-12 App. A, § 8-141
13-13 App. A, § 8-157
14-1.1 App. A, § 9-1
14-6, ¶ (b) App. A, § 9-4
14-7 App. A, § 9-41
14-8.6 App. A, § 9-2
14-8.7 App. A, § 9-56
14-8.8 App. A, § 9-57
14-8.9 App. A, § 9-58
14-8.10 App. A, § 9-59
14-9.1 App. A, § 7-3
14-9.2 App. A, § 7-4
14-9.3 App. A, § 7-5
14-9.4 App. A, § 7-6
14-10 App. A, § 9-21
14-10.1 App. A, § 9-22
14-10.2 App. A, § 9-23
14-10.3 App. A, § 9-24
14-10.4 App. A, § 9-3
14-10.5 App. A, § 9-25
14-11 App. A, § 9-26
14-12 App. A, § 9-5
