COMPARATIVE TABLE 2
EXPAND
RICHMOND COUNTY CODE AUGUSTA-RICHMOND COUNTY CODE CITY OF AUGUSTA CODE
1-1 1-1-1 1-1
1-2 1-1-2 1-2
1-3 1-1-3 1-3
1-4 1-1-4 1-4
1-5 1-1-5 1-5
1-6 1-1-6 1-6
1-7 1-1-7
1-8 1-1-8
1-9 1-1-9
2-1 1-2-1
2-2 1-2-2
2-3 1-2-3
2.3-1 6-1-1
2.3-2 6-1-2
2.3-3 6-1-3
2.3-4 6-1-4
2.3-5 6-1-5
2.3-6 6-1-6
2.3-7 6-1-7
2.3-8 6-1-8
2.3-9 6-1-9
2.3-10 6-1-10
2.3-11 6-1-11
2.3-12 6-1-12
2.3-13 6-1-13
2.3-14 6-1-14
2.3-15 6-1-15
2.3-16 6-1-16
2.3-17 6-1-17
2.3-18 6-1-18
2.3-19 6-1-19
2.3-20 6-1-20
2.3-21 6-1-21
2.3-22 6-1-22
2.3-23 6-1-23
2.3-24 6-1-24
2.3-25 6-1-25
2.3-26 6-1-26
2.3-27 6-1-27
2-4 1-2-4
2-5 1-2-6
2-6 1-2-7
2-6.1 1-2-8
2-6.2 1-2-11
2-7 1-4-6
2-8 1-4-7
2-9 1-4-7
2-10 1-4-8
2-11 1-4-9
2-12 1-4-10
2-13 1-4-11
2-14 1-4-12
2-15 1-4-56
2-16 1-4-60
2-17 1-4-61
2-18 1-4-62
2-19 1-4-63
2-20 1-4-64
2-21 1-4-65
2-22 1-4-66
2-23 1-4-67
2-24 1-4-68
2-25 1-4-81
2-26 1-4-82
2-27 1-4-83
2-28 1-4-84
2-29 1-4-85
2-29.01 1-4-86
2-29.02 1-4-87
2-29.03 1-4-88
2-29.04 1-4-89
2-29.06 1-4-90
2-29.08 1-4-91, 8-5-2
2-33 1-2-94
2-34 1-2-95
2-35 1-2-96
2-36 1-2-97
2-37 1-4-103
2-38 1-4-104
2-39 1-4-105
2-40 1-4-106
2-41 1-4-107
2-42 1-4-108
2-53 1-4-110
2-54 1-4-111
2-55 1-4-112
2-56 1-4-113
2-57 1-4-114
2-58 1-4-115
2-59 1-4-116
2-60 1-4-117
2-61 1-4-118
2-62 1-4-119
2-63 1-4-120
2-64 1-4-121
2-65 1-4-122
2-66 1-4-123
2-67 1-4-124
2-68 1-4-125
2-69 1-4-126
2-70 1-4-127
2-71 1-4-128
2-72 1-4-129
2-73 1-4-130
2-74 1-4-131
2-83 1-2-30
2-84 1-2-31
2-85 1-2-32
2-86 1-2-33
2-87 1-2-34
2-88 1-2-35
2-89 1-2-36
2-90 1-2-37
2-91 1-2-38
2-92 1-2-39
2-93 1-2-40
2-94 1-2-41
2-95 1-2-42
2-96 1-2-43
2-97 1-2-44
2-138 1-2-103
2-139 1-2-104
2-140 1-2-105
2-141 1-2-106
2-142 1-2-107
2-143 1-2-108
2-144 1-2-109
2-145 1-2-110
2-146 1-2-111
2-201 7-4-1
2-202 7-4-2
2-203(a) 7-4-3
2-203(d) 7-4-5
2-203(e) 7-4-6
2-203(f) 7-4-7
2-203(g) 7-4-8
2-203(h) 7-4-9
2-204(a) 7-4-12
2-204(b) 7-4-13
2-204(c) 7-4-14
2-204(d) 7-4-15
2-205(a) 7-4-16
2-205(b) 7-4-17
2-205(c) 7-4-18
2-205(d) 7-4-20
2-205(e) 7-4-21
2-205(f) 7-4-22
2-205(g) 7-4-23
2-205(h) 7-4-24
2-205(i) 7-4-25
2-205(j) 7-4-26
2-205(k) 7-4-27
2-205(l) 7-4-28
2-205(m) 7-4-29
2-205(n) 7-4-30
2-205(p) 7-4-32
2-206(a) 7-4-33
2-206(b) 7-4-34
2-206(c) 7-4-37
2-206(d) 7-4-38
2-207(a) 7-4-51
2-207(b) 7-4-52
2-207(c) 7-4-53
3-1 6-2-5
3-16 6-2-1
3-18 6-2-3
3-19 6-2-9
3-20 6-2-10
3-22 6-2-6
3-23 6-2-7
3-24 6-2-74
3-25 6-2-8
3-26 6-2-8, 6-2-14, 6-2-15
3-27 6-2-17
3-28 6-2-18
3-29 6-2-19
3-30 6-2-20
3-30.1 6-2-21
3-32 6-2-25
3-33 6-2-26
3-34 6-2-27
3-41 6-2-51
3-42 6-2-52
3-43 6-2-54
3-44 6-2-55
3-45 6-2-57
3-46 6-2-58
3-47 6-2-59
3-48 6-2-60
3-49 6-2-61
3-50 6-2-62
3-51 6-2-64
3-52 6-2-65
3-53 6-2-66
3-54 6-2-67
3-55 6-2-68
3-56 6-2-69
3-57 6-2-70
3-58 6-2-71
3-59 6-2-73
3-60 6-2-76
3-61 6-2-77
3-91 6-2-101
3-92 6-2-102
3-93 6-2-103
3-94 6-2-104
3-96 6-2-105
3-102 6-2-116
3-103 6-2-117
3-104 6-2-118
3-105 6-2-119
3-106 6-2-120
3-107 6-2-121
3-108 6-2-122
3-109 6-2-123
3-110 6-2-124
3-111 6-2-125
3-112 6-2-126
4-1 4-1-1
4-2 4-1-2
4-3 4-1-3
4-4 4-1-4
4-16 4-1-16
4-18 4-1-17
4-19 4-1-18
4-20 4-1-19
4-21 4-1-20
4-22 4-1-21
4-23 4-1-22
4-24 4-1-23
4-25 4-1-24
4-26 4-1-25
4-27 4-1-26
4-28 4-1-27
4-29 4-1-28
4-40 4-1-52
4-41 4-1-53
4-42 4-1-54
4-66 4-1-61
4-71 4-1-71
4-72 4-1-72
4-73 4-1-73
5-1 7-1-2
5-2 7-1-3
5-3 7-1-1
5-4 7-1-5
5-5 7-1-6
5-7 7-1-9
5-8 7-1-131
5-12 7-1-8
5-41 7-1-26
5-42 7-1-27
5-43 7-1-27
5-44 7-1-28
5-45 7-1-30
5-46 7-1-29
5-61 7-1-46
5-62 7-1-47
5-63 7-1-48
5-68 7-1-57
5-69 7-1-56
5-81 7-1-81
5-82 7-1-91
5-83 7-1-88
5-85 7-1-82
5-86 7-1-83
5-87 7-1-85
5-88 7-1-86
5-90 7-1-90
5-92 7-1-89
5-93 7-1-92
5-94 7-1-93
5-95 7-1-94
5-96 7-1-94
5-97(a) 7-1-96
5-97(b) 7-1-97
5-97(c) 7-1-98
5-97(d) 7-1-99
5-97(e) 7-1-100
5-98 7-1-101
5-100 7-1-102
5-116 7-1-116
5-117 7-1-117
5-120 7-1-118
5-121 7-1-119
5-122 7-1-120
5-151 7-1-16
5-152 7-1-17
5-153 7-1-32
5-154 7-1-33
5-155 7-1-18
6-1 3-1-1
6-2 3-1-2
6-3 3-1-3
8-6 2-1-1
8-7 2-1-2
8-8 2-1-3
8-9 2-1-4
8-9.1 2-1-5
8-9.2 2-1-6
8-10 2-1-7
8-10.1 2-1-8
8-11 2-1-9
8-11.1 2-1-10
8-11.2 2-1-11
8-11.3 2-1-12
8-12 2-1-13
8-13 2-1-14
8-14 2-1-15
8-15 2-1-16
8-15.1 2-1-17
8-16 2-1-18
8-17 2-1-19
8-18 2-1-20
8-19 2-1-21
8-19.1 2-1-22
8-19.2 2-1-23
8-19.3 2-1-24
8-19.4 2-1-25
8-20 2-1-26
8-20.1 2-1-27
8-20.2 2-1-28
8-21 2-1-29
8-21.1 2-1-30
8-21.2 2-1-31
8-21.3 2-1-32
8-21.4 2-1-33
8-22 2-1-34
8-23 2-1-35
8-23.1 2-1-36
8-24 2-1-37
8-25 2-1-38
8-26 2-1-39
8-26.1 2-1-40
8-26.2 2-1-41
8-26.3 2-1-43
8-27 2-1-42
8-28 2-2-27
8-29 2-2-28
8-30 2-2-29
8-31 2-2-28
8-32 2-2-30
8-33 2-2-31
8-34 2-2-32
8-40 2-2-1
8-41 2-2-2
8-53 et seq. 6-6-43
8-68 2-2-20 17-29
8-80 2-2-33
8-82 2-2-34
8-83 2-2-35
8-95 et seq. 6-6-45
8-111 6-6-38
8-118 6-6-38
8-141 et seq. 6-6-47
9-1(b) 3-3-1
9-21.1 3-3-21
9-22 3-3-22
9-23 3-3-23, 3-3-25
9-24 3-3-26
9-25 3-3-8, 3-3-9, 3-3-19 11-12, 11-13, 11-23
9-26 3-3-5
9-27 3-3-27 11-30
9-28 3-3-30
9-29 3-3-31
9-30 3-3-4
9-31 3-3-6
9-41 3-3-33
9-49 3-3-32
9.3-1 8-1-1
9.3-2 8-1-2
9.3-3 8-1-3
9.3-4 8-1-4
9.3-10 8-1-10
9.3-16 8-1-16
9.3-17 8-1-17
9.3-18 8-1-18
9.3-19 8-1-19
9.3-20 8-1-20
9.3-21 8-1-21
9.3-22 8-1-22
9.3-23 8-1-23
9.3-29 8-1-29
9.3-30 8-1-30
9.3-31 8-1-31
9.3-32 8-1-32
9.3-43 8-1-43
9.3-44 8-1-44
9.3-45 8-1-45
9.3-46 8-1-46
9.3-47 8-1-47
9.5-1 et seq. 6-6-44
10-1 4-2-2
10-2 4-2-3
10-3 4-2-4
10-4 4-2-5
10-31 4-2-7 12-48.1
10-32 4-2-8 12-48.2
10-33 4-2-9 12-48.3
10-34 4-2-10 12-49.6
10-35 4-2-11 12-49.4
10-36 4-2-12 12-49.5
10-37 4-2-13 12-48.7
10-38 4-2-14 12-48.8
10-39 4-2-15 12-48.16
10-40 4-2-16 12-48.9
10-41 4-2-18 12-48.10
10-42 4-2-19 12-48.11
10-43 4-2-20 12-48.14
10-44 4-2-21 12-48.13
10-45 4-2-22 12-48.12
10-46 4-2-23
10-47 4-2-24 12-48.17
10-48 4-2-25 12-48.18
10-61 4-2-51
10-62 4-2-52
10-63 4-2-53
10-64 4-2-54
10-65 4-2-55
10.5-1 3-4-1
10.5-2 3-4-2
10.5-3 3-4-3, 3-4-11
10.5-4 3-4-4
10.5-5 3-4-5
10.5-6 3-4-6
10.5-7 3-4-7
10.5-8 3-4-8
10.5-9 3-4-9
10.5-10 3-4-10
10.5-11 3-4-13
10.7-1 6-4-1
10.7-2 6-4-2
10.7-3 6-4-3
10.7-4 6-4-4
10.7-5 6-4-5
10.7-6 6-4-6
10.7-7 6-4-7
10.7-8 6-4-8
11-21 8-2-21
11-22 8-2-22
11-23 8-2-23
11-24 8-2-24
11-25 8-2-25
11-26 8-2-26
11-27 8-2-27
11-28 8-2-28
11-29 8-2-29
11-30 8-2-30
11-31 8-2-31
11-32 8-2-32
11-33 8-2-33
11-34 8-2-34
11-35 8-2-35
12-1 3-5-1
12-2 3-5-2
12-3 3-5-3
12-16 3-5-6
12-17 3-5-7
12-18 3-5-8
12-19 3-5-9
12-20 3-5-10
12-21 3-5-11
12-22 3-5-12
12-23 3-5-13
12-24 3-5-14
12-26 3-5-16
12-27 3-5-17
12-28 3-5-18
12-29 3-5-19
12-30 3-5-20
12-31 3-5-21
12-32 3-5-22
12-33 3-5-23
12-34 3-5-24
12-44 3-5-25
12-45 3-5-26
12-46 3-5-27
12-47 3-5-28
12-48 3-5-29
12-49 3-5-30
12-50 3-5-31
12-51 3-5-32
12-52 3-5-33
12-53 3-5-34
12-54 3-5-35
12-55 3-5-36
12-56 3-5-37
12-67 3-5-39
12-68 3-5-40
12-69 3-5-41
12-80 3-5-43
12-81 3-5-44
12-82 3-5-45
12-83 3-5-46
12-84 3-5-47
12-85 3-5-48
12-86 3-5-49
12-87 3-5-50
12-98 3-5-51
12-99 3-5-52
12-100 3-5-53
12-101 3-5-54
12-102 3-5-55
12-103 3-5-56
12-114 3-5-58
12-115 3-5-59
12-116 3-5-60
12-127 3-5-62
12-128 3-5-63
12-129 3-5-64
12-130 3-5-65
12-141 3-5-67
12-142 3-5-68
12-143 3-5-69
12-154 3-5-71
12-155 3-5-72
12-156 3-5-73
12-157 3-5-74
12-158 3-5-75
12-159 3-5-76
12-160 3-5-77
12-161 3-5-78
12-162 3-5-79
12-163 3-5-80
12-164 3-5-81
12-165 3-5-82
12-166 3-5-83
12-167 3-5-84
12-168 3-5-85
12-169 3-5-86
12-170 3-5-87
12-171 3-5-88
12-172 3-5-89
12-173 3-5-90
12-174 3-5-91
12-185 3-5-92
12-186 3-5-93
12-187 3-5-94
12-188 3-5-95
12-199 3-5-96
12-200 3-5-97
12-201 3-5-98
12-202 3-5-99
12-203 3-5-100
12-204 3-5-101
12-205 3-5-102
12-206 3-5-103
12-207 3-5-104
12-208 3-5-105
12-209 3-5-106
12-210 3-5-107
12-211 3-5-108
12-212 3-5-109
12-213 3-5-110
12-214 3-5-111
12-215 3-5-112
12-216 3-5-113
12-217 3-5-114
12-218 3-5-115
12-219 3-5-116
12-220 3-5-117
12-221 3-5-118
12-222 3-5-119
12-223 3-5-120
12-224 3-5-121
12-225 3-5-122
12-226 3-5-123
12-227 3-5-124
