CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
Ord. No. O2012-12-03 12-16-2012 2-1 2-1
2-2 2-2
2-3 2-3
2-4 2-2
2-5 2-4
2-6 2-5
2-11 2-29
2-12 2-30
2-13 2-31
2-14 2-32
2-15 2-33
2-21 2-55
2-22 2-56
2-23 2-57
2-31 2-88
2-32 2-89
2-33 2-90
2-34 2-91
2-35 2-92
2-36 2-93
2-37 2-94
2-51 2-137
2-52 2-138
2-53 2-139
2-54 2-140
2-55 2-141
2-56 2-142
2-57 2-143
2-58 2-144
2-61 2-172
2-62 2-173
2-63 2-174
2-64 2-175
2-65 2-176
2-71 2-260
2-72 2-261
2-73 2-262
2-74 2-263
2-131 2-290
2-132 2-291
2-133 2-292
2-134 2-293
2-135 2-294
2-136 2-295
2-137 2-296
2-138 2-297
2-139 2-298
2-140 2-299
2-155 2-33
2-181 2-317
2-182 2-318
2-300 2-340
2-301 2-341
2-302 2-342
2-304 2-343
2-401 2-375
2-402 2-376
2-403 2-377
2-404 2-378
2-405 2-379
2-406 2-380
2-407 2-381
Ord. No. O2013-01-51 1-15-2013 1(15-400) 15-496
1(15-401) 15-497
1(15-402) 15-498
1(15-403) 15-499
1(15-404) 15-500
1(15-405) 15-501
1(15-406) 15-502
1(15-407) 15-503
1(15-408) 15-504
1(15-409) 15-505
1(15-410) 15-506
1(15-411) 15-507
1(15-412) 15-508
1(15-413) 15-509
1(15-414) 15-510
1(15-416) 15-511
1(15-417) 15-512
Ord. No. O2013-01-54 1-15-2013 22-1 22-1
22-2 22-2
22-3 22-3
22-4 22-4
22-5 22-5
22-26 22-16
22-27 22-17
22-28 22-18
22-29 22-19
22-30 22-20
22-31 22-21
22-32 22-22
22-34 22-23
22-35 22-24
22-51 22-34
22-52 22-35
22-53 22-36
22-54 22-37
22-55 22-38
22-56 22-39
22-57 22-40
22-58 22-41
22-59 22-42
22-60 22-43
22-62 22-75
22-63 22-76
22-64 22-77
22-65 22-78
22-66 22-79
22-67 22-80
22-68 22-81
22-69 22-82
22-71 22-108
22-72 22-109
22-73 22-110
22-74 22-111
22-75 22-112
22-76 22-113
22-78 22-114
22-79 22-115
Ord. No. O2013-01-55 1-22-2013 25-26 25-19
25-27 25-20
25-28 25-21
25-29 25-22
25-30 25-23
25-31 25-24
25-32 25-25
25-33 25-26
25-34 25-27
25-35 25-28
25-37 25-29
25-39 25-30
25-40 25-31
25-41 25-32
25-43 25-33
25-44 25-34
25-50.1 25-58
25-50.2 25-59
25-50.3 25-60
25-50.4 25-61
25-50.5 25-62
25-50.6 25-63
25-50.7 25-64
25-50.8 25-65
25-50.9 25-66
25-50.10 25-67
25-50.11 25-68
25-50.12 25-69
25-50.13 25-70
25-50.14 25-71
25-55 25-101
25-56 25-102
25-57 25-103
25-61 25-135
25-62 25-136
25-63 25-137
25-64 25-138
25-65 25-139
25-66 25-140
25-67 25-141
25-68 25-142
25-69 25-143
25-81 25-170
25-82 25-171
25-83 25-172
25-84 25-173
25-85 25-174
25-86 25-175
25-87 25-176
25-88 25-177
25-89 25-178
25-90 25-179
25-91 25-180
25-92 25-181
25-101 25-201
25-102 25-202
25-103 25-203
25-104 25-204
25-105 25-205
25-106 25-206
25-126 25-236
25-127 25-237
25-128 25-238
25-129 25-239
25-146 25-257
25-147 25-258
25-148 25-259
25-149 25-260
25-150 25-261
25-151 25-262
25-152 25-263
25-153 25-264
25-154 25-265
25-155 25-266
25-156 25-267
25-157 25-268
25-158 25-269
25-159 25-270
25-176 25-289
25-177 25-290
25-178 25-291
25-179 25-292
25-180 25-293
25-181 25-294
25-182 25-295
25-183 25-296
25-184 25-297
25-185 25-298
25-186 25-299
25-187 25-300
25-188 25-301
25-189 25-302
25-190 25-303
25-191 25-304
25-192 25-305
25-193 25-306
25-211 25-331
25-212 25-332
25-213 25-333
25-214 25-334
25-215 25-335
25-216 25-336
25-217 25-337
25-218 25-338
25-219 25-339
25-220 25-340
25-231 25-369
25-232 25-370
25-233 25-371
25-234 25-372
25-235 25-373
25-236 25-374
25-237 25-375
25-238 25-376
25-239 25-377
25-240 25-378
25-241 25-379
25-242 25-380
25-243 25-381
25-244 25-382
25-245 25-383
25-246 25-384
25-251 25-412
25-252 25-413
25-253 25-414
25-254 25-415
25-255 25-416
25-256 25-417
25-257 25-418
25-258 25-419
25-259 25-420
25-260 25-421
25-261 25-422
25-262 25-423
25-263 25-424
25-264 25-425
25-265.1 25-449
25-265.2 25-450
25-265.3 25-451
25-265.4 25-452
25-265.5 25-453
25-265.6 25-454
25-265.7 25-455
25-265.8 25-456
25-265.9 25-457
25-265.10 25-458
25-265.11 25-459
25-265.12 25-460
25-265.13 25-461
25-265.14 25-462
25-265.15 25-463
25-265.16 25-464
25-265.17 25-465
25-265.18 25-466
25-265.19 25-467
25-265.20 25-468
25-265.21 25-469
25-276 25-492
25-277 25-493
25-278 25-494
25-279 25-495
25-281 25-496
25-282 25-497
25-301 25-518
25-302 25-519
25-303 25-520
25-304 25-521
25-305 25-522
25-306 25-523
Ord. No. O2013-01-59 1-22-2013 17-1 17-1
17-2 17-2
17-3 17-3
17-4 17-4
17-5 17-5
17-6 17-6
17-26 17-33
17-27 17-34
17-28 17-35
17-41 17-59
17-42 17-60
17-43 17-61
17-44 17-62
17-45 17-63
17-46 17-64
17-47 17-65
17-48 17-66
17-49 17-67
17-50 17-68
17-61 17-95
17-62 17-96
17-63 17-97
17-64 17-98
17-65 17-99
17-66 17-100
17-67 17-101
17-68 17-102
17-86 17-133
17-87 17-134
17-88 17-135
17-89 17-136
17-90 17-137
17-91 17-138
17-92 17-139
17-93 17-140
17-94 17-141
17-95 17-142
17-110 17-143
17-111 17-170
17-112 17-171
17-113 17-172
17-114 17-173
17-115 17-174
17-131 17-202
17-132 17-203
17-133 17-204
17-134 17-205
17-135 17-206
17-136 17-207
17-137 17-208
17-138 17-209
17-139 17-210
17-140 17-211
17-141 17-212
17-142 17-213
17-143 17-214
