SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
12-001  3- 6-12 Included 1
12-002  6-19-12 Included 1
12-003  7- 3-12 Included 1
Res.  7- 3-12(1) Omitted 2
Res.  7- 3-12(2) Omitted 2
Res.  7- 3-12(3) Omitted 2
Res.  9- 4-12 Included 2
Res. 10-16-12 Included 2
Ord. 12-18-12 Included 2
Res.  6-18-13 Included 2
Ord. 11- 5-13 Included 2
Res.  1-21-14 Included 2
Res.  4- 7-15 Included 3
Ord.  4- 5-16 Included 4
Ord. 11-15-16 Included 4
Ord. 12- 6-16 Included 4
Ord.  9- 5-17 Included 4
Res.  9-19-17 Included 4
Ord.  9-19-17 Included 4
Res.  9-19-17 Included 4
Res. 12-19-17 Included 4
