SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
EXPAND
Ord. No. Include/
Omit Supp. No.
2003-004A Include 18
2009-009 Include 18
2010-008 Include 18
2010-009 Include 18
2010-010 Include 18
2010-011 Include 18
2010-012 Include 18
2010-013 Include 19
2010-015 Include 19
2010-016 Include 20
2011-001 Omit 20
2011-002 Include 20
2011-003 Include 21
2012-003 Include 21
2012-004 Include 21
2012-005 Include 21
2012-008 Include 22
2012-009 Include 22
2012-10 Omit 22
2012-011 Include 22
2012-012 Include 22
2012-013 Include 22
2013-001 Include 22
2013-002 Include 22
2013-003 Include 22
2013-004 Include 22
2013-005 Include 22
2015-006 Include 23
2014-008 Include 24
2016-001 Include 24
2016-002 Include 24
2014-001 Include 25
2016-004 Include 25
2016-005 Include 25
2016-009 Include 25
2016-011 Include 25
2017-0800 Include 26
2017-0900 Include 27
2017-1000 Include 27
2018-004 Include 28
2019-001 Include 29
2019-005 Include 30
2014-050 Include 31
2019-007 Omit 31
2019-009 Include 31
2019-010 Include 32
2019-011 Include 32
2020-009 Include 33
2020-010 Include 33
2020-011 Include 34
2019-030 Include 35
2020-012 Include 35
2020-013 Include 35
2020-004 Omit 36
2020-014 Omit 36
2021-001 Include 36
2022-001 Include 37
2022-003 Include 37
2022-006 Include 38
2022-007 Include 38
2022-008 Include 39
2022-009 Include 40
02300-003 Include 40
02300-004 Omit 41
2300-005 Include 41
