SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
133 10- 2-67 Included Repub.
136  9- 7-71 Included Repub.
08-01  2- 1-08 Included Repub.
08-02  2- 4-08 Included Repub.
08-03  2- 4-08 Included Repub.
08-04  4- 7-08 Included Repub.
08-05  5- 5-08 Included Repub.
08-06  5- 5-08 Included Repub.
08-07  6- 2-08 Included Repub.
08-08  6- 2-08 Included Repub.
2008-09  6- 2-08 Included Repub.
2008-10  7- 7-08 Included Repub.
2008-11  8- 4-08 Included Repub.
2008-12  8-28-08 Omitted Repub.
2008-12A  9- 4-08 Omitted Repub.
2008-13  9- 2-08 Included Repub.
2008-14  9-25-08 Included Repub.
2008-15  9-25-08 Included Repub.
2008-16  9-25-08 Included Repub.
2008-17  9-25-08 Included Repub.
2008-18  9-25-08 Included Repub.
2008-19 10- 6-08 Included Repub.
2008-20 10- 6-08 Included Repub.
2008-21 10- 6-08 Included Repub.
2008-22 10- 6-08 Included Repub.
2008-23 10-27-08 Included Repub.
2008-24 11- 3-08 Included Repub.
2008-25 11- 3-08 Included Repub.
2008-26 11- 3-08 Included Repub.
2008-27 11- 3-08 Included Repub.
2008-28 11- 3-08 Included Repub.
2008-29 11- 3-08 Included Repub.
2008-30 11-17-08 Included Repub.
2008-31 11-17-08 Included Repub.
2008-32 11-17-08 Omitted Repub.
2008-33 12- 1-08 Included Repub.
2009-001  1-20-09 Included Repub.
2009-02  2- 2-09 Included Repub.
2009-03  3- 2-09 Included Repub.
2009-04  3- 2-09 Included Repub.
2009-05  3-19-09 Included Repub.
2009-06  3-19-09 Included Repub.
2009-07  4-20-09 Included Repub.
2009-08  5-18-09 Included Repub.
2009-09  5-26-09 Included Repub.
2009-10  5-26-09 Included Repub.
2009-11  5-26-09 Included Repub.
2009-12  5-26-09 Included Repub.
2009-13  6-15-09 Included Repub.
2009-14  4-27-09 Included Repub.
2009-15  4-27-09 Omitted Repub.
2009-16  6-15-09 Included Repub.
2009-17  6-29-09 Included Repub.
2009-18  7-20-09 Included Repub.
2009-19  8- 3-09 Included Repub.
2009-20  8-17-09 Included Repub.
2009-21  8-24-09 Omitted Repub.
2009-22  8-24-09 Included Repub.
2009-23  8-31-09 Included Repub.
2009-24  9-14-09 Omitted Repub.
2009-25  9-14-09 Included Repub.
2009-26  9-28-09 Included Repub.
2009-27  9-28-09 Included Repub.
2009-28  9-28-09 Included Repub.
2009-29 10- 5-09 Included Repub.
2009-30 11- 2-09 Included Repub.
2009-31 11- 2-09 Included Repub.
2009-32 11-16-09 Included Repub.
2009-33 11-16-09 Included Repub.
2009-34 11- 9-09 Included Repub.
2009-35 11-30-09 Included Repub.
2009-36 11-30-09 Included Repub.
2009-37 11-30-09 Included Repub.
2009-38 12- 7-09 Included Repub.
2009-39 12- 7-09 Included Repub.
2010-01  1- 4-10 Included Repub.
2010-01(Res.)  2-16-10 Omitted Repub.
2010-02  1-26-10 Included Repub.
2010-03  2- 1-10 Included Repub.
2010-04  2-16-10 Included Repub.
2010-05  2-16-10 Included Repub.
2010-06  3- 1-10 Included Repub.
2010-07  3- 1-10 Included Repub.
2010-08  3- 1-10 Included Repub.
2010-09  3-17-10 Included Repub.
2010-10  3-17-10 Included Repub.
2010-11  4- 5-10 Included Repub.
2010-12  4- 5-10 Included Repub.
2010-13  5- 3-10 Omitted Repub.
2010-14  5-17-10 Included Repub.
2010-15  5-24-10 Included 1
2010-16  7- 6-10 Included 1
2010-17  7-26-10 Included 1
2010-18  7-26-10 Included 1
2010-19  8- 2-10 Included 1
2010-20  8- 2-10 Included 1
2010-21  8-24-10 Included 1
2010-22  8-30-10 Included 1
2010-23  8-30-10 Included 1
2010-24  8-30-10 Included 1
2010-25  9-20-10 Included 1
2010-26  9-27-10 Included 1
2010-27  9-27-10 Included 1
2010-28 10-18-10 Included 1
2010-29 10-18-10 Included 1
2010-30 10-18-10 Included 1
2010-31 11-15-10 Included 1
2010-32 11-15-10 Included 1
2010-33 12-13-10 Included 1
2010-34 12-14-10 Included 1
2010-35 12-14-10 Included 1
2011-01  1- 3-11 Included 1
2011-02  1-18-11 Included 1
2011-03  2-15-11 Included 1
2011-04  2-22-11 Included 1
2011-08  3- 7-11 Included 1
2011-09  3- 7-11 Included 1
2011-10  3-21-11 Included 1
2011-11  3-28-11 Included 1
2011-12  3-28-11 Included 1
2011-13  3-28-11 Included 1
2011-14  3-28-11 Included 1
2011-15  4- 4-11 Included 1
2011-16  4- 4-11 Included 1
2011-17  4-18-11 Included 1
2011-18  4-25-11 Included 2
2011-19  4-25-11 Included 2
2011-20  4-25-11 Included 2
2011-21  4-25-11 Included 2
2011-22  5- 2-11 Included 2
2011-23  5- 2-11 Included 2
2011-24  5- 2-11 Included 2
2011-25  6-20-11 Included 3
2011-26  6-20-11 Included 3
2011-27  6-20-11 Included 3
2011-28  6-20-11 Included 3
2011-29  7-18-11 Included 3
2011-30  8- 1-11 Included 3
2011-31  8-15-11 Included 3
2011-32  8- 1-11 Included 3
2011-33  8-15-11 Included 3
2011-34  7-25-11 Included 3
2011-35  8-22-11 Included 3
2011-36  9- 6-11 Included 3
2011-37  9- 6-11 Included 3
04-27 12- 6-04 Included 4
2011-38 11- 7-11 Included 4
2011-39 11- 7-11 Included 4
2011-40 11-21-11 Omitted 4
17(Act) 11- 8-11 Included 5
33(Act) 11- 8-11 Omitted 5
133(Act) 11- 8-11 Omitted 5
143(Act) 11- 8-11 Included 5
503(Act) 11- 8-11 Included 5
2011-42 11-28-11 Included 5
2012-01  1- 3-12 Included 5
2012-02  1-17-12 Included 5
2012-03  1-17-12 Included 5
2012-04  2- 6-12 Included 5
2012-06  3- 5-12 Included 5
2012-07  3-19-12 Included 5
2012-08  3-22-12 Included 5
2012-09  5- 7-12 Included 5
2012-10  6- 4-12 Included 5
