CODE COMPARATIVE TABLE
Editorial Note: The 1959 Code sections listed in this table are taken from the 1959 City of East Point Code, as amended through 1977. The disposition in this code of ordinances adopted from April 4, 1977 is listed in the Ordinance Disposition Table which follows this table. In these tables, "N.C." means not codified; "R" means repealed; "S" means superseded; and "et seq." means "and the sections which follow."
EXPAND
Code 1959 Code 1980
1-1 1-1001
1-1.1 1-1002
1-2 1-1003
1-3 1-1004
1-4 1-1005
1-5 1-1006
1-6 1-1007
1-7 1-1008
1-8 1-1009
1-8.1 1-1010
1-9 S 1-1011
1-10 1-1012
1-11 R
1-12 R
1-13 1-1013
2-1 2-1001
2-2 R
2-3 R
2-4 R
2-5 2-1002
2-6 2-1003
2-7 R
2-8 2-1004
2-8.01 2-1005
2-8.02 R
2-8.03 2-1006
2-8.1 S 2-1007
2-8.2 2-1008
2-8.3 2-1009
2-8.4 2-1010
2-9 2-1011
2-9.1 2-1012
2-9.2 2-1013
2-9.3 2-1014
2-9.4 2-1015
2-9.5 2-1016
2-10 S 2-1017
2-11 2-1018
2-12 R
2-13 R
2-13.1 2-1019
2-14 6-4001
2-15 6-4002
2-16 6-4003
2-17 6-4004
2-18 6-4005
2-19 R
2-20 R
2-21 R
2-21.1 6-4006
2-21.2 R
2-21.2.1 R
2-21.2.2 R
2-21.3 2-2001
2-22 2-2002
2-21.1—2-22.3 R
2-23 R
2-24 R
2-25 R
2-26 R
2-27 R
2-28 R
2-29 R
2-30 R
2-30.1 4-4041
2-30.2 R
2-30.3 R
2-31 4-4001
2-32 4-4002
2-33 4-4003
2-34 4-4004
2-35 4-4005
2-36 4-4006
2-37 4-4007
2-38 4-4008
2-39 R
2-40 R
2-41 R
2-42 4-4021
2-43 4-4022
2-44 4-4023
2-45 4-4024
2-46 R
2-47 4-4025
2-48 4-4026
2-49 4-4027
2-50 4-4028
2-51 S 4-4029
2-52 4-4030
2-52.1 R
2-53 R
2-54 R
2-55 4-4031
2-56 R
2-57 R
2-58 R
2-59 R
2-59.01 R
2-59.02 R
2-59.03 R
2-59.04 R
2-59.1 R
2-59.2 R
2-59.3 R
2-60 R
2-60.1 R
2-60.2 R
2-60.3 R
2-61 R
2-62 R
2-63 R
2-64 R
2-65 R
2-66.04 R
2-66.05 R
2-66.1 R
2-69 R
2-69.1 R
2-69.2 R
2-69.3 R
2-70 R
2-71 R
2-72 R
2-73 R
2-74 R
2-75 R
2-76 R
2-77 R
2-78 R
2-79 R
2-80 R
2-81 R
2-81.1 R
2-81.2 R
2-81.2.1 R
