Supplement History Table
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
10-30 11-18-2010 Omit 54
10-31 12- 9-2010 Omit 54
10-32 12- 9-2010 Omit 54
10-33 12- 9-2010 Omit 54
11-01  1- 3-2011 Omit 54
11-02  2- 7-2011 Include 54
11-03  2-16-2011 Omit 54
11-04  2-21-2011 Omit 54
11-05  2-21-2011 Include 54
11-06  2-21-2011 Include 54
11-07  2-21-2011 Include 54
11-08  3- 7-2011 Include 54
11-09  3- 7-2011 Include 54
11-10  3- 7-2011 Omit 54
11-11  3-21-2011 Omit 54
11-12  4-18-2011 Include 54
11-13  4-18-2011 Omit 54
11-14  5- 2-2011 Omit 54
11-15  5- 2-2011 Omit 54
11-16  5-16-2011 Omit 55
11-17  5-16-2011 Include 55
11-18  5-16-2011 Include 55
11-19  5-16-2011 Omit 55
11-20  5-16-2011 Omit 55
11-21  6- 6-2011 Include 55
11-22  6- 6-2011 Include 55
11-23  6-20-2011 Omit 55
11-24  6-20-2011 Omit 55
11-25  7- 5-2011 Include 55
11-26  7- 5-2011 Omit 55
11-27  7-18-2011 Omit 55
11-28  7-28-2011 Omit 55
11-29  8- 1-2011 Omit 55
11-30  8- 1-2011 Omit 55
11-31  8- 1-2011 Omit 55
11-32  8-15-2011 Omit 55
11-33  9- 6-2011 Omit 55
11-34  9- 6-2011 Omit 55
11-35  9- 6-2011 Include 55
11-36  9- 6-2011 Omit 55
11-37  9- 6-2011 Omit 55
11-38  9-19-2011 Include 55
11-39  9-21-2011 Omit 55
11-45 12- 5-2011 Include 55
11-40 10- 3-2011 Omit 56
11-41 10-17-2011 Include 56
11-42 11- 7-2011 Omit 56
11-43 11-21-2011 Include 56
11-44 12- 5-2011 Omit 56
11-46 12- 5-2011 Omit 56
11-47 12- 5-2011 Include 56
11-48 12-28-2011 Include 56
12-01  1- 3-2012 Omit 56
12-02  1-17-2012 Omit 56
12-03  2- 6-2012 Omit 56
12-04  2- 6-2012 Omit 56
12-05  2- 6-2012 Omit 56
12-06  2-20-2012 Omit 56
12-07  2-20-2012 Omit 56
12-08  2-20-2012 Include 56
12-09  3- 5-2012 Omit 56
12-10  3- 5-2012 Omit 56
12-11  3- 5-2012 Omit 56
12-12  3- 5-2012 Omit 56
12-13  3- 5-2012 Omit 56
12-14  3-19-2012 Omit 56
12-15  3-19-2012 Include 56
12-16  4- 2-2012 Omit 56
12-17  4-16-2012 Omit 56
12-18  6- 4-2012 Omit 56
12-19  6-18-2012 Include 57
12-20  6-18-2012 Omit 57
12-21  6-18-2012 Omit 57
12-22  6-18-2012 Omit 57
12-23  6-18-2012 Omit 57
12-24  6-18-2012 Omit 57
12-25  7-16-2012 Omit 57
12-26  7-16-2012 Omit 57
12-27  7-16-2012 Omit 57
12-28  8- 6-2012 Omit 57
12-29  8- 6-2012 Omit 57
12-30  8-20-2012 Include 56
12-31  8-20-2012 Include 57
12-32  9- 4-2012 Omit 57
12-33  9-17-2012 Include 57
12-34 10-15-2012 Omit 57
12-35 10-31-2012 Omit 57
12-36 11-19-2012 Include 57
12-37 12-21-2012 Include 58
12-38 12-21-2012 Include 58
12-39 12-21-2012 Include 58
13-01  1- 7-2013 Omit 58
13-02  1-22-2013 Include 58
13-03  1-22-2013 Omit 58
13-04  1-22-2013 Omit 58
13-05  2- 4-2013 Omit 58
13-06  2-18-2013 Omit 58
13-07  3-18-2013 Include 58
13-08  3-18-2013 Include 58
13-09  3-18-2013 Omit 58
13-10  4-15-2013 Omit 58
Act. No. 329  2- 4-2013 Include 59
13-11  6- 3-2013 Omit 59
13-12  6-17-2013 Omit 59
13-13  6-17-2013 Omit 59
13-14  6-17-2013 Omit 59
13-15  7- 1-2013 Omit 59
13-16  7-30-2013 Omit 59
13-17  8-19-2013 Include 59
13-18  9- 3-2013 Omit 59
13-19  9- 3-2013 Omit 59
13-20  9-16-2013 Omit 59
13-21  9-16-2013 Omit 59
13-22 11-18-2013 Omit 59
13-23 11-18-2013 Include 59
13-24 12-16-2013 Include 59
14-01  1- 6-2014 Omit 59
14-02  1-27-2014 Omit 59
14-03  2- 3-2014 Omit 59
14-04  2- 3-2014 Omit 59
14-05  3-17-2014 Omit 60
14-06  3-17-2014 Omit 60
14-07  3-17-2014 Include 60
14-08  4- 7-2014 Omit 60
14-09  4- 7-2014 Include 60
14-10  4- 7-2014 Omit 60
14-11  4-21-2014 Omit 60
14-12  5-19-2014 Omit 60
14-13  5-19-2014 Include 60
14-14  5-19-2014 Omit 60
14-15  5-19-2014 Omit 60
14-16  6-16-2014 Include 60
14-17  7-21-2014 Omit 60
14-18  8-18-2014 Include 61
14-19  8-18-2014 Omit 61
14-20  9- 2-2014 Omit 61
14-21  9- 2-2014 Include 61
14-22 Vetoed Omit 61
14-23 10- 6-2014 Include 61
14-24 10-20-2014 Omit 61
14-25 10-27-2014 Include 61
15-01  1- 5-2015 Omit 62
15-02  1- 5-2015 Omit 62
15-03  5- 4-2015 Omit 62
15-04  5-18-2015 Omit 62
15-05  6- 1-2015 Include 62
15-06  7- 6-2015 Include 62
15-07  7- 6-2015 Omit 62
15-08  7-20-2015 Omit 62
15-09  9- 8-2015 Omit 62
15-10 10- 5-2015 Omit 62
15-11 10- 5-2015 Include 62
15-12 10- 5-2015 Include 62
15-13 11- 2-2015 Include 62
15-14 11- 2-2015 Omit 62
15-15 11-16-2015 Include 62
15-16 12- 7-2015 Omit 63
16-01  1- 4-2016 Omit 63
16-02  1-19-2016 Include 63
16-03  4- 4-2016 Include 63
16-04  4-18-2016 Include 63
16-05  6- 6-2016 Omit 63
16-06  6-20-2016 Omit 63
16-07  6-20-2016 Omit 63
16-08  6-20-2016 Omit 63
16-09  7-18-2016 Omit 63
16-10  8- 1-2016 Omit 63
16-11  8-17-2016 Include 63
16-12  9- 6-2016 Omit 63
16-13  9-19-2016 Include 63
16-14  9-19-2016 Include 63
16-15 10- 3-2016 Omit 64
16-16 10- 3-2016 Include 64
16-17 10-17-2016 Include 64
16-18 10-17-2016 Omit 64
16-19 11- 7-2016 Omit 64
16-20 11- 7-2016 Omit 64
16-21 11-21-2016 Include 64
16-22 11-21-2016 Include 64
16-23 12- 5-2016 Include 64
16-24 12- 5-2016 Include 64
16-25 12- 5-2016 Omit 64
17-01  1- 3-2017 Include 64
17-02  1- 3-2017 Omit 64
17-03  1- 3-2017 Include 64
17-04  1-17-2017 Omit 64
17-05  1-17-2017 Omit 64
17-06  2- 6-2017 Include 64
17-07  2-20-2017 Include 64
17-08  2-20-2017 Include 64
17-09  3- 6-2017 Include 64
17-10  3- 6-2017 Include 64
17-11  3-20-2017 Include 64
17-12  3-20-2017 Include 64
17-13  5- 1-2017 Omit 65
17-14  5-15-2017 Include 65
17-15  5-15-2017 Include 65
17-16  5-15-2017 Omit 65
17-17  6- 5-2017 Omit 65
17-18  6- 5-2017 Omit 65
17-19  6- 5-2017 Include 65
17-20  6-19-2017 Omit 65
17-21  6-19-2017 Omit 65
17-22  8-21-2017 Omit 66
17-23  9 5-2017 Omit 66
17-24  9-18-2017 Omit 66
