CODE COMPARATIVE TABLE - 1991 CODE
This table gives the location within this Code of those sections of the 1991 Code, as updated through June 30, 1995, which are included herein. Sections of the 1991 Code, as supplemented, not listed herein have been omitted as repealed, superseded, obsolete or not of a general and permanent nature. For the location of ordinances adopted subsequent thereto, see the table immediately following this table.
EXPAND
1991 Code
Section Section
this Code
1.04.010 1.10.010
1.04.020 1.10.020
1.04.030 1.10.030
1.04.040 1.10.040
1.08.010 1.20.010
1.08.020 1.20.020
1.08.030 1.20.030
1.08.040 1.20.040
1.08.050 1.20.050
1.08.060 1.20.060
1.08.070 1.20.070
1.08.080 1.20.080
1.08.090 1.20.090
1.12.010 1.30.010
1.16.010 1.40.010
1.18.010 1.50.010
1.18.020 1.50.020
1.18.030 1.50.030
2.04.010 2.10.010
2.04.020 2.10.020
2.08.010 2.20.010
2.08.020 2.20.020
2.10.010 2.30.010
2.10.020 2.30.020
2.10.030 2.30.030
2.16.010 2.40.010
2.16.020 2.40.020
2.16.030 2.40.030
2.16.040 2.40.040
2.16.050 2.40.050
2.16.060 2.40.060
2.16.070 2.40.070
2.16.080 2.40.080
2.16.090 2.40.090
2.20.010 2.50.010
2.20.020 2.50.020
2.20.030 2.50.030
2.20.040 2.50.040
2.20.050 2.50.050
2.20.060 2.50.060
2.20.070 2.50.070
2.20.080 2.50.080
2.20.090 2.50.090
2.20.100 2.50.100
2.20.110 2.50.110
2.20.120 2.50.120
2.20.130 2.50.130
2.20.140 2.50.140
2.20.150 2.50.150
2.20.160 2.50.160
2.20.170 2.50.170
2.20.180 2.50.180
2.20.190 2.50.190
2.20.200 2.50.200
2.20.210 2.50.210
2.20.220 2.50.220
2.20.230 2.50.230
2.20.240 2.50.240
2.20.250 2.50.250
2.20.260 2.50.260
2.24.010 2.60.010
2.24.020 2.60.020
2.24.030 2.60.030
2.24.040 2.60.040
2.28.010 2.70.010
2.28.020 2.70.020
2.28.030 2.70.030
2.28.040 2.70.040
2.28.050 2.70.050
2.28.060 2.70.060
2.28.070 2.70.070
2.32.010 2.80.010
2.32.020 2.80.020
2.32.030 2.80.030
2.32.040 2.80.040
2.32.050 2.80.050
2.32.060 2.80.060
2.36.010 2.90.010
2.36.020 2.90.020
2.36.030 2.90.030
2.36.040 2.90.040
2.36.050 2.90.050
2.36.060 2.90.060
2.36.070 2.90.070
2.36.080 2.90.080
2.36.090 2.90.090
2.36.100 2.90.100
2.36.110 2.90.110
2.36.120 2.90.120
2.36.130 2.90.130
2.36.140 2.90.140
2.36.150 2.90.150
2.36.160 2.90.160
2.36.170 2.90.170
2.36.180 2.90.180
2.36.190 2.90.190
2.36.200 2.90.200
2.36.210 2.90.210
2.36.220 2.90.220
2.36.230 2.90.230
2.36.240 2.90.240
2.36.250 2.90.250
2.36.260 2.90.260
2.36.270 2.90.270
2.36.280 2.90.280
2.36.290 2.90.290
2.36.300 2.90.300
2.36.310 2.90.310
2.36.320 2.90.320
2.36.330 2.90.330
2.36.340 2.90.340
2.36.350 2.90.350
2.40.010 2.100.010
Tit. 17, App. A, 2.40.010
2.40.020 2.100.020
Tit. 17, App. A, 2.40.020
2.40.030 2.100.030
Tit. 17, App. A, 2.40.030
2.40.040 Tit. 17, App. A, 2.40.040
2.40.050 Tit. 17, App. A, 2.40.050
2.40.060 Tit. 17, App. A, 2.40.060
2.40.070 Tit. 17, App. A, 2.40.070
2.40.080 Tit. 17, App. A, 2.40.080
2.40.090 Tit. 17, App. A, 2.40.090
2.44.010 2.110.010
2.44.020 2.110.020
2.44.030 2.110.030
2.44.040 2.110.040
2.44.050 2.110.050
2.44.060 2.110.060
2.44.070 2.110.070
2.44.080 2.110.080
2.44.090 2.110.090
2.44.100 2.110.100
2.44.110 2.110.110
2.44.120 2.110.120
2.44.130 2.110.130
2.44.140 2.110.140
2.48.010 2.120.010
2.60.010 Tit. 17, App. A, 2.60.010
2.60.020 Tit. 17, App. A, 2.60.020
2.60.030 Tit. 17, App. A, 2.60.030
2.60.040 Tit. 17, App. A, 2.60.040
3.04.010 3.10.010
3.04.020 3.10.020
3.08.010 3.20.010
3.08.020 3.20.020
3.08.030 3.20.030
3.08.040 3.20.040
3.08.050 3.20.050
3.08.060 3.20.060
3.08.070 3.20.070
3.08.080 3.20.080
