SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
2007-03A  2-12-2007 Include 22
2010-01  2-22-2010 Omit 22
2010-03  7-12-2010 Omit 22
2010-04  7-12-2010 Include 22
2010-05  7-12-2010 Omit 22
Amend. of  7-26-2010 Include 22
2010-07  9-27-2010 Include 22
2010-08  9-13-2010 Include 22
2010-09 10-25-2010 Omit 22
2010-10 12-13-2010 Include 22
2010-11 12-13-2010 Include 22
2010-12 12- 9-2010 Omit 22
2011-01  2-14-2011 Include 23
2011-02  7-26-2010 Include 23
2011-03  4-11-2011 Omit 23
2011-04  5-23-2011 Omit 23
2011-05  7-11-2011 Omit 23
2011-06  8- 8-2011 Omit 23
2011-07 11-14-2011 Include 23
2011-08 12-12-2011 Omit 23
2012-01  2-13-2012 Omit 24
2012-02  2-13-2012 Include 24
2012-03  6-11-2012 Include 24
2012-04  6-11-2012 Include 24
2012-06  8-27-2012 Include 24
2012-07 10-22-2012 Omit 24
2012-08 12-10-2012 Omit 24
2002-04  4-22-2002 Include 25
2013-01  2-11-2013 Omit 25
2013-02  3-11-2013 Omit 25
2013-03  3-25-2013 Include 25
2013-05  3-19-2013 Include 25
2013-06  4-22-2013 Omit 25
2013-07  8-26-2013 Include 25
2013-08  9- 9-2013 Omit 25
2014-01  2-10-2014 Omit 26
2014-02  2-24-2014 Include 26
2014-03  3-31-2014 Include 26
2014-04  3-19-2013 Include 26
2014-05  9-22-2014 Include 26
2014-07  9-22-2014 Omit 26
2015-01  1-12-2015 Include 27
2015-02  3-23-2015 Omit 27
2015-03 Not Approved 27
2015-04 Not Approved 27
2015-05  4-13-2015 Omit 27
2015-06  4-13-2015 Include 27
2015-07  5-11-2015 Include 27
2015-08  6-22-2015 Include 27
2015-09  6- 8-2015 Include 27
2015-10  6-22-2015 Include 27
2015-11  7-27-2015 Omit 28
2015-12  8-24-2015 Omit 28
2015-13  8-24-2015 Omit 28
2015-14  6-22-2015 Include 28
2015-15 10-26-2015 Omit 28
2015-16 10-26-2015 Include 28
2015-17  6-22-2015 Include 28
2015-18 12-14-2015 Include 28
2015-19 12-28-2015 Include 28
2016-01  2-22-2016 Include 29
2016-03  5- 9-2016 Include 29
2016-04  7-11-2016 Include 29
2016-05  9- 9-2016 Include 30
2016-06 11-28-2016 Include 30
2016-07 11-14-2016 Include 30
2016-08 12-12-2016 Omit 30
2017-01  1- 9-2017 Omit 31
2017-02  4-10-2017 Omit 31
2017-03  5-22-2017 Omit 31
2017-04  5-22-2017 Include 31
2017-05  7-10-2017 Omit 31
2017-06  7-10-2017 Omit 31
2017-07  7-24-2017 Include 31
2017-08  8-28-2017 Include 32
2017-09 10-23-2017 Include 32
2017-10 11-13-2017 Include 32
2017-11 12-11-2017 Omit 32
2017-12 12-11-2017 Include 32
2017-13 12-11-2017 Include 32
2018-01  1- 8-2018 Omit 33
2018-02  6- 9-2018 Include 33
2018-03  5-14-2018 Omit 33
2018-05  7-23-2018 Include 33
2018-06  8-27-2018 Include 33
2018-07  8-27-2018 Omit 33
2018-08  9-10-2018 Omit 34
2018-09  9-10-2018 Omit 34
2018-10  9-24-2018 Include 34
2018-11 11-26-2018 Include 34
2018-12 12-10-2018 Include 34
2017-14  8-14-2017 Include 35
2019-01  1-14-2019 Include 35
2019-02  1-28-2019 Include 35
2019-03  2-25-2019 Include 35
2019-04  4- 8-2019 Include 35
2019-05  5-13-2019 Omit 36
2019-06  7- 8-2019 Include 36
2019-07  9-23-2019 Omit 37
2019-08  9-23-2019 Include 37
2019-09 10-15-2019 Omit 37
2019-10 10-15-2019 Omit 37
2019-11 10-28-2019 Omit 37
2019-12 12- 9-2019 Include 37
Ga. Laws
2015, Act. No. 224  5-12-2015 Include 38
Ga. Laws
2015, [LC 28 7389] 2015 Include 38
2020-03  3- 9-2020 Include 38
2020-04  4-13-2020 Include 38
2020-05  6- 8-2020 Include 38
2020-06  6- 8-2020 Include 38
2020-07  9-14-2020 Include 39
2021-01  1-11-2021 Include 40
2021-02  1-11-2021 Include 40
2021-03  2- 8-2021 Include 40
2021-05  3-22-2021 Include 40
2021-08  3-22-2021 Include 40
Ord. of  8- 9-2021 Include 41
2021-10 12-13-2021 Include 42
2022-02  2-28-2022 Include 43
2022-04  3-14-2022 Include 43
2022-05  3-28-2022 Include 43
2022-07  4-25-2022 Include 43
2022-08  6-13-2022 Include 44
2022-09  6-13-2022 Include 44
2022-10  6-13-2022 Include 44
2022-11  7-11-2022 Include 44
2022-12  7-25-2022 Include 44
Ord. (1) of 11-14-2022 Include 45
Ord. (2) of 11-14-2022 Include 45
2023-05  5- 8-2023 Include 46
