CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances and resolutions found in the Code.
EXPAND
Legislation Date Section Section
in Code
Res. No. 1998-04 7-20-1998 — 4-19, 4-20
— 4-22—4-26
— 4-57—4-69
— 4-98—4-112
— 4-138—4-142
— 4-168—4-172
— 4-198
— 4-200—4-207
— 4-238—4-241
Ord. of 2000 xx-xx-2000 — App. A(note)
Ord. No. 2001-07 10-15-2001 3(1-1) 1-1
3(1-2) 1-2
3(1-3) 1-3
3(1-4) 1-4
3(1-5) 1-5
3(1-6) 1-7
3(1-7) 1-8
3(1-8) 1-9
3(1-9) 1-10
3(1-12) 1-11, 1-12
Ord. No. 2001-08 10-15-2001 2(2-1) 2-1
3(2-2) 2-2
4(2-3) 2-119
6(2-5) 2-52
8(2-7) 2-53
9(2-8) 2-120
10(2-9) 2-121
Ord. No. 2001-09 10-15-2001 1(2-10) 2-122
Ord. No. 2001-13 10-15-2001 2(50-1) 22-1
Ord. No. 2001-14 10-15-2001 3(62-2) 30-1
5(62-8) 30-2
Ord. No. 2001-15 10-15-2001 2(66-1) 32-1
Ord. No. 2001-19 11-17-2001 4(10-26) 6-19
4(10-27) 6-20
4(10-28) 6-21
4(10-29) 6-22
4(10-30) 6-23
4(10-31) 6-24
4(10-32) 6-25
Ord. No. 2001-20 11-17-2001 3(10-56) 6-54
3(10-57) 6-55
3(10-58) 6-56
3(10-59) 6-57
3(10-60) 6-58
3(10-61) 6-59
Ord. No. 2001-22 12-17-2001 3(90-1) 38-1
7(90-36) 38-52
7(90-37) 38-53
7(90-38) 38-54
10(90-61) 38-161
10(90-62) 38-162
10(90-63) 38-163
10(90-64) 38-164
10(90-65) 38-165
10(90-66) 38-166
10(90-67) 38-167
Ord. No. 2001-23 12-17-2001 5(18-27) 10-66
5(18-28) 10-67
5(18-30) 10-69
5(18-31) 10-70
5(18-32) 10-71
9(18-51) 10-109
9(18-52) 10-110
9(18-54) 10-111
12(18-66) 10-136
12(18-67) 10-137
12(18-69) 10-138
12(18-70) 10-139
12(18-71) 10-140
15(18-81) 10-164
15(18-82) 10-165
15(18-83) 10-166
15(18-84) 10-167
15(18-85) 10-168
15(18-86) 10-169
15(18-87) 10-170
15(18-88) 10-171
15(18-89) 10-172
15(18-90) 10-173
15(18-91) 10-174
15(18-92) 10-175
15(18-93) 10-176
18(18-106) 10-206
21(18-116) 10-236
21(18-117) 10-237
21(18-118) 10-238
21(18-119) 10-239
21(18-120) 10-240
21(18-121) 10-241
24(18-131) 10-261
24(18-132) 10-262
31(18-172) 10-639
34(18-186) 10-667
34(18-187) 10-668
34(18-188) 10-669
34(18-189) 10-670
34(18-190) 10-671
34(18-191) 10-672
37(18-201) 10-703
40(18-211) 10-735
40(18-212) 10-736
40(18-213) 10-737
40(18-214) 10-738
40(18-215) 10-739
40(18-216) 10-740
43(18-226) 10-764
43(18-227) 10-765
53(18-287) 10-484
53(18-290) 10-485
56(18-301) 10-509
56(18-302) 10-510
59(18-316) 10-529
62(18-326) 10-552
62(18-327) 10-553
62(18-328) 10-554
62(18-329) 10-555
62(18-330) 10-556
62(18-331) 10-557
65(18-341) 10-578
65(18-342) 10-579
75(18-391) 10-397
75(18-392) 10-398
78(18-406) 10-425
78(18-407) 10-426
78(18-408) 10-427
78(18-409) 10-428
78(18-410) 10-429
78(18-411) 10-430
81(18-431) 10-784
81(18-431.1) 10-785
88(18-481) 10-841
88(18-482) 10-842
91(18-496) 10-863
91(18-497) 10-864
91(18-498) 10-865
91(18-499) 10-866
91(18-500) 10-867
91(18-501) 10-868
91(18-502) 10-869
94(18-511) 10-887
94(18-512) 10-888
94(18-513) 10-889
94(18-514) 10-890
97(18-521) 10-914
97(18-522) 10-915
97(18-523) 10-916
97(18-524) 10-917
103(18-545) 10-318
103(18-546) 10-319
109(18-560) 10-938
109(18-561) 10-939
109(18-562) 10-940
109(18-563) 10-941
109(18-564) 10-942
109(18-565) 10-943
Ord. No. 2002-03 2-18-2002 2(38-76) 16-60
3(38-77) 16-61
4(38-78) 16-62
5(38-79) 16-63
6(38-80) 16-64
7(38-81) 16-65
Ord. No. 2002-04 2-18-2002 2(38-91) 16-89
3(38-92) 16-90
4(38-93) 16-91
5(38-94) 16-92
6(38-95) 16-93
7(38-96) 16-94
8(38-97) 16-95
9(38-98) 16-96
10(38-99) 16-97
11(38-100) 16-98
12(38-101) 16-99
13(38-102) 16-100
14(38-103) 16-101
15(38-104) 16-102
Ord. No. 2002-08 2-18-2002 2 10-206
3 10-703
4 10-529
Ord. No. 2002-05 4-15-2002 4(42-2) 18-1
5(42-3) 18-2
6(42-4) 18-3
9(42-31) 18-27
10(42-31.1) 18-28
11(42-32) 18-29
12(42-33) 18-30
13(42-34) 18-31
14(42-35) 18-32
15(42-36) 18-33
16(42-37) 18-34
17(42-38) 18-35
18(42-39) 18-36
19(42-40) 18-37
32(42-91) 18-67
33(42-92) 18-68
Ord. No. 2002-06 5-20-2002 4(82-26) 36-33
5(82-27) 36-34
5(82-28) 36-35
6(82-29) 36-36
6(82-30) 36-37
9(82-51) 36-63
9(82-52) 36-64
10(82-53) 36-65
11(82-54) 36-66
12(82-55) 36-67
13(82-56) 36-68
14(82-57) 36-69
15(82-58) 36-70
18(82-71) 36-99
19(82-72) 36-100
20(82-73) 36-101
21(82-74) 36-102
22(82-75) 36-103
23(82-76) 36-104
24(82-77) 36-105
25(82-78) 36-106
26(82-79) 36-107
29(82-91) 36-128
30(82-92) 36-129
31(82-93) 36-130
32(82-94) 36-131
33(82-95) 36-132
34(82-96) 36-133
37(82-111) 36-3
38(82-112) 36-4
39(82-113) 36-5
40(82-114) 36-6
41(82-115) 36-7
Ord. No. 2002-07 5-20-2002 3(94-1) 40-1
4(94-2) 40-2
8(94-6) 36-2
11(94-31) 40-5
12(94-32) 40-6
14(94-34) 40-7
15(94-35) 40-8
16(94-36) 40-9
20(94-57) 40-41
21(94-58) 40-42
22(94-59) 40-43
25(94-101) 40-3
26(94-102) 40-4
27(94-103) 40-10
28(94-104) 40-11
Ord. No. 2002-13 8-19-2002 14(70-70) 34-19
15(70-71) 34-20
18(70-74) 34-21
30(70-126) 34-46
33(70-136) 34-66
34(70-137) 34-67
35(70-138) 34-68
36(70-139) 34-69
39(70-151) 34-97
40(70-152) 34-98
41(70-153) 34-99
42(70-154) 34-100
43(70-155) 34-101
44(70-156) 34-103
45(70-157) 34-104
48(70-171) 34-124
49(70-172) 34-125
50(70-173) 34-126
51(70-174) 34-127
52(70-175) 34-128
55(70-196) 34-155
56(70-197) 34-156
Ord. of 10-15-2002 10-15-2002 — 2-24
1(62-9) 30-3
3(62-30) 30-6
5(62-35) 28-1
7(54-51) 14-19
7(62-45) 30-8
8(54-52) 14-20
8(54-53) 14-21
9(54-54) 14-22
10(54-55) 14-23
11(54-56) 14-24
12(54-57) 14-25
13(54-58) 14-26
14(54-59) 14-27
15(54-60) 14-28
16(54-61) 14-29
17(54-62) 14-30
18(54-63) 14-31
19(54-64) 14-32
20(54-65) 14-33
21(54-66) 14-34
22(54-67) 14-35
23(54-68) 14-36
24(54-69) 14-37
25(54-70) 14-38
26(54-71) 14-39
Ord. No. 2003-03 5-19-2003 1 28-1
2 28-1
3 28-1
4 28-1
5 28-1
6 28-1
7 28-1
Ord. No. 2003-05 7-21-2003 1(22-1) 38-82
1(22-2) 38-83
1(22-3) 38-84
1(22-4) 38-85
1(22-5) 38-86
1(22-6) 38-87
1(22-7) 38-88
1(22-8) 38-89
1(22-9) 38-90
1(22-10) 38-91
1(22-11) 38-92
1(22-12) 38-93
1(22-13) 38-94
1(22-14) 38-95
1(22-15) 38-96
1(22-16) 38-97
1(22-17) 38-98
1(22-18) 38-99
1(22-19) 38-100
1(22-20) 38-101
1(22-22) 38-102
1(22-23) 38-103
1(22-26) 38-104
Ord. No. 2003-06 xx-xx-2003 2 10-206
3 10-703
4 10-529
Ord. No. 2003-08 9-15-2003 1 App. A, § 815
Ord. No. 2004-09 1-27-2004 1(2-10) 2-23
