SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Resolutions that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Resolutions that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this County Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Res. No. Date
Adopted Include/
Omit Supp. No.
Supp. No. 1
2010-07  1-21-2010 Omit 1
2010-08  2-17-2010 Include 1
2010-09  2-17-2010 Include 1
2010-30  5-20-2010 Omit 1
2010-33  6-17-2010 Include 1
2010-43 10-21-2010 Include 1
2010-44 10-21-2010 Include 1
2010-45 10-21-2010 Include 1
2010-46 10-21-2010 Include 1
2010-56 11-18-2010 Omit 1
2010-57 11-18-2010 Omit 1
2010-58 11-18-2010 Omit 1
2010-59 12-16-2010 Omit 1
2010-60 12-16-2010 Omit 1
2010-61 12-16-2010 Omit 1
2010-63 12-16-2010 Omit 1
2010-64 12-16-2010 Omit 1
2010-65 12-16-2010 Omit 1
2010-66 12-16-2010 Omit 1
2010-67 12-16-2010 Omit 1
2010-68 12-16-2010 Omit 1
2010-69 12-16-2010 Omit 1
2010-70 12-16-2010 Include 1
2010-71 12-16-2010 Include 1
2010-72 12-16-2010 Omit 1
2011-02  1-18-2011 Omit 1
2011-03  1-18-2011 Omit 1
2011-04  1-18-2011 Include 1
2011-05  1-18-2011 Include 1
2011-16  2-15-2011 Omit 1
2011-17  3-15-2011 Omit 1
2011-18  3-15-2011 Omit 1
2011-20  3-15-2011 Omit 1
2011-27  4-19-2011 Omit 1
2011-28  4-19-2011 Include 1
2011-34  5-17-2011 Omit 1
Supp. No. 2
2011-36  6-21-2011 Omit 2
2011-38  6-21-2011 Include 2
2011-43  7-21-2011 Include 2
2011-44  7-21-2011 Omit 2
2011-47  7-21-2011 Omit 2
2011-52  8-16-2011 Omit 2
2011-56  9-20-2011 Omit 2
2011-60  9-20-2011 Omit 2
2011-65 10-18-2011 Include 2
2011-70 11-15-2011 Omit 2
2011-71 11-15-2011 Include 2
2011-75 11-29-2011 Omit 2
2011-76 12-20-2011 Include 2
2011-77 12-20-2011 Omit 2
2011-78 12-20-2011 Omit 2
2011-79 12-20-2011 Include 2
2012-01  1-17-2012 Include 2
2012-02  1-17-2012 Omit 2
2012-05  1-17-2012 Omit 2
2012-12  2-21-2012 Omit 2
2012-14  2-21-2012 Include 2
2012-15  2-21-2012 Include 2
2012-16  2-21-2012 Omit 2
Supp. No. 3
2008-28  6-19-2008 Include 3
2011-58  9-20-2011 Include 3
2012-32  6-19-2012 Include 3
2012-33  6-19-2012 Include 3
2012-34  6-19-2012 Omit 3
2012-35  6-19-2012 Omit 3
2012-37  7-17-2012 Include 3
2012-38  7-17-2012 Omit 3
2012-40  7-17-2012 Include 3
2012-41  7-17-2012 Omit 3
2012-44  8-21-2012 Include 3
2012-48  8-21-2012 Include 3
2012-50  8-21-2012 Include 3
2012-52  9-18-2012 Omit 3
2012-62 11-20-2012 Include 3
2012-63 12- 4-2012 Include 3
2012-65 12-18-2012 Include 3
2012-66 12-18-2012 Include 3
2012-68 12-18-2012 Include 3
2012-69 12-18-2012 Include 3
2013-02  1-22-2013 Include 3
2013-03  1-22-2013 Include 3
2013-04  1-22-2013 Include 3
2013-05  1-22-2013 Include 3
2013-17  2-19-2013 Include 3
2013-18  2-19-2013 Omit 3
2013-20  2-19-2013 Include 3
2013-25  3-19-2013 Include 3
2013-26  3-19-2013 Omit 3
2013-27  3-19-2013 Omit 3
2013-36  4-16-2013 Omit 3
Supp. No. 4
2013-40  5-21-2013 Omit 4
2013-43  6-18-2013 Omit 4
2013-51  8-20-2013 Include 4
2013-52  8-20-2013 Include 4
2013-53  8-20-2013 Include 4
2013-61 10-22-2013 Include 4
2013-62 10-22-2013 Include 4
2013-63 10-22-2013 Include 4
2013-64 10-22-2013 Omit 4
2013-67 10-22-2013 Include 4
2013-74 11-19-2013 Include 4
2013-77 11-19-2013 Omit 4
2013-78 11-19-2013 Omit 4
2013-81 12-17-2013 Include 4
2013-82 12-17-2013 Include 4
2014-03  1-21-2014 Omit 4
2014-04  1-21-2014 Omit 4
2014-05  2-25-2014 Include 4
2014-11  3-18-2014 Omit 4
Supp. No. 5
2014-20  6-17-2014 Include 5
2014-22  6-17-2014 Include 5
2014-29  7-15-2014 Omit 5
2014-34  8-19-2014 Omit 5
2014-39  8-19-2014 Omit 5
2014-42 10-21-2014 Omit 5
2014-50 11-18-2014 Omit 5
2014-55 12-16-2014 Include 5
2014-58 12-16-2014 Omit 5
2015-09  2-24-2014 Include 5
2015-17  3-17-2015 Include 5
2015-24  4-21-2015 Omit 5
2015-25  4-21-2014 Omit 5
2015-28  4-21-2015 Include 5
Supp. No. 6
2015-34  6-16-2015 Omit 6
2015-62  12-15-2015 Include 6
2015-63  12-15-2015 Include 6
2016-07  1-19-2016 Include 6
2016-24  4-19-2016 Omit 6
Supp. No. 7
2014-39  8-19-2014 Include 7
2016-30  6-21-2016 Omit 7
2016-31  7-19-2016 Include 7
2016-43 10-18-2016 Include 7
2016-44 10-18-2016 Omit 7
2016-45 10-18-2016 Include 7
2016-51 11-15-2016 Include 7
2017-10  1-17-2017 Include 7
2017-19  2-14-2017 Omit 7
2017-23  3-21-2017 Omit 7
2017-35  4-18-2017 Include 7
2017-36  4-18-2017 Include 7
Supp. No. 8
2017-40  5-16-2017 Include 8
2017-48  6-20-2017 Include 8
2017-49  6-20-2017 Omit 8
2017-55  7-25-2017 Omit 8
2017-64  9-19-2017 Include 8
2017-66  9-19-2017 Include 8
2017-67  9-19-2017 Include 8
2017-70 10-17-2017 Include 8
2017-71 10-17-2017 Include 8
2017-74 10-17-2017 Omit 8
Supp. No. 9
2017-82 11-21-2017 Omit 9
2017-86 11-21-2017 Include 9
2017-88 12-19-2017 Include 9
2017-89 12-19-2017 Include 9
2017-91 12-19-2017 Include 9
2017-93 12-19-2017 Include 9
2018-02  1-23-2018 Include 9
2018-03  1-23-2018 Omit 9
2018-09  2-20-2018 Include 9
2018-10  2-20-2018 Include 9
  EXPAND
Res. No. Date
Adopted Include/
Omit Supp. No.
2018-19  2-20-2018 Include 9
2018-21  3-20-2018 Include 9
2018-24  3-20-2018 Include 9
2018-37  6-19-2018 Omit 10
2018-39  6-19-2018 Include 10
2018-41  7-24-2018 Include 10
2018-42  7-24-2018 Include 10
2018-47  8-21-2018 Omit 10
2018-51  9-18-2018 Include 10
2018-58 11-20-2018 Include 10
2018-66 12-18-2018 Include 10
2019-05  1-22-2019 Include 10
2019-07  2-12-2019 Omit 10
2019-17  3-19-2019 Include 10
2019-18  3-19-2019 Include 10
2019-19  3-19-2019 Include 10
2019-20  3-19-2019 Include 10
2019-36  6-18-2019 Include 11
2019-38  6-18-2019 Include 11
2019-53  9-24-2019 Include 11
2019-55 10-15-2019 Include 11
2019-68 12-17-2019 Include 11
2019-67 12-17-2019 Omit 11
2020-12  2-18-2020 Omit 11
2020-13  3-17-2020 Include 11
2020-17  3-17-2020 Omit 11
2020-23  4-21-2020 Include 11
2018-01  1-23-2018 Include 11
2020-30  6-16-2020 Include 12
2020-31  6-16-2020 Include 12
2020-32  6-16-2020 Omit 12
2020-34  6-16-2020 Omit 12
2020-43  9-15-2020 Omit 12
2020-47 10-20-2020 Omit 12
2020-48 10-20-2020 Include 12
2020-53 11-17-2020 Include 12
2020-59 12-15-2020 Include 12
2021-17  2-18-2021 Include 12
