SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Date
Adopted Included/
Omitted Supp. No.
6- 1-1998(Ord.) Included Repub.
6- 1-1998(1)(Ord.) Included Repub.
6- 8-1998(Ord.) Included Repub.
6- 9-1998(Ord.) Included Repub.
7- 1-1998(Ord.) Included Repub.
10-12-1998(Ord.) Included Repub.
8- 9-2004(Min.) Included Repub.
7-25-2005(Min.) Included Repub.
3-13-2006(Res.) Included Repub.
3-13-2006(Min.) Included Repub.
8-28-2006(Ord.) Included Repub.
11-14-2006(Ord.) Included Repub.
3-12-2007(Ord.) Included Repub.
11- 8-2007(Ord.) Included Repub.
9-24-2007(Ord.) Included Repub.
6-12-2008(Ord.) Included Repub.
9- 8-2008(Ord.) Included Repub.
11- 2-2009(Ord.) Included Repub.
1-28-2010(Ord.) Included Repub.
;ne;7- 5-2010(Ord.) Included Repub.
8- 2-2010(Ord.) Included Repub.
8-12-2010(Ord.) Included Repub.
10- 4-2010(Ord.) Included Repub.
10- 4-2010(1)(Ord.) Included Repub.
10- 4-2010(2)(Ord.) Included Repub.
10- 4-2010(3)(Ord.) Included Repub.
10- 4-2010(4)(Ord.) Included Repub.
2-28-2011(Ord.) Omitted Repub.
3-10-2011(Memo) Included Repub.
7-25-2011(Ord.) Included Repub.
1- 9-2012(Ord.) Included Repub.
1- 9-2012(1)(Ord.) Included Repub.
1- 9-2012(2)(Ord.) Included Repub.
1- 9-2012(3)(Ord.) Included Repub.
2- 6-2012(Ord.) Included Repub.
5- 7-2012(Res.) Omitted Repub.
8-27-2012(Ord.) Included Repub.
7- 2-2012(1) (Ord.) Included 1
1- 7-2013(1) (Ord.) Included 1
1- 7-2013(2) (Ord.) Included 1
1- 7-2013(3) (Ord.) Included 1
2-11-2013(1) (Ord.) Included 1
2-11-2013(2) (Ord.) Included 1
6-24-2013 (Ord.) Included 1
1- 6-2014(1) (Ord.) Included 1
1- 6-2014(2) (Ord.) Included 1
1- 6-2014(3) (Ord.)) Included 1
1- 6-2014(4) (Res.) Included 1
1- 6-2014(5) (Amd.) Included 1
6- 2-2014 (Res.) Omitted 1
6-30-2014 (Ord.) Included 1
1- 5-2015(1) (Ord.) Included 1
1- 5-2015(2) (Ord.) Included 1
1- 5-2015(3) (Ord.) Included 1
2-23-2015(1) (Res.) Included 1
9-28-2015 (Res.) Included 1
1- 4-2016(1) (Res.) Included 1
1- 4-2016(1) (Ord.) Included 1
7-27-2015(1) (Ord.) Included 2
4- 4-2016 (Ord.) Included 2
7-11-2016 (Ord.) Included 2
10- 3-2016(1) (Ord.) Included 2
10-24-2016 (Ord.) Included 2
11-28-2016(1) (Ord.) Included 2
11-28-2016(2) (Ord.) Included 2
1- 9-2017(1) (Ord.) Included 2
1- 9-2017(2) (Ord.) Included 2
1- 9-2017(3) (Ord.) Included 2
2- 6-2017(1) (Ord.) Included 2
2- 6-2017(2) (Ord.) Included 2
3- 6-2017(1) (Ord.) Included 2
2-27-2006(1) (Ord.) Included 3
5- 8-2017(1) (Ord.) Included 3
5- 8-2017(2) (Ord.) Included 3
6- 5-2017(1) (Res.) Included 3
8- 7-2017(1) (Ord.) Included 3
11- 6-2017(1) (Res.) Included 3
12- 4-2017(1) (Ord.) Included 3
12- 4-2017(2) (Ord.) Included 3
12- 4-2017(3) (Ord.) Included 3
4-30-2018(1) (Res.) Included 3
9-10-2018(1) (Res.) Included 3
2-25-2019(1) (Ord.) Included 4
2-25-2019(2) (Ord.) Included 4
3-25-2019 (Res.) Included 4
5-20-2019 (Ord.) Included 4
8-26-2019 (Ord.) Included 4
4-20-2020 (Ord.) Included 4
6-29-2020 (Res.) Included 4
9-29-2020 (Ord.) Included 4
10- 5-2020 (Ord.) Included 4
2- 1-2021 (Ord.) Included 5
2-22-2021(1) (Ord.) Included 5
2-22-2021(2) (Ord.) Included 5
2-22-2021(3) (Ord.) Included 5
3-29-2021 (Ord.) Included 5
4- 5-2021 (Ord.) Included 5
4-19-2021 (Ord.) Included 5
5-24-2021 (Ord.) Included 5
7-26-2021 (Ord.) Included 5
7-27-2021 (Ord.) Included 5
9-13-2021 (Ord.) Included 5
2-28-2022(1) (Res.) Included 6
2-28-2022(2) (Res.) Included 6
4-25-2022(1) (Res.) Included 6
4-25-2022(2) (Res.) Included 6
4-25-2022(3) (Res.) Included 6
5-02-2022(1) (Res.) Included 6
6-27-2022(1) (Res.)> Included 6
6-27-2022(2) (Res.) Included 6
6-27-2022(3) (Res.) Included 6
6-27-2022(4) (Res.) Included 6
8-29-2022(Res.) Included 7
10-24-2022(Res.) Included 7
12-19-2022(Res.) Included 7
7-10-2023(Res.) Included 7
