SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
10-09-76  9-20-2010 Included 3
10-10-79 10-18-2010 Included 3
10-11-80 11- 1-2010 Included 3
10-11-84 11-15-2010 Included 4
10-12-85 12- 6-2010 Included 4
10-12-86 12- 6-2010 Included 4
11-03-89  3-21-2011 Omitted 4
11-04-92  4-25-2011 Included 4
11-04-93  4-25-2011 Included 4
11-04-94  4-25-2011 Included 4
11-05-95  5-16-2011 Omitted 5
11-05-96  5-16-2011 Included 5
11-05-97  5-16-2011 Included 5
11-06-98  6-20-2011 Omitted 5
11-06-99  6-20-2011 Included 5
11-06-100  6-20-2011 Included 5
11-06-101  6-20-2011 Included 5
11-06-102  6-20-2011 Included 5
11-06-103  6-20-2011 Included 5
11-06-104  6-20-2011 Included 5
11-08-108  8- 1-2011 Included 5
11-08-110  8-15-2011 Omitted 5
11-08-113  8-15-2011 Included 5
11-07-107  7- 6-2011 Included 6
11-09-111  9-19-2011 Included 6
11-09-114  9-19-2011 Included 6
11-09-115  9-19-2011 Included 6
11-10-116 10-17-2011 Included 6
11-11-117 11-21-2011 Included 6
11-12-118 12- 5-2011 Included 6
11-12-119 12- 5-2011 Included 6
11-12-120 12- 5-2011 Included 6
11-12-121 12-19-2011 Included 7
11-12-123 12-19-2011 Included 7
11-12-124 12-19-2011 Included 7
12-01-125  1- 9-2012 Included 7
12-01-127  1-23-2012 Included 7
12-02-128  2-22-2012 Included 8
12-03-129  3-19-2012 Included 8
12-04-133  4-23-2012 Included 8
12-06-136  6-18-2012 Included 9
12-06-137  6-18-2012 Included 9
12-07-138  7- 2-2012 Included 9
12-07-139  7-16-2012 Included 9
12-08-140  8-20-2012 Included 10
12-08-141  8-20-2012 Included 10
12-08-142  8-20-2012 Omitted 10
12-09-147  9-17-2012 Included 10
12-10-149 10-15-2012 Included 10
12-10-150 10-15-2012 Included 10
12-10-151 10-15-2012 Included 10
12-10-152 10-15-2012 Included 10
12-11-153 11-19-2012 Included 10
12-11-154 11-19-2012 Included 10
12-12-155 12- 3-2012 Included 11
12-12-156 12-17-2012 Included 11
12-12-157 12-17-2012 Included 11
13-03-160  3-18-2013 Included 11
13-03-161  3-18-2013 Included 11
13-03-162  3-18-2013 Included 11
13-03-165  3-18-2013 Included 11
13-03-164  3-18-2013 Included 12
13-03-166  3-18-2013 Included 12
13-04-169  4-22-2013 Included 12
13-04-170  4-22-2013 Included 12
13-04-171  4-22-2013 Included 12
Act No. 287
H.B. No. 452  5- 7-2013 Included 13
Act No. 295
H.B. No. 527  5- 7-2013 Included 13
13-06-175  6-17-2013 Included 13
13-06-176  6-17-2013 Included 13
13-06-177  6-17-2013 Included 13
13-07-180  7-15-2013 Included 13
13-07-181  7-15-2013 Included 13
13-09-183  9- 4-2013 Included 13
13-09-184  9- 4-2013 Included 13
13-09-187  9-16-2013 Included 13
13-11-190 11-18-2013 Included 14
13-12-191 12- 2-2013 Included 14
14-02-197  2- 3-2014 Included 14
14-05-200  5- 5-2014 Included 15
14-05-201  5- 5-2014 Included 15
14-06-203  6-16-2014 Omitted 15
14-06-207  6-16-2014 Included 15
14-06-208  6-16-2014 Included 15
14-06-209  6-16-2014 Included 15
14-06-210  6-16-2014 Included 15
14-06-211  6-16-2014 Included 15
14-08-216  8-18-2014 Included 16
14-08-217  8-18-2014 Included 16
14-09-219  9-22-2014 Included 16
14-09-220  9-29-2014 Included 16
14-10-223 10-20-2014 Included 17
14-10-224 10-20-2014 Included 17
14-10-225 10-20-2014 Included 17
14-11-227 11-17-2014 Included 17
14-11-228 11-17-2014 Included 17
14-12-229 12- 1-2014 Included 17
14-12-230 12-15-2014 Included 17
14-12-231 12-15-2014 Included 17
15-01-232  1- 5-2015 Included 18
