SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Included/
Omitted Supp. No.
2010-69 Included 11
2010-70 Included 11
2010-71 Omitted 11
2010-72 Omitted 11
2010-73 Included 11
2010-74 Omitted 11
2010-75 Included 11
2010-76 Omitted 11
2010-77 Omitted 11
2010-78 Included 11
2010-79 Included 11
2010-80 Included 11
2010-81 Included 11
2010-82 Included 11
2010-83 Omitted 11
2010-84 Omitted 11
2010-85 Included 11
2010-86 Included 11
2010-87 Included 11
2010-88 Omitted 11
2010-89 Omitted 11
2010-90 Included 11
2010-91 Included 11
2010-92 Included 11
2011-93 Omitted 11
2011-94 Included 12
2011-95 Omitted 12
2011-96 Included 12
2011-97 Omitted 12
2011-98 Omitted 12
2011-99 Omitted 12
2011-100 Omitted 12
2011-101 Omitted 12
2011-102 Included 12
2011-103 Omitted 12
2011-104 Omitted 12
2011-105 Included 12
2011-106 Included 12
2011-107 Included 12
2011-108 Omitted 12
2011-109 Omitted 12
2012-110 Omitted 13
2012-111 Omitted 13
2012-112 Included 13
2012-113 Omitted 13
2012-114 Included 13
2012-115 Included 13
2012-116 Included 13
2012-117 Omitted 13
2012-118 Included 13
2012-119 Included 13
2012-120 Omitted 13
2012-121 Included 13
2012-122 Included 13
2013-123 Omitted 14
2013-124 Included 14
2013-125 Included 14
2013-126 Included 14
2013-127 Omitted 14
2013-128 Included 14
2013-129 Included 14
2013-130 Included 14
2013-131 Omitted 14
2013-132 Omitted 14
2013-133 Included 14
2013-134 Omitted 14
2013-135 Omitted 14
2013-136 Omitted 14
2013-137 Omitted 14
2013-138 Included 14
2014-139 Included 15
2014-140 Included 15
2014-141 Omitted 15
2014-142 Included 15
2014-143 Included 15
2014-144 Included 15
2014-145 Included 15
2014-146 Omitted 15
2014-147 Included 15
2014-148 Included 15
2014-149 Included 15
2014-150 Included 15
2014-151 Included 15
2014-152 Omitted 15
2014-153 Included 15
2014-154 Included 15
2014-155 Omitted 15
2014-156 Included 15
2014-157 Included 15
2014-158 Included 15
2014-159 Omitted 15
2014-160 Omitted 15
2014-161 Included 15
2014-162 Included 15
2014-163 Omitted 15
2014-164 Included 15
2015-165 Omitted 16
2015-166 Included 16
2015-167 Included 16
2015-168 Included 16
2015-169 Included 16
2015-170 Omitted 16
2015-171 Omitted 16
2015-172 Omitted 16
2015-173 Included 16
2015-174 Omitted 16
2015-175 Omitted 16
2015-176 Included 16
2016-177 Included 17
2016-178 Included 17
2016-179 Omitted 17
2016-180 Omitted 17
2016-181 Omitted 17
2016-182 Omitted 17
2017-183 Included 18
2017-184 Included 18
2017-185 Omitted 18
2017-186 Omitted 18
2017-187 Included 18
2017-188 Omitted 18
2017-189 Omitted 18
2017-190 Included 18
2017-191 Included 18
2017-192 Omitted 18
2017-193 Omitted 18
2018-194 Omitted 19
2018-195 Included 19
2018-196 Omitted 19
2018-197 Included 19
2018-198 Included 19
2018-199 Omitted 19
2018-200 Omitted 19
2018-201 Omitted 19
2018-202 Included 19
2018-203 Omitted 19
2018-204 Included 19
2018-205 Omitted 19
2018-206 Included 19
2018-207 Included 19
2018-208 Included 19
2018-209 Included 19
2018-210 Included 19
2018-211 Omitted 19
2018-212 Included 19
2019-213 Included 20
2019-214 Included 20
2019-215 Included 20
2019-216 Omitted 20
2019-217 Included 20
2019-218 Included 20
2020-219 Omitted 21
2020-220 Included 21
2020-221 Included 21
2020-222 Included 21
2020-223 Included 21
2020-224 Omitted 21
2020-225 Omitted 21
2020-226 Included 21
2020-227 Omitted 21
2020-228 Omitted 21
2020-229 Omitted 21
2020-230 Included 21
2020-231 Omitted 21
2020-232 Omitted 21
2020-233 Included 21
2020-234 Omitted 21
2020-235 Included 21
2020-236 Included 21
2020-237 Omitted 21
2020-238 Included 21
2020-239 Omitted 21
2020-240 Included 21
2020-241 Included 21
2021-242 Omitted 22
2021-243 Omitted 22
2021-244 Omitted 22
2021-245 Omitted 22
2021-246 Omitted 22
2021-247 Omitted 22
2021-248 Omitted 22
2021-249 Included 22
2021-250 Omitted 22
2021-251 Omitted 22
2021-252 Omitted 22
2021-253 Omitted 22
2022-254 Included 22
2022-255 Included 23
2022-256 Omitted 23
2022-257 Omitted 23
2022-258 Included 23
2022-259 Omitted 23
2022-260(A) Omitted 23
2022-260(B) Included 23
2022-261 Included 23
2022-262 Included 23
2022-263 Omitted 23
2022-264 Included 23
2022-265 Omitted 23
2022-266 Omitted 23
