CODE COMPARATIVE TABLE - LEGISLATION
This table gives the location within this Code of those ordinances which are included herein. Ordinances not listed herein have been omitted as repealed, superseded or not of a general and permanent nature.
EXPAND
Legislation Date Section Section
this Code
Ord. No. 9697-001 1-1-1996 — 30-20
Ord. of 11-15-2001 11-15-2001 1 10-46
2 10-47
3 10-48
Res. of 10-12-2004(2) 10-12-2004 2-2-1 26-1
2-2-2 26-2
2-2-3 26-3
2-2-4 26-4
2-2-5 26-5
2-2-6 26-6
2-2-7 26-7
2-2-8 26-8
2-2-9 26-9
2-2-10 26-10
2-2-11 26-11
2-2-12 26-12
2-2-13 26-13
2-2-14 26-14
2-2-15 26-15
2-2-16 26-16
2-2-17 26-17
2-2-18 26-18
2-2-19 26-19
Res. of 10-12-2004(3) 10-12-2004 art. 1 34-1
2.1 34-2
2.2 34-3
2.3 34-4
2.4 34-5
art. 3 34-6
4.1 34-7
4.2 34-8
4.3 34-9
4.4 34-10
4.5 34-11
4.6 34-12
4.7 34-13
5.1 34-56
5.2 34-57
5.3 34-58
5.4 34-59
5.5 34-60
5.6 34-61
5.7 34-62
5.8 34-63
5.9 34-64
5.10 34-65
6.1 34-111
6.2 34-112
6.3 34-113
7.1 34-177
7.2 34-178
7.3 34-179
art. 8, intro. &para 34-196
8.1 34-197
8.2 34-198
8.3 34-199
8.4 34-200
8.5 34-201
8.6 34-202
8.7 34-203
8.8 34-204
8.9 34-205
9.1 34-234
9.2 34-235
9.3 34-236
9.4 34-237
9.5 34-238
9.6 34-239
9.7 34-240
9.8 34-241
9.9 34-242
9.10 34-243
9.11 34-244
9.12 34-245
9.13 34-246
9.14 34-247
9.15 34-248
9.16 34-249
9.17 34-250
9.18 34-251
9.19 34-252
9.20 34-253
9.21 34-254
9.22 34-255
9.23 34-256
9.24 34-257
9.25 34-258
9.26 34-259
9.27 34-260
9.28 34-261
9.29 34-262
9.30 34-263
9.31 34-264
9.32 34-265
9.33 34-266
9.34 34-267
10.1 34-298
10.2 34-299
10.3 34-300
10.4 34-301
10.5 34-302
— 34-303
10.6 34-304
10.7 34-305
10.8 34-306
10.9 34-307
11.1 34-333
11.2 34-334
11.3 34-335
11.4 34-336
12.1 34-361
12.2 34-362
12.3 34-363
12.4 34-364
12.5 34-365
12.6 34-366
12.7 34-367
12.8 34-368
12.9 34-369
12.10 34-370
12.11 34-371
13.1 34-401
13.2 34-402
14.1 34-433
14.2 34-434
14.3 34-435
14.4 34-436
14.5 34-437
14.6 34-438
14.7 34-439
14.8 34-440
14.9 34-441
14.10 34-442
14.11 34-443
14.12 34-444
14.13 34-445
14.14 34-446
14.15 34-447
14.16 34-448
14.17 34-449
14.18 34-450
14.19 34-451
14.20 34-452
Ord. No. 04-05-003 1-11-2005 — 10-21
Ord. of 10-11-2005 10-11-2005 att.(6-9) 4-8
att.(6-10) 4-9
att.(6-11) 4-10
att.(6-12) 4-11
att.(6-13) 4-12
att.(6-14) 4-13
att.(6-15) 4-14
att.(6-16) 4-15
att.(6-17) 4-16
att.(6-18) 4-17
att.(6-19) 4-18
att.(6-20) 4-19
att.(6-31) 4-42
att.(6-32) 4-43
att.(6-33) 4-44
att.(6-37) 4-47
att.(6-38) 4-48
att.(6-39) 4-49
att.(6-40) 4-50
att.(6-41) 4-51
att.(6-42) 4-52
att.(6-43) 4-53
att.(6-44) 4-54
att.(6-45) 4-55
att.(6-46) 4-56
att.(6-47) 4-57
att.(6-48) 4-58
att.(6-49) 4-59
att.(6-60) 4-77
att.(6-61) 4-78
att.(6-62) 4-79
att.(6-63) 4-80
att.(6-64) 4-81
att.(6-65) 4-82
att.(6-66) 4-83
att.(6-80) 4-110
att.(6-81) 4-111
att.(6-82) 4-112
att.(6-83) 4-113
att.(6-84) 4-114
att.(6-85) 4-115
att.(6-86) 4-116
att.(6-87) 4-117
att.(6-88) 4-118
att.(6-89) 4-119
att.(6-90) 4-120
att.(6-91) 4-121
att.(6-93) 4-122
att.(6-94) 4-123
att.(6-95) 4-124
att.(6-97) 4-125
att.(6-98) 4-126
att.(6-99) 4-127
att.(6-34) 4-45
att.(6-36) 4-46
att.(6-110) 4-155
att.(6-120) 4-179
att.(6-121) 4-180
att.(6-122) 4-181
att.(6-123) 4-182
att.(6-124(1)) 4-183
att.(6-124(2)) 4-184
att.(6-125) 4-185
att.(6-170) 4-209
att.(6-171) 4-210
att.(14-26) 6-20
att.(14-51) 6-21
att.(14-52) 6-22
att.(14-53) 6-23
att.(14-54) 6-24
att.(14-55) 6-25
att.(14-56) 6-26
att.(14-57) 6-27
att.(14-58) 6-28
att.(14-59) 6-29
att.(14-60) 6-30
Ord. of 10-11-2005(1) 10-11-2005 att.(6-1) 4-1
att.(6-2) 4-2
att.(6-3) 4-3
att.(6-4) 4-4
att.(6-5) 4-5
att.(6-6) 4-6
Ord. of 10-11-2005(2) 10-11-2005 — 6-19
Ord. of 2-21-2006 2-21-2006 — 34-451
Ord. No. 05-06-005 7-3-2006 — 12-1
Ord. No. 07-005 9-11-2007 art. 1, § A 16-34
art. 1, § B 16-35
art. 1, § C 16-36
art. 1, § D 16-37
art. 2, § A 16-38
art. 2, § B 16-39
art. 2, § C 16-40
art. 2, § D 16-41
art. 2, § E 16-42
art. 2, § F 16-43
art. 2, § G 16-44
art. 2, § H 16-45
art. 3, § A 16-84
art. 3, § B 16-85
art. 3, § C 16-86
art. 4, § A 16-116
art. 4, § B 16-117
art. 4, § C 16-118
art. 4, § D 16-119
art. 4, § E 16-120
art. 4, § F 16-121
art. 5 16-140
art. 6 16-164
Ord. No. 07-08-001 12-11-2007 — 2-3
Ord. No. 07-08-012 7-8-2008 — 30-44
Ord. No. 08-09/001 11-11-2008 1(1-1) 2-47
1(1-2) 2-48
1(1-3) 2-49
1(1-4) 2-50
1(1-5) 2-51
1(1-6) 2-52
1(1-7) 2-53
1(1-8) 2-54
1(1-9) 2-55
1(1-10) 2-56
1(1-11) 2-57
1(1-12) 2-58
2(1-1) 2-77
2(1-2) 2-78
2(1-3) 2-79
2(1-4) 2-80
2(1-5) 2-81
2(1-6) 2-82
3 2-59
Ord. No. 08-09/005 4-24-2009 att. 2-138
Ord. No. 0910-005 7-13-2010 1 10-19
2 10-20
Ord. of 7-13-2010(2) 7-13-2010 art. 1, § 14.21 34-453
Ord. No. 10-11-001 12-7-2010 — 20-4
Ord. No. 12-13/001 11-06-2011 — 2-2
Ord. No. 11-12-003 9-11-2012 1 20-20
2 20-21
4 20-23
Ord. No. 2014-03 2-11-2014 1 28-19
2 28-19
3 28-19
Ord. of 6-14-2016 6-14-2016 art. 1, § 5.11 34-66
Ord. No. 2016-05 9-13-2016 2(30-1) 28-42
2(30-2) 28-43
2(30-3) 28-44
2(30-4) 28-45
Ord. No. 2017-001 11-14-2017 — 32-19—32-37
Ord. No. 2018-001  4-10-2018 I 14-19
II 14-20
III 14-21
IV 14-22
V 14-23
VI 14-24
VII 14-25
VIII 14-26
IX 14-27
X 14-28
Ord. No. 2018-002  5- 8-2018 1(010) 2-161
1(011) 2-162
1(012) 2-163
1(013) 2-164
1(014) 2-165
1(020) 2-166
1(060) 2-167
1(061) 2-168
1(070) 2-169
1(080) 2-170
1(081) 2-171
1(090) 2-172
1(100) 2-173
1(110) 2-174
1(130) 2-175
1(140) 2-176
1(150) 2-177
1(160) 2-178
1(170) 2-179
1(180) 2-180
1(190) 2-181
1(200) 2-182
1(210) 2-183
1(220) 2-184
1(221) 2-185
1(222) 2-186
1(223) 2-187
1(224) 2-188
1(225) 2-189
1(226) 2-190
1(227) 2-191
1(228) 2-192
1(330) 2-193
1(331) 2-194
Ord. of 8-14-2018  8-14-2018 10-1 22-19
10-2 22-20
10-15 22-44
10-16 22-45
Ord. No. 2018-003 11-13-2018 1—7       Added Adopt. Ord
Ord. No. 2019-003  3-12-2019       Dltd 26-1—26-19
      Added Ch. 27 §§
27-1—27-212
      Added Ch. 27, Apps. A—L
Ord. No. 2019-004  4- 9-2019       Added 14-101—14-104
Ord. No. 2019-006 10- 8-2019 1       Added 8-61—8-76
Ord. No. 2019-007 10- 8-2019 32-19—32-38
Ord. No. 2020-001 11-10-2020       Added 30-61—30-68
Ord. of 12-29-2020 32-21(a)(1)
      Added 32-21(a)(1)b.2
      Added 32-21(a)(1)c
32-26(a), (b)
Ord. No. 2021-001  6- 8-2021 6-21
      Added 6-21.1
6-23(d)
      Added 6-23(h)
      Added 6-25.1
6-29(e)
      Added 6-31.1
Ord. No. 2022-001  3- 8-2022       Added 12-2
Ord. No. 2022-002  9-13-2022       Added 34-268
Ord. No. 2022-03 11-10-2022       Added 34-67
Res. No. 2022-018 12-13-2022 32-21(a)(4)a
32-21(b)(2)
32-21(b)(3)c
      Added 32-21(b)(3)d
      Rnbd 32-21(b)(3)d
      as 32-21(b)(3)e
