SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
2010-51 11-15-10 Included 22
2010-52 11-15-10 Included 22
2010-54  1- 3-11 Included 22
2010-57  1- 3-11 Omitted 22
2010-58  1- 3-11 Included 22
2010-60  1- 3-11 Included 22
2011-05  6- 6-11 Included 22
2011-09  6-29-11 Included 22
2011-10  7-18-11 Included 22
2007-05  5-21-07 Included 23
2011-27  1- 3-12 Included 23
2012-05  3- 5-12 Included 23
2012-30  8-20-12 Included 23
2012-46 11-19-12 Included 23
2013-005  2- 4-13 Included 23
2013-008  4-15-13 Included 23
2013-25(Res.)  2-18-13 Included 23
2013-024  1- 6-14 Included 24
2014-004  4- 7-14 Included 24
2014-008  8-18-14 Included 25
2014-023 11- 3-14 Included 25
2014-033 10- 6-14 Included 25
2014-037 12- 1-14 Included 25
2014-040 12- 1-14 Included 25
2015-001  2-16-15 Omitted 25
2015-016  6- 1-15 Included 26
2015-019  7-27-15 Omitted 26
2015-023  8-17-15 Omitted 26
2015-024  8-17-15 Omitted 26
2015-029 10- 5-15 Omitted 26
2015-030 11-19-15 Included 26
2015-031 11-22-15 Included 26
2015-32 12- 7-15 Omitted 26
2015-036 11-16-15 Omitted 26
2016-005  2- 1-16 Omitted 26
2016-06  2-15-16 Included 26
2016-07  2-15-16 Included 26
2016-009  3- 7-16 Included 26
2016-012  3-21-16 Included 26
2016-013  4- 4-16 Included 26
2016-017  7-18-16 Included 27
2016-22  9-19-16 Included 27
2016-024 11- 7-16 Omitted 27
2016-025 10- 3-16 Included 27
2016-026 10-17-16 Included 27
2016-030 11-21-16 Included 27
2016-32  1- 3-17 Included 27
2016-033  1- 3-17 Included 27
2016-34  1- 3-17 Omitted 27
2017-001  2- 6-17 Omitted 27
2017-003  3- 6-17 Included 27
2017-007  4-17-17 Included 28
2017-008  5- 1-17 Omitted 28
2017-009  4-17-17 Included 28
2017-010  5- 1-17 Included 28
2017-012  5- 1-17 Included 28
2017-013  5- 1-17 Omitted 28
2017-020  8-21-17 Included 28
2017-021  9-18-17 Included 28
2017-022 10- 2-17 Included 28
2017-023  9-18-17 Included 28
2017-026 10- 2-17 Included 28
2017-028 11- 6-17 Omitted 28
2017-027 10- 2-17 Omitted 29
2017-030 12- 4-17 Included 29
2017-033 12- 4-17 Included 29
2018-001  1-16-18 Included 29
2018-002  1-16-18 Included 29
2018-004  2- 5-18 Omitted 29
2018-007  3-19-18 Omitted 29
2018-017  8- 6-18 Included 29
2018-018  8- 6-18 Omitted 29
2018-025 12- 3-18 Included 29
2019-02  1-22-19 Omitted 29
2019-04  2-18-19 Omitted 29
2019-006  3- 4-19 Included 29
2019-007  3-18-19 Included 29
2019-025 11-18-19 Included 30
2019-026 11-18-19 Omitted 30
2019-027 11-18-19 Included 30
2019-09  4-15-19 Omitted 30
2019-14  6-17-19 Omitted 30
2020-001  2-17-20 Included 30
2020-004  4- 6-20 Included 30
2020-008  5- 4-20 Omitted 30
2020-009  6- 1-20 Omitted 30
2020-012  6-15-20 Omitted 30
2020-013  6-15-20 Omitted 30
2020-014  7-20-20 Included 30
2020-016  8-17-20 Included 30
2020-017  8-17-20 Included 30
2020-018  8-17-20 Omitted 30
2020-019  9-21-20 Included 30
2020-020 10- 5-20 Omitted 30
2020-022 10- 5-20 Omitted 30
2020-023 11- 2-20 Included 30
2020-024 11- 2-20 Included 30
2020-026  1- 4-21 Included 30
2021-002  2- 1-21 Included 30
2021-004  3- 1-21 Omitted 30
2021-005  3- 1-21 Omitted 30
2021-008  5- 3-21 Omitted 30
2021-009  4-19-21 Included 30
2021-010  5-17-21 Included 30
2021-013  6-21-21 Included 30
2021-014  6-21-21 Included 30
2021-015  6-21-21 Included 30
2021-020 10-18-21 Omitted 31
2021-022 10-18-21 Omitted 31
2021-023 12- 6-21 Included 31
2021-024 12- 6-21 Omitted 31
2022-003  2-21-22 Included 31
2022-005  3-21-22 Omitted 31
2022-007  4-18-22 Omitted 31
