CODE COMPARATIVE TABLE - ZONING ORDINANCES
This table gives the location within the Code of those sections of the Zoning Ordinance as compiled through December 31, 1999, that are included in the Code.
EXPAND
1999 Zoning Ordinance
Section Section

in Code
1.3 119-3
1.4 119-5
2.1 119-127
2.2 119-128
2.3 119-129
art. III 119-157
3.1 119-158
3.2 119-159
3.3 119-160
3.4 119-161
3.5 119-162
3.6 119-163
3.7 119-164
3.8 119-165
4.10 119-7
4.1 119-186
4.11 119-195
4.12 119-89
4.13 119-90
4.14 119-196
4.15 119-197
4.16 119-198
4.17 119-199
4.18 119-200
4.19 119-201
4.2 119-187
4.20 119-202
4.21 119-203
4.22 119-204
4.23 119-205
4.24 119-91
4.25 119-92
4.26 119-93
4.27 119-34
4.28 119-206
4.29 119-207
4.3 119-188
4.30 119-208
4.31 119-209
4.32 119-210
4.33 119-211
4.34 119-212
4.35 119-213
4.36 119-94
4.37 119-214
4.38 119-215
4.39 119-216
4.4 119-189
4.40 119-217
4.41 119-218
4.42 119-219
4.43 119-220
4.44 119-221
4.45 119-222
4.46 119-223
4.47 119-34
4.5 119-190
4.6 119-191
4.7 119-192
4.8 119-193
4.9 119-194
5.1 119-65
5.2 119-66
5.3 119-67
5.4 119-111
5.5 119-112
6.1 119-33
6.2.1, 6.2.2 119-34, 119-35
6.3 119-33
6.4 119-36
6.5 119-37
6.6 119-6
7.1 119-38
7.2 119-38
8.1 119-2
art. IX 119-1
