SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
1046 12-21-10 Included 35
1047 12-21-10 Included 35
1048  1- 4-11 Included 35
1049  1- 4-11 Included 35
1050  3- 1-11 Omitted 36
1051  7-19-11 Included 36
1052  8- 2-11 Included 36
1053  8-16-11 Included 36
1054  8-26-11 Omitted 37
1055  9- 6-11 Included 37
1056  9- 6-11 Included 37
1057 10- 4-11 Included 37
1058 12-20-11 Omitted 38
1059  1- 3-12 Included 38
1060  1- 3-12 Included 38
1061  1- 3-12 Included 38
1062  4- 3-12 Omitted 39
1063  9- 6-12 Omitted 39
1064 12-18-12 Included 39
1065 12-18-12 Included 39
1066 12-18-12 Included 39
1067  6- 4-13 Included 40
1068  6-18-13 Included 41
1069  8-22-13 Omitted 41
1070  1- 7-14 Included 42
1071  1- 7-14 Included 42
1072  1- 7-14 Included 42
1073  2- 4-14 Included 42
1074  2-18-14 Included 42
1075  3- 4-14 Included 43
1076  4- 1-14 Included 43
1077  5-20-14 Included 43
1078  5-20-14 Included 43
1079  8-21-14 Omitted 44
1080  9- 2-14 Included 44
1081 12-16-14 Omitted 44
1082  1- 6-15 Included 44
1083  4-21-15 Included 45
1084  9-15-15 Omitted 45
1085 10-20-15 Included 45
1086 12-15-15 Included 45
1088  7- 5-16 Included 45
1089  8- 2-16 Omitted 46
1090  8-25-16 Omitted 46
1091 12-16-16 Included 46
1092  1-10-17 Included 46
1093  1-10-17 Included 46
1094  1-17-17 Included 46
1095  3- 7-17 Included 47
1096  3- 7-17 Included 47
1097  4- 4-17 Included 47
1098  8-15-17 Omitted 48
1099  9-19-17 Included 48
1101 12-19-17 Included 49
1102 12-19-17 Included 49
1103  7-17-18 Included 50
1106 11- 6-18 Included 51
1107 12-18-18 Omitted 52
1108 12-18-18 Included 52
1109 12-18-18 Included 52
1110  3-19-19 Included 53
1105  9- 4-18 Included 54
1111  5-21-19 Included 54
1112  5-21-19 Included 54
1113  6-18-19 Included 54
1114  7-16-19 Included 54
1115  8-20-19 Included 55
1116  8-20-19 Omitted 55
1117  8-20-19 Omitted 55
1118  9- 3-19 Included 55
1119  9- 3-19 Included 55
1120  9-17-19 Omitted 56
1121 10-15-19 Included 56
1122 11- 5-19 Included 57
1123  1- 7-20 Omitted 58
1124  1- 7-20 Omitted 58
1125  1- 7-20 Omitted 58
1127  3-27-20 Omitted 58
1128  4- 1-20 Omitted 58
1129  7-21-20 Included 58
1130  7-21-20 Included 58
1131  8-11-20 Omitted 58
1132  8-11-20 Omitted 58
1133  8-18-20 Omitted 58
1134  8-18-20 Omitted 58
1135  9-15-20 Included 59
1136 10-20-20 Included 59
1137 10-20-20 Omitted 59
1138 11- 3-20 Omitted 59
1139 12- 1-20 Included 60
1140 12- 1-20 Included 60
1141 12-15-20 Included 60
1142  1- 5-21 Included 60
1143  1- 5-21 Included 60
1144  3- 2-21 Included 61
1145  3-16-21 Omitted 61
1146  3-16-21 Included 61
1147  3-26-21 Included 61
1148  4- 6-21 Included 62
1149  4-20-21 Omitted 62
1150  4-20-21 Omitted 62
1151  4-23-21 Omitted 62
1153  5-18-21 Included 62
1154  6- 1-21 Included 62
1155  6-29-21 Omitted 63
1156  8-17-21 Omitted 63
1157  8-17-21 Included 63
1158 11-16-21 Included 63
1159  9- 7-21 Included 63
1160  9-21-21 Omitted 63
1161 11- 2-21 Omitted 63
1162 12- 7-21 Included 63
1163 12- 7-21 Included 63
1164  1-18-22 Included 64
1165  2-15-22 Included 64
1166  4- 5-22 Included 64
1167  4- 5-22 Included 64
1168  4- 5-22 Included 64
1169  4-19-22 Included 64
1170  4-19-22 Included 64
1171  5-17-22 Omitted 64
1172  6-21-22 Included 65
1173  7-14-22 Included 65
1174  8- 2-22 Omitted 65
1175  8- 2-22 Omitted 65
1176  8- 2-22 Included 65
1177  8- 2-22 Included 65
1178  8-16-22 Omitted 65
1179  8- 2-22 Omitted 65
1180 11-15-22 Included 65
1181 11-15-22 Included 65
1182  8-16-22 Omitted 65
1183  2- 7-23 Included 66
1184  4- 4-23 Omitted 66
1185  5- 2-23 Omitted 66
1186  5-16-23 Included 66
1187  6- 6-23 Included 66
1188  6- 6-23 Included 66
1189  6- 6-23 Included 66
1190  6-20-23 Included 66
1191  8- 1-23 Included 66
1192  8- 1-23 Included 66
1193  8-15-23 Omitted 66
1194  8-15-23 Omitted 66
