CODE COMPARATIVE TABLE - 1982 CODE TO 2021 CODE
This table gives the location within the 2021 Code of sections of the 1982 Code.
EXPAND
Code 1982
Section Section

2021 Code
1-101 1-1
1-102 1-2
1-103 1-2
1-104 1-3
1-105 1-5
1-106 1-8
1-108 1-7
3-103 2-1
3-104 2-81
3-204 2-23
3-205 2-24
3-206 2-25
— 2-26
3-301 2-59
3-302 2-60
3-303 2-61
3-401 2-133
3-402 2-134
3-404 2-135
3-405 2-154
3-501(1) 2-177
3-501(2) 2-178
3-501(3) 2-179
3-501(4) 2-180
3-504 2-2
4-201 34-1
4-401 2-236
4-402 2-268
4-403 2-269
4-404 2-237
4-405 2-270
4-406 2-238
5-102 22-1
5-103 22-2
5-104 22-3
5-105 22-4
5-106 22-5
5-107 22-6
5-108 22-7
5-109 22-8
5-110 22-9
5-112 22-10
11-102 36-2
11-103 36-27
14-101 14-117
14-102 14-118
14-103 14-119
14-104 14-115
14-105 14-116
22-101 32-2
22-102 32-26
22-102(1) 32-23
22-102(2) 32-24
22-102(3) 32-25
22-103(1) 32-56
22-103(2) 32-57
22-103(3) 32-58
22-103(4) 32-59
22-103(5) 32-60
22-103(6) 32-61
22-103(7) 32-62
22-103(8) 32-63
22-103(9) 32-64
22-103(10) 32-65
22-103(11) 32-66
22-103(12) 32-67
22-103(13) 32-68
22-103(14) 32-69
22-103(15) 32-70
22-103(16) 32-71
22-103(17) 32-72
22-103(18) 32-73
22-103(19) 32-74
22-103(20) 32-75
22-103(21) 32-76
22-103(22) 32-77
22-103(23) 32-78
22-104(1) 32-129
22-104(3) 32-130
22-104(4) 32-134
22-104(5) 32-100
22-105(1) 32-131
22-105(2) 32-133
22-105(3) 32-132
22-105(4) 32-135
22-105(5) 32-137
22-105(6) 32-136
22-106 32-1
23-101 26-1
23-102(1) 26-2
23-102(2) 26-3
23-102(3) 26-4
23-102(4) 26-5
23-102(5) 26-6
23-102(6) 26-7
24-101 12-23
24-102 12-24
24-103 12-25
24-104 12-26
24-201 12-1
24-202 12-2
32-109 36-3
32-110 8-1
33-103 14-27
33-104 14-1
33-106 14-2
36-201 20-19
36-202 20-22
36-203 20-23
36-204 20-24
36-206 20-25
36-207 20-26
36-208 20-21
36-209 20-20
