COMPARATIVE TABLE 3
EXPAND
CITY OF AUGUSTA CODE RICHMOND COUNTY CODE AUGUSTA-RICHMOND COUNTY CODE
1-1 1-1 1-1-1
1-2 1-2 1-1-2
1-3 1-3 1-1-3
1-4 1-4 1-1-4
1-5 1-5 1-1-5
1-6 1-6 1-1-6
2-4 1-2-9
2-19 1-2-60
2-20 1-2-61
2-21 1-2-62
2-22 1-2-63
2-23 1-2-64
2-27 1-2-5
2-80 1-2-26
2-81 1-2-27
2-188 1-3-1
2-189 1-3-1
2-190 1-3-2
2-191 1-3-3
2-192 1-3-4
2-193 1-3-5
2-194 1-3-6
2-195 1-3-7
2-196 1-3-8
2-196.1 1-3-9
2-196.2 1-3-9
2-196.3 1-3-10
2-196.4 1-3-11
2-196.5 1-3-12
2-196.6 1-3-13
2-196.7 1-3-14
2-196.8 1-3-15
2-196.9 1-3-16
3-1 1-3-42
3-2 1-3-43
4-19 6-2-23
4-20 6-2-12
4-25 6-2-11
5-1 4-1-5
5-3 4-1-51
5-5 4-1-29
5-6 4-1-30
5-7 4-1-31
5-8 4-1-32
5-9 4-1-33
5-11 4-16 4-1-16
7-159 6-3-1, 6-3-24
7-160 6-3-2
7-161 6-3-3
7-162 6-3-4
7-163 6-3-5
7-164 6-3-6
7-165 6-3-7
7-166 6-3-8
7-167 6-3-9
7-168 6-3-10
7-169 6-3-11
7-170 6-3-12
7-171 6-3-13
7-172 6-3-14
7-173 6-3-15
7-174 6-3-16
7-175 6-3-17
7-176 6-3-18
7-177 6-3-19
7-178 6-3-20
8-16 6-5-1
8-30 6-5-2
8-40 6-8-1
8-41 6-8-2
8-42 6-8-3
8-63 6-6-9
8-66 6-6-7
8-67 6-6-8
8-68 6-6-10
8-69 6-6-11
8-70 6-6-12
8-71 6-6-13
8-72 6-6-14
9-21 1-5-1
9-22 1-5-2
9-23 1-5-3
9-24 1-5-4
9-25 1-5-5
9-27 1-5-6
9-28 1-5-7
9-29 1-5-8
9-30 1-5-9
9-31 1-5-10
9-32 1-5-11
9-33 1-5-12
9-34 1-5-13
9-35 1-5-14
9-36 1-5-15
9-37 1-5-16
9-38 1-5-17
9-38.1 1-5-18
9-39 1-5-26
9-41 1-5-27
9-43 1-5-28
9-44 1-5-29
9-45 1-5-30
9-47 1-5-31
9-48 1-5-32
9-49 1-5-40
9-50 1-5-41
9-51 1-5-42
9-52 1-5-43
9-53 1-5-44
9-54 1-5-45
9-55 1-5-46
9-56 1-5-47
9-57 1-5-48
9-58 1-5-49
9-59 1-5-50
9-60 1-5-51
9-61 1-5-52
9-62 1-5-53
10-1 1-6-1
10-5 1-6-2
10-6 1-6-3
10-7 1-6-4
10-8 1-6-5
10-9 1-6-6
10-39 1-6-13
11-1 3-3-2
11-2 3-3-3
11-12 9-25 3-3-8
11-13 9-25 3-3-9
11-14 3-3-10
11-15 3-3-11
11-16 3-3-12
11-17 3-3-13
11-18 3-3-14
11-19 3-3-15
11-20 3-3-16
11-21 3-3-17
11-22 3-3-18
11-23 9-25 3-3-19
11-27 3-3-24
11-30 9-27 3-3-27
11-33 9-30 3-3-4
11-36 3-3-28
11-37 3-3-29
12-21 4-2-37
12-23 4-2-38
12-26
12-31 4-2-39
12-33 4-2-40
12-34 4-2-41
12-35 4-2-42
12-36 4-2-43
12-43 4-2-44
12-44 4-2-45
12-45 4-2-46
12-46 4-2-47
12-47 4-2-48
12-48 4-2-49
12-48.1 10-31 4-2-7
12-48.2 10-32 4-2-8
12-48.3 10-33 4-2-9
12-48.4 10-35 4-2-11
12-48.5 10-36 4-2-12
12-48.6 10-34 4-2-10
12-48.7 10-37 4-2-13
12-48.8 10-38 4-2-14
12-48.9 10-40 4-2-16
12-48.10 10-41 4-2-18
12-48.11 10-42 4-2-19
12-48.12 10-45 4-2-22
12-48.13 10-44 4-2-21
12-48.14 10-43 4-2-20
12-48.16 10-39 4-2-15
12-48.17 10-47 4-2-24
12-48.18 10-48 4-2-25
13-3 3-5-4
13-4 3-5-4
13-5 3-5-5
14-1 3-7-6
14-2 3-7-7
14-3 3-7-8
14-4 3-7-9
14-5 3-7-10
14-6 3-7-11
14-7 3-7-12
14-8 3-7-13
14-8.1 3-7-14
14-10 3-7-15
14-11 3-7-16
14-12 3-7-17
14-15 3-7-18
14-16 3-7-19
14-16.1 3-7-20
14-16.2 3-7-21
14-16.3 3-7-22
14-16.4 3-7-23
14-16.5 3-7-24
14-22 3-7-25, 3-8-17
14-23 3-7-26
