CODE COMPARATIVE TABLE - 1991 CODE
This table gives the location within the Code of sections of the 1991 Code, as supplemeneted through April 10, 1995.
EXPAND
Code 1991
Section Section

this Code
1-1 1-1
1-2 1-2
1-3 1-3
1-4 1-4
1-5 1-5
1-6 1-6
1-7 1-7
1-8 1-8
1-9 1-9
1-10 1-10
1-11 1-11
1-12 1-12
2-1 2-1
2-2 2-88
2-3 2-89
2-4 2-90
2-5 2-91
2-7 20-1
2-26 2-21
2-28 2-22
2-47 2-48
2-48 2-49
2-49 2-50
2-50 2-51
2-51 2-52
2-52 2-53
2-53 2-54
2-54 2-55
2-55 2-56
2-56 2-57
2-71 12-21
2-72 12-22
2-73 12-23
2-74 12-24
2-91 2-111
2-92 2-112
2-93 2-113
2-94 2-114
2-95 2-115
2-96 2-116
2-97 2-117
2-136 2-148
2-137 2-149
2-138 2-150
2-139 2-151
2-140 2-152
2-141 2-153
2-142(a) 10-21
2-142(b) 10-21
2-142(c) 10-1
2-142(d) 10-22
2-142(e) 10-23
2-206 2-268
2-207 2-269
2-208 2-270
2-209 2-271
2-210 2-272
2-226 2-202
2-227 2-203
2-228 2-204
2-229 2-205
2-230 2-206
2-231 2-207
2-251 18-2
2-252 18-1
2-253 18-3
2-254 18-4
2-255 18-5
2-256 18-6
4-2 14-1
4-3 14-2
4-26 14-3
4-41 14-4
5-26 20-21
5-27 20-22
5-28 20-23
5-29 20-24
5-30 20-25
5-31 20-26
5-32 20-27
5-33 20-28
5-34 20-29
5-35 20-30
5-51 20-49
5-52 20-50
5-53 20-51
5-54 20-52
5-55 20-53
5-56 20-54
5-57 20-55
5-58 20-56
5-59 20-57
5-76 20-88
5-77 20-89
5-78 20-90
5-79 20-91
5-80 20-92
5-81 20-93
5-82 20-94
5-83 20-95
5-84 20-96
5-85 20-97
5-86 20-98
5-87 20-99
5-88 20-100
5-89 20-101
5-90 20-102
5-91 20-103
5-92 20-104
5-101 20-129
5-102 20-130
5-103 20-131
5-125 20-148
5-126 20-149
5-127 20-150
5-128 20-151
5-129 20-152
5-130 20-153
5-131 20-154
5-132 20-155
5-151 20-172
5-152 20-173
5-153 20-174
5-154 20-175
5-155 20-176
5-171 20-193
5-172 20-194
5-173 20-195
5-174 20-196
5-175 20-197
5-201 20-214
5-202 20-215
5-203 20-216
5-204 20-217
5-226 20-234
5-227 20-235
5-228 20-236
5-229 20-237
5-230 20-238
5-231 20-239
5-232 20-240
5-233 20-241
5-234 20-242
5-235 20-243
5-236 20-244
5-237 20-245
5-238 20-246
5-251 20-263
5-252 20-264
5-253 20-265
5-254 20-266
5-255 20-267
5-256 20-268
5-257 20-269
5-258 20-270
5-271 20-287
5-272 20-288
5-281 20-305
5-282 20-306
5-283 20-307
5-301 20-324
5-321 20-341
5-322 20-342
5-323 20-343
5-324 20-344
5-325 20-345
5-326 20-362
5-327 20-363
5-361 20-380
5-362 20-381
5-363 20-382
5-364 20-383
5-365 20-384
5-366 20-385
5-367 20-386
5-368 20-387
5-369 20-388
5-370 20-389
5-371 20-390
5-372 20-391
5-373 20-392
5-374 20-393
5-401 20-394
5-402 20-395
5-403 20-396
5-404 20-397
5-405 20-398
5-406 20-399
5-407 20-400
5-408 20-401
5-409 20-402
5-410 20-403
6-1 32-1
6-2 32-2
6-3 32-3
8-26 28-19
8-27 28-20
8-28 28-21
8-29 28-22
8-30 28-23
8-31 28-24
9-1 30-1
9-2 30-2
9-3 30-3
9-4 30-4
9-5 30-5
9-6 30-6
10-1 34-1
10-2 34-2
10-3 34-3
10-4 34-4
10-5 34-5
10-8 34-6
10-9 34-7
10-10 34-8
10-11 34-9
10-12 34-10
10-13 34-11
10-14 34-12
10-15 34-13
10-16 34-14
10-31 34-32
10-32 34-33
10-33 34-34
10-34 34-35
10-35 34-36
10-36 34-37
10-37 34-38
10-38 34-39
10-39 34-40
10-61 34-69
10-62 34-70
10-63 34-71
10-64 34-72
10-65 34-73
10-81 34-105
10-82 34-106
10-83 34-107
10-84 34-108
10-85 34-109
10-86 34-110
10-87 34-111
10-88 34-112
10-89 34-113
10-90 34-114
10-91 34-115
10-92 34-116
10-93 34-117
10-94 34-118
10-111 34-150
10-112 34-151
10-113 34-152
10-114 34-153
10-115 34-154
10-116 34-155
10-117 34-156
10-118 34-157
10-119 34-158
10-120 34-159
10-121 34-160
10-122 34-161
10-123 34-162
10-141 34-193
10-142 34-194
10-143 34-195
10-144 34-196
10-145 34-197
10-146 34-198
10-147 34-199
10-148 34-200
10-149 34-201
10-150 34-202
10-151 34-203
10-152 34-204
10-153 34-205
