SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
05-11 1-20-11 Include 2
06-11 2-17-11 Include 2
07-11 2-17-11 Include 2
08-11 2-17-11 Include 2
10-11 3-17-11 Include 2
11-11 4-21-11 Include 2
15-11 5-5-11 Include 2
16-11 6-16-11 Include 2
18-11 6-2-11 Include 2
20-11 11-3-11 Include 2
23-11 12-1-11 Include 2
24-11 12-1-11 Include 2
Supp. No. 3
02-12 1-5-12 Include 3
03-12 1-19-12 Include 3
04-12 1-19-12 Include 3
09-12 2-2-12 Include 3
10-12 2-2-12 Include 3
11-12 2-2-12 Include 3
12-12 2-2-12 Include 3
13-12 2-2-12 Include 3
14-12 2-2-12 Include 3
15-12 2-2-12 Include 3
16-12 3-1-12 Include 3
17-12 3-1-12 Include 3
18-12 3-1-12 Include 3
19-12 3-1-12 Include 3
20-12 3-1-12 Include 3
22-12 4-5-12 Include 3
26-12 5-3-12 Include 3
Supp. No. 4
29-12 6-21-12 Include 4
33-12 8-2-12 Include 4
34-12 8-2-12 Include 4
35-12 8-16-12 Include 4
36-12 8-2-12 Include 4
40-12 9-6-12 Include 4
41-12 9-6-12 Include 4
Supp. No. 5
46-12 11-1-12 Include 5
47-12 11-1-12 Include 5
48-12 11-1-12 Include 5
49-12 11-1-12 Include 5
50-12 11-1-12 Include 5
51-12 11-1-12 Include 5
52-12 11-1-12 Include 5
53-12 11-1-12 Include 5
54-12 11-1-12 Include 5
55-12 11-1-12 Include 5
56-12 11-1-12 Include 5
57-12 11-1-12 Include 5
58-12 11-1-12 Include 5
59-12 11-1-12 Include 5
60-12 11-1-12 Include 5
61-12 11-1-12 Include 5
62-12 11-1-12 Include 5
63-12 11-1-12 Include 5
64-12 11-1-12 Include 5
65-12 11-1-12 Include 5
66-12 11-1-12 Include 5
67-12 11-1-12 Include 5
69-12 12-6-12 Include 5
71-12 12-20-12 Omit 5
01-13 1-3-13 Include 5
Supp. No. 6
02-13 2-21-13 Include 6
03-13 2-21-13 Include 6
04-13 2-21-13 Include 6
06-13 4-4-13 Include 6
09-13 6-20-13 Include 6
10-13 6-20-13 Include 6
11-13 7-1-13 Include 6
16-13 7-18-13 Include 6
17-13 8-15-13 Include 6
22-13 10-17-13 Include 6
Supp. No. 7
27-13 11- 7-13 Include 7
28-13 11-21-13 Include 7
29-13 12- 5-13 Include 7
32-13 12- 5-13 Include 7
04-14  1- 2-14 Include 7
05-14  1- 2-14 Include 7
06-14  2- 2-14 Include 7
07-14  2- 2-14 Include 7
09-14  5- 1-14 Include 7
10-14  5- 1-14 Include 7
11-14  5- 1-14 Include 7
19-14  6-19-14 Include 7
20-14  6-19-14 Include 7
21-14  6-19-14 Include 7
22-14  7- 1-14 Include 7
23-14  7- 1-14 Include 7
27-14  8- 7-14 Include 7
Supp. No. 8
29-14  9-18-14 Include 8
35-14 10-16-14 Include 8
36-14 12-18-14 Omit 8
01-15  3- 5-15 Include 8
02-15  3- 5-15 Include 8
03-15  3- 5-15 Include 8
04-15  3- 5-15 Include 8
07-15  4- 2-15 Include 8
08-15  5- 7-15 Include 8
09-15  5- 7-15 Omit 8
10-15  5- 7-15 Omit 8
11-15  5-21-15 Include 8
12-15  5-21-15 Include 8
13-15  6- 4-15 Include 8
14-15  6- 4-15 Include 8
16-15  6-18-15 Include 8
17-15  6-18-15 Include 8
18-15  6-18-15 Include 8
19-15  6-18-15 Include 8
20-15  6-18-15 Include 8
21-15  6-18-15 Include 8
22-15  7- 2-15 Include 8
23-15  7- 2-15 Include 8
24-15  7- 2-15 Omit 8
25-15  7-16-15 Include 8
Supp. No. 9
54-08  1- 8-09 Include 9
26-15  8-20-15 Include 9
27-15  9- 3-15 Omit 9
28-15  9- 3-15 Include 9
35-15 11-19-15 Include 9
37-15 11-19-15 Include 9
38-15 11-19-15 Include 9
01-16  1-21-16 Include 9
04-16  2- 4-16 Include 9
Supp. No. 10
07-16  4- 7-16 Include 10
08-16  4- 7-16 Include 10
09-16  4- 7-16 Include 10
12-16  6-16-16 Include 10
13-16  6-16-16 Include 10
15-16  6-16-16 Include 10
16-16  6-16-16 Include 10
17-16  9- 1-16 Include 10
18-16  9- 1-16 Include 10
19-16 10- 6-16 Include 10
20-16 10- 6-16 Include 10
Supp. No. 11
09-16  4- 7-16 Include 11
24-16 11-17-16 Include 11
25-16 11-17-16 Include 11
26-16 11-17-16 Include 11
27-16 11-17-16 Include 11
01-17 12-15-16 Include 11
02-17 12-15-16 Include 11
03-17 12-15-16 Include 11
04-17  1-19-17 Include 11
05-17  2-16-17 Include 11
06-17  2-16-17 Include 11
07-17  3-16-17 Include 11
08-17  4- 6-17 Omit 11
10-17  4-20-17 Include 11
11-17  4-20-17 Include 11
12-17  5- 4-17 Include 11
13-17  5- 4-17 Include 11
14-17  5-18-17 Include 11
15-17  5-18-17 Omit 11
Supp. No. 12
16-17  6- 1-17 Include 12
17-17  6- 1-17 Include 12
18-17  6-15-17 Include 12
19-17  6-15-17 Include 12
20-17  6-15-17 Omit 12
21-17  7-20-17 Include 12
22-17  7-20-17 Include 12
23-17  7-20-17 Include 12
24-17  7-20-17 Include 12
25-17  8- 3-17 Include 12
28-17  9- 7-17 Include 12
29-17  9- 7-17 Include 12
Supp. No. 13
32-17 10-19-17 Omit 13
33-17 11-16-17 Include 13
34-17 11-16-17 Include 13
35-17 12- 7-17 Include 13
01-18  1- 4-18 Include 13
02-18  1-18-18 Include 13
Supp. No. 14
28-16  8- 4-16 Include 14
05-18  2-13-18 Include 14
07-18  3- 1-18 Include 14
09-18  4-19-18 Include 14
10-18  4-19-18 Include 14
11-18  5-17-18 Include 14
Supp. No. 15
12-18  6- 7-18 Include 15
13-18  6-21-18 Include 15
14-18  6-21-18 Omit 15
15-18  6-21-18 Omit 15
16-18  7- 5-18 Include 15
21-18  9-20-18 Include 15
22-18  9-20-18 Include 15
23-18  9-20-18 Include 15
24-18  9-20-18 Omit 15
Supp. No. 16
25-18 10- 4-18 Include 16
26-18 10- 4-18 Include 16
27-18 10- 3-18 Omit 16
28-18 10- 4-18 Include 16
29-18 11- 1-18 Include 16
30-18 11- 1-18 Omit 16
31-18 11-15-18 Include 16
32-18 12- 6-18 Omit 16
33-18 12- 6-18 Omit 16
34-18 12- 6-18 Include 16
