CODE COMPARATIVE TABLE - 2001 COMPILATION OF ORDINANCES
This table gives the location within this Code of those sections of the 2001 Compilation of Ordinances, as updated through July 14, 2020, which are included herein. Sections of the 2001 Compilation of Ordinances, as updated, not listed herein have been omitted as repealed, superseded, obsolete or not of a general and permanent nature. For the location of ordinances and other legislation adopted subsequent thereto, see the table immediately following this table.
EXPAND
Comp. Ords. 2001
Section Section

this Code
7.2 2-24
7.6 2-25
7.7 2-1
8.3 6-1
8.4 6-2
8.5 6-4
8.6 6-5
8.7 6-6
8.8 6-7
8.9 6-8
8.10 6-9
8.14 6-10
8.17 6-11
8.18 6-12
8.19 6-13
8.20 6-14
8.21 6-15
8.22 6-16
9.1 10-1
10.3 10-178
10.4 10-179
10.5 10-180
10.6 10-181
11.1 30-19
11.2 30-19
11.3 30-19
11.4 30-20
11.5 30-21
11.6 30-22
11.8 30-23
12.1 20-1
12.2 20-2
12.3 20-3
12.4 20-4
12.5 20-5
12.6 20-6
12.7 20-7
12.8 20-8
12.9 20-9
12.10 20-10
12.11 20-11
12.12 20-12
12.13 20-13
12.14 20-45
12.15 20-46
12.16 20-47
12.17 20-92
12.18 20-68
12.19 20-69
12.20 20-70
12.21 20-73
12.22 20-72
16.1 28-1
16.2 28-3
16.4 28-4
16.6 28-5
16.7 28-6
16.8 28-7
16.9 28-2
16.10 28-2
17.1 36-1
17.6 36-2
17.7 36-3
17.9 36-4
17.11 36-5
17.13 36-6
17.14 36-51
17.15 36-7
17.16 36-8
17.17 36-9
17.18 36-10
17.19 36-11
18.1 18-1
18.2 18-1
20.1 34-1
21.1 34-25
21.2 34-26
21.3 34-27
21.4 34-28
21.5 34-29
21.6 34-30
22.1 30-50
22.2 30-51
22.3 30-52
22.4 30-53
22.5 30-54
22.6 30-55
22.7 30-56
23.1 16-19
23.2 16-20
23.3 16-21
23.4 16-22
23.5 16-23
23.6 16-24
23.7 16-25
23.8 16-26
23.9 16-27
23.10 16-28
23.11 16-29
