CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the Codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
Res. No. 01-0373 3-21-2001 1 10-252
Ord. No. 07-12-01 12-12-2007 art. 1, § 1 1-1
art. 2, § 1 1-2
art. 2, § 2 1-3
art. 3, § 1 1-4
art. 4, § 1 1-5
art. 4, § 2 1-6
art. 4, § 3 1-7
art. 4, § 4 1-8
art. 4, § 5 1-9
art. 4, § 6 1-10
art. 4, § 7 1-11
art. 4, § 8 1-12
art. 4, § 9 1-13
Ord. No. 07-12-02 12-12-2007 art. 1, § 1 2-1
art. 1, § 2 2-2
art. 1, § 3 2-3
art. 1, § 4 2-4
art. 1, § 5 2-5
art. 1, § 6 2-6
art. 2, § 1 2-31
art. 2, § 3 2-32
art. 2, § 4 2-33
art. 2, § 5 2-34
art. 3, § 1 2-57
art. 3, § 2 2-58
art. 3, § 3 2-59
art. 4, § 1 2-77
art. 4, § 2 2-77
art. 4, § 5 2-80
art. 4, § 6 2-81
art. 4, § 7 2-82
art. 5, § 1 2-108
art. 5, § 2 2-109
Ord. No. 07-12-03 12-12-2007 art. 1, § 1 12-1
art. 1, § 2 12-2
art. 1, § 3 12-3
art. 1, § 4 12-4
art. 1, § 5 12-5
art. 2, § 1 12-29
art. 2, § 2 12-30
art. 2, § 3 12-31
art. 2, § 4 12-32
art. 3, § 1 12-53
art. 3, § 2 12-54
art. 4 12-55
Ord. No. 07-12-04 12-12-2007 art. 1, § 1 16-1
art. 1, § 2 16-2
art. 1, § 3 16-3
art. 1, § 4 16-4
art. 1, § 5 16-5
art. 1, § 6 16-6
art. 2, § 1 16-31
art. 2, § 2 16-32
art. 2, § 3 16-33
art. 2, § 4 16-34
art. 2, § 5 16-35
art. 3, § 1 16-59
art. 3, § 2 16-60
art. 3, § 3 16-61
art. 3, § 4 16-62
Ord. No. 07-12-05 12-12-2007 art. 1, § 1 6-2
art. 1, § 2 6-3
art. 1, § 4 6-4
art. 1, § 5 6-5
art. 1, § 6 6-6
art. 1, § 7 6-7
art. 1, § 8 6-8
art. 1, § 9 6-9
art. 1, § 10 6-10
art. 1, § 11 6-11
art. 1, § 12 6-12
art. 1, § 13 6-13
art. 1, § 14 6-14
art. 1, § 15 6-15
art. 2, § 1 6-34
art. 2, § 2 6-35
art. 2, § 3 6-36
art. 3, § 1 6-61
art. 3, § 2 6-62
art. 4, § 1 6-83
art. 4, § 2 6-84
art. 4, § 3 6-1
— 6-85
Ord. No. 07-12-06 12-12-2007 art. 1, § 1 4-1
art. 1, § 2 4-2
art. 2, § 1 4-25
art. 2, § 2 4-26
art. 2, § 3 4-27
art. 2, § 4 4-28
art. 2, § 5 4-29
art. 2, § 6 4-30
art. 2, § 7 4-31
art. 2, § 8 4-32
art. 2, § 9 4-33
art. 2, § 10 4-34
art. 2, § 11 4-35
art. 2, § 12 4-36
art. 2, § 13 4-37
art. 2, § 14 4-38
art. 2, § 15 4-39
art. 2, § 16 4-40
art. 2, § 17 4-41
art. 2, § 18 4-42
art. 2, § 19 4-43
art. 3, § 1 4-75
art. 3, § 2 4-76
art. 4, § 1 4-96
art. 4, § 2 4-97
art. 4, § 3 4-98
art. 5, § 1 4-125
art. 5, § 2 4-126
art. 5, § 3 4-127
art. 5, § 4 4-128
art. 5, § 5 4-129
art. 5, § 6 4-130
art. 5, § 7 4-131
art. 5, § 8 4-132
art. 5, § 9 4-133
art. 5, § 10 4-134
art. 5, § 11 4-135
art. 5, § 12 4-136
art. 6, § 1 4-156
art. 6, § 2 4-157
art. 6, § 3 4-158
art. 6, § 4 4-159
art. 7, § 1 4-187
art. 7, § 2 4-188
art. 7, § 3 4-189
art. 7, § 4 4-190
art. 7, § 5 4-191
art. 7, § 6 4-192
art. 7, § 7 4-193
art. 7, § 8 4-194
art. 7, § 9 4-195
art. 7, § 10 4-196
art. 7, § 11 4-197
art. 7, § 12 4-198
art. 7, § 13 4-199
art. 7, § 14 4-200
art. 7, § 16 4-201
art. 8, § 1 4-226
art. 8, § 2 4-227
art. 8, § 3 4-228
art. 8, § 4 4-229
art. 8, § 5 4-230
art. 8, § 6 4-231
art. 8, § 7 4-232
art. 8, § 8 4-233
art. 8, § 9 4-234
art. 8, § 10 4-235
art. 9, § 1 4-3
Ord. No. 07-12-07 12-12-2007 art. 1, § 1 28-19
art. 1, § 2 28-20
art. 1, § 3 28-21
art. 1, § 4 28-22
art. 1, § 5 28-23
art. 2, § 1 28-50
art. 2, § 2 28-51
art. 2, § 3 28-52
art. 2, § 4 28-53
art. 2, § 5 28-54
art. 2, § 6 28-55
art. 2, § 7 28-56
art. 2, § 8 28-57
art. 2, § 9 28-58
art. 3 28-90
art. 3, § 1 28-91
art. 3, § 2 28-93
art. 3, § 3 28-94
art. 3, § 4 28-95
art. 3, § 5 28-96
art. 3, § 6 28-97
art. 3, § 7 28-98
art. 3, § 8 28-99
art. 3, § 9 28-100
art. 3, § 10 28-101
art. 3, § 11 28-92
Ord. No. 07-12-08 12-12-2007 art. 1, § 1 10-20
art. 1, § 2 10-21
art. 1, § 3 10-22
art. 1, § 4 10-23
art. 1, § 5 10-24
art. 1, § 6 10-25
art. 1, § 7 10-26
art. 1, § 8 10-27
art. 1, § 9 10-28
art. 1, § 10 10-29
art. 1, § 11 10-30
art. 1, § 13 10-31
art. 1, § 14 10-32
art. 1, § 15 10-19
art. 2, § 1 10-53
art. 2, § 2 10-54
art. 2, § 3 10-55
art. 2, § 4 10-56
art. 2, § 5 10-57
art. 2, § 6 10-58
art. 2, § 7 10-59
art. 3, § 1 10-77
art. 3, § 2 10-78
art. 3, § 3 10-79
art. 3, § 4 10-80
art. 3, § 5 10-81
art. 3, § 6 10-82
art. 3, § 7 10-83
art. 3, § 8 10-84
art. 4, § 1 10-112
art. 4, § 2 10-113
art. 4, § 3 10-114
art. 4, § 4 10-115
art. 4, § 5 10-116
art. 4, § 6 10-117
art. 4, § 7 10-118
art. 5, § 1 10-150
art. 5, § 2 10-151
