SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
08-68 12- 9-08 Include 29
11-8  2- 8-11 Omit 29
11-9  2-22-11 Include 29
11-10  2-22-11 Include 29
11-16  3-29-11 Include 29
11-18  4-26-11 Include 29
11-19  4-26-11 Omit 29
11-21  5-10-11 Include 29
11-22  5-31-11 Include 29
11-23  5-31-11 Include 29
11-30  6-21-11 Include 29
11-31  6-28-11 Include 29
11-34  6-28-11 Include 29
11-35  7-12-11 Include 29
11-43  8- 9-11 Include 29
10-45  9-14-10 Include 30
10-46  9-14-10 Include 30
11-45  8-30-11 Include 30
11-49  9-27-11 Include 30
11-53 10-25-11 Include 30
11-55 11- 8-11 Include 30
11-56 11- 8-11 Include 30
11-57 11- 8-11 Include 30
11-58 11- 8-11 Include 30
11-59 11- 8-11 Include 30
11-60 11- 8-11 Include 30
12-5  1-24-12 Include 31
12-6  1-31-12 Include 31
12-13  3-13-12 Include 31
12-19  4-24-12 Include 31
12-20  4-24-12 Include 31
06-33  5-23-06 Include 32
06-71  8-15-06 Include 32
06-91 10-17-06 Include 32
07-01  1- 9-07 Include 32
07-02  1-23-07 Include 32
07-54  8-21-07 Include 32
07-69 10- 9-07 Include 32
12-32  6-26-12 Include 32
12-38  8-28-12 Omit 32
12-39  8-28-12 Include 32
12-40  8-28-12 Include 32
12-46 10-23-12 Include 32
Ref. of 11- 6-12 Include 32
12-48 11-27-12 Include 32
12-49 11-27-12 Include 32
12-50 11-27-12 Include 32
12-51 11-27-12 Include 32
12-52 12- 4-12 Include 32
12-53 12- 4-12 Include 32
12-54 12- 4-12 Omit 32
12-59 12-11-12 Include 33
13-6  2- 5-13 Include 33
13-7  2- 5-13 Include 33
13-9  3-12-13 Include 33
13-10  3-12-13 Include 33
13-12  3-12-13 Include 33
13-17  3-26-13 Include 33
HB 415  4-24-13 Include 33
13-22  5-28-13 Include 33
13-29  6-18-13 Include 33
13-48 10- 8-13 Include 34
13-50 11-12-13 Include 34
14-2  1-14-14 Include 34
14-5  2-25-14 Include 34
HB 416  2-16-13 Include 35
14-12  3-25-14 Include 35
14-13  4- 8-14 Include 35
14-15  4-22-14 Include 35
14-19  5-27-14 Include 37
14-21  5-27-14 Include 38
14-28  6-17-14 Include 36
14-29  6-17-14 Include 36
14-30  6-17-14 Include 36
14-40  7-29-14 Include 36
