CODE COMPARATIVE TABLE - 2000 CODE TO 2017 CODE
This table gives the location within the 2017 Code of those sections of the 2000 Code, as supplemented through June 3, 2002.
EXPAND
2000 Code
Section 2017 Code

§
1-1 1-1
1-1 1-10
1-2 1-2
1-3 1-3
1-4 1-4
1-5 1-5
1-6 1-6
1-8 1-8
1-9 1-9
2-1 2-1
2-32 2-23
2-33 2-24
2-34 2-25
2-36 2-26
2-37 2-27
2-38 2-28
2-74 2-60
2-75 2-61
2-111 2-87
2-171 2-148
2-172 2-149
2-173 2-150
6-1 4-1
10-151 8-3
14-1 8-1
14-3 8-2
14-4 8-4
14-5 8-5
14-6 8-6
14-7 8-7
14-8 8-8
14-9 8-9
14-10 8-10
14-11 8-11
14-12 8-12
14-13 8-13
14-14 8-14
14-15 8-15
14-16 8-16
14-17 8-17
18-1 10-1
18-2 10-2
18-3 10-3
18-4 10-4
18-5 10-5
18-41 10-29
18-42 10-30
18-43 10-31
18-44 10-32
18-45 10-33
18-81 10-55
18-81 10-63
18-82 10-56
18-83 10-57
18-84 10-58
18-85 10-59
18-86 10-60
18-87 10-61
18-88 10-62
18-90 10-64
18-91 10-65
18-92 10-66
18-121 10-91
18-122 10-92
18-123 10-93
18-124 10-94
18-125 10-95
18-126 10-96
18-127 10-97
18-128 10-98
18-129 10-99
18-129 10-100
18-131 10-101
18-132 10-102
18-133 10-103
18-134 10-104
18-135 10-105
18-136 10-106
18-171 10-126
18-172 10-127
18-173 10-128
18-271 10-211
18-272 10-212
18-273 10-213
18-274 10-214
22-1 12-2
22-2 12-3
22-3 12-4
34-31 28-1
34-32 28-2
34-33 28-3
34-34 28-4
34-35 28-5
34-36 28-6
38-1 18-1
38-2 18-2
38-3 18-3
42-2 22-1
42-31 22-21
42-32 22-22
42-33 22-23
42-34 22-24
42-35 22-25
42-36 22-26
46-1 24-1
46-31 24-21
46-32 24-22
46-32 24-82
46-33 24-23
50-31 26-19
50-32 26-20
50-33 26-21
54-1 30-1
54-2 30-2
54-3 30-3
54-5 30-4
54-61 30-56
54-62 30-57
54-63 30-58
58-1 32-1
58-2 32-2
58-3 32-3
58-4 32-4
58-5 32-5
62-1 2-62
62-2 2-63
62-3 2-64
66-31 34-19
66-32 34-20
66-33 34-21
70-1 36-1
70-3 36-2
70-31 36-23
70-32 36-24
70-33 36-25
70-34 36-26
70-35 36-27
70-61 36-58
70-62 36-59
70-63 36-60
70-64 36-61
— 36-65
70-65 36-62
70-66 36-63
70-67 36-64
70-69 36-66
70-70 36-67
74-1 38-1
74-2 38-2
74-3 38-3
74-31 38-25
74-32 38-26
74-33 38-27
78-2 40-1
78-32 40-23
78-33 40-24
82-1 42-1
82-2 42-2
82-4 42-3
82-5 42-4
82-6 42-5
82-7 42-6
82-8 42-7
82-10 42-8
82-11 42-9
82-41 42-41
86-1 44-1
86-2 44-2
86-3 44-3
86-4 44-4
86-5 44-5
86-6 44-6
86-7 44-7
86-8 44-8
86-9 44-9
86-10 44-10
86-11 44-11
86-41 44-43
86-42 44-44
86-43 44-45
86-91 44-85
86-92 44-86
86-93 44-87
86-94 44-88
86-95 44-89
86-96 44-90
86-97 44-91
86-98 44-92
86-99 44-93
90-31 22-89
90-32 22-90
90-33 22-91
90-34 22-92
90-61 22-113
90-62 22-114
90-63 22-115
90-64 22-116
90-65 22-117
90-91 22-148
90-92 22-149
90-93 22-150
90-94 22-151
90-95 22-152
90-96 22-153
90-97 22-154
90-98 22-155
90-99 22-156
