CODE COMPARATIVE TABLE - ORDINANCES IN 2017 CODE
This table gives the location of ordinances and other legislation within the 2017 Code.
EXPAND
Legislation Date Section 2017 Code

§
Ord. of 10-4-1982 10-4-1982 3 1-6
Ord. of 9-8-1998 9-8-1998 1.1 22-90
1.2 22-89
2.2 22-92
3.1 22-148
3.2 22-149
3.3 22-150
3.4 22-151
3.5 22-152
3.6 22-153
3.7 22-154
3.8 22-155
3.9 22-156
4.1 22-113
4.2 22-113
5.1 22-114
5.2 22-114
5.3 22-114
5.4 22-114
5.5 22-114
6.1 22-115
6.2 22-91
— 22-115
7 22-116
8 22-117
Ord. of 10-4-1999 10-4-1999 1 44-4
2 44-4
Ord. of 5-1-2000(1) 5-1-2000 1 36-24
1(b) 36-1
2 36-25
3 36-2
3(a) 36-1
3(b) 36-23
3(c) 36-23
3(d) 36-23
3(e) 36-23
3(f) 36-23
3(g) 36-23
3(h) 36-23
3(i) 36-23
Ord. of 5-1-2000(2) 5-1-2000 9-3-02 10-2
9-3-10 10-31
9-3-11 10-32
9-3-12 10-33
9-3-13 10-211
9-3-14 10-212
9-3-15 10-213
9-3-17 10-55
9-3-18 10-127
9-3-20 10-56
9-3-30 10-57
9-3-31 10-91
9-3-32 10-92
9-3-33 10-93
9-3-34 10-66
9-3-40 10-59
9-3-41 10-60
9-3-42 10-61
9-3-43 10-62
9-3-44 10-63
9-3-45 10-64
9-3-46 10-65
9-3-50 10-94
9-3-51 10-95
9-3-52 10-96
9-3-53 10-97
9-3-54 10-98
9-3-55 10-99
9-3-56 10-100
9-3-57 10-101
9-3-58 10-102
9-3-59 10-103
9-3-60 10-104
9-3-61 10-105
9-3-62 10-106
9-3-70 10-126
9-3-71 10-128
9-3-80 10-1
9-3-81 10-3
9-3-82 10-29
9-3-83 10-30
9-3-84(A) 10-4
9-3-85 10-5
Ord. of 10-2-2000 10-2-2000 1(exh. A) 36-58—36-67
Ord. of 1-2-2001 1-2-2001 1 30-4
Ord. of 8-6-2001 8-6-2001 1(exh. A) 8-1—8-17
Ord. of 12-3-2001 12-3-2001 1 44-45
2 44-45
3 44-45
4 44-45
Ord. of 6-3-2002(1) 6-3-2002 — 44-11
Ord. of 9-9-2002(1) 9-9-2002 1 24-83
2 24-83
3 24-83
4 24-83
Ord. of 9-9-2002(2) 9-9-2002 1 44-12
2 44-12
3 44-12
4 44-12
5 44-12
Ord. of 9-6-2004 9-6-2004 1(1.1) 12-27
1(1.2) 12-28
1(1.3) 12-29
1(1.4) 12-30
— 12-105
1(1.5) 12-31
1(1.6) 12-32
1(1.7) 12-33
1(1.8) 12-34
1(1.9) 12-35
1(1.10) 12-36
1(1.20) 12-61
1(1.21) 12-62
1(1.22) 12-63
1(1.23) 12-64
1(1.24) 12-65
1(1.26) 12-66
1(1.27) 12-67
1(1.28) 12-68
1(1.29) 12-69
1(1.30) 12-70
1(1.31) 12-71
1(1.32) 12-72
1(1.34) 12-73
1(1.41) 12-106
1(1.42) 12-107
1(1.43) 12-108
1(1.44) 12-109
1(1.45) 12-110
Ord. of 5-2-2005 5-2-2005 1 24-50
2 24-51
3 24-52
4 24-53
5 24-54
Ord. No. 08-06 9-2-2008 1 40-22
2 40-22
Ord. of 10-5-2009 10-5-2009 3(42-51) 22-56
3(42-52) 22-57
3(42-53) 22-58
3(42-54) 22-59
3(42-55) 22-60
3(42-56) 22-61
3(42-57) 22-62
3(42-58) 22-63
