SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Resolutions that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Resolutions that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Res. No. Date
Adopted Included/
Omitted Supp. No.
09-024  7-20-09 Omitted 15
09-025  8- 3-09 Omitted 15
09-026  8- 3-09 Omitted 15
09-027  8-17-09 Included 15
09-028  8-17-09 Omitted 15
09-029  9-21-09 Omitted 15
09-031  9-22-09 Omitted 15
09-032 10- 5-09 Omitted 15
09-033 10- 5-09 Omitted 15
09-034 10- 5-09 Omitted 15
09-035 10- 5-09 Omitted 15
09-036 11-16-09 Omitted 15
12-14-09 Omitted 15
10-001  1- 4-10 Omitted 15
10-002  1- 4-10 Omitted 15
10-003  1-20-10 Omitted 15
10-004  1-20-10 Omitted 15
10-005  3- 1-10 Omitted 15
10-006  3-15-10 Omitted 15
10-007  3-15-10 Omitted 15
10-008  3-18-10 Omitted 15
10-009  4- 5-10 Omitted 15
10-011  4- 5-10 Omitted 15
10-012  4- 5-10 Omitted 15
10-013  4- 5-10 Omitted 15
10-014  4- 5-10 Omitted 15
10-015  4-19-10 Omitted 15
10-016  4-19-10 Omitted 15
10-017  4-19-10 Omitted 15
10-018  4-19-10 Omitted 15
10-019  5-10-10 Omitted 15
10-020  5-17-10 Omitted 15
10-021  6- 7-10 Omitted 15
10-022  6-14-10 Omitted 15
10-023  6-21-10 Omitted 15
10-024  6-21-10 Included 15
10-024A  6-21-10 Omitted 15
10-025  6-28-10 Omitted 15
10-026  6-28-10 Omitted 15
10-027  6-28-10 Omitted 15
10-029  7-19-10 Omitted 15
10-030  8- 2-10 Omitted 15
10-031  7-26-10 Omitted 15
10-032  8- 2-10 Omitted 15
10-037  8-16-10 Omitted 15
10-039 11- 1-10 Included 15
10-040 11-15-10 Omitted 15
10-041 12- 6-10 Omitted 15
10-042 12-20-10 Omitted 15
10-043 12-20-10 Omitted 15
11-001  1-24-11 Included 16
11-002  1-24-11 Omitted 16
11-003  2- 7-11 Omitted 16
11-004  2- 7-11 Omitted 16
11-005  3-22-11 Included 16
11-006  3- 7-11 Omitted 16
11-007  3- 7-11 Omitted 16
11-008  3-14-11 Omitted 16
11-009  4- 4-11 Omitted 16
11-010  5- 9-11 Omitted 16
11-011  5-23-11 Omitted 16
11-012  5-23-11 Omitted 16
11-013  6- 6-11 Omitted 16
11-014  6-27-11 Omitted 16
11-015  7-11-11 Omitted 16
11-016  7-11-11 Omitted 16
11-017  6-27-11 Omitted 16
11-018  7-11-11 Omitted 16
11-019  7-18-11 Omitted 16
11-020  8- 1-11 Omitted 16
11-021  8- 1-11 Omitted 16
11-022  8- 1-11 Omitted 16
11-023 10- 3-11 Omitted 16
11-024 10- 3-11 Omitted 16
11-025 10- 3-11 Omitted 16
11-026 10- 3-11 Omitted 16
11-027(Ord.) 10-25-11 Included 16
11-028 10-24-11 Omitted 16
11-029 12-11-11 Omitted 16
11-030 12-19-11 Omitted 16
11-031 12-19-11 Omitted 16
12-001  1-23-12 Included 17
12-002  1-23-12 Omitted 17
12-003  1-23-12 Omitted 17
12-004  1-23-12 Omitted 17
12-005  1-23-12 Omitted 17
12-006  2-20-12 Omitted 17
12-007  3- 5-12 Omitted 17
12-008  4-16-12 Omitted 17
12-009  5-21-12 Included 17
12-010  6- 4-12 Omitted 17
12-011  6- 4-12 Omitted 17
12-012  6- 4-12 Omitted 17
12-013  6-18-12 Omitted 17
12-014  6-18-12 Omitted 17
12-015(1)  6-25-12 Omitted 17
12-015(2)  6-25-12 Omitted 17
12-016  6-25-12 Omitted 17
12-017  7-16-12 Omitted 17
12-018  7-16-12 Omitted 17
12-019  7-16-12 Omitted 17
12-020  7-16-12 Included 17
12-022  8-20-12 Omitted 17
12-023  8-27-12 Omitted 17
12-024  9-25-12 Omitted 17
12-025 10-15-12 Omitted 17
12-026 10-23-12 Omitted 17
12-027 11- 5-12 Omitted 17
12-028 11- 5-12 Omitted 17
12-029 11-26-12 Omitted 17
12-030 11-26-12 Included 17
12-031 12-17-12 Omitted 17
14-001  1- 6-14 Omitted 18
14-002  1- 6-14 Included 18
14-003  1-27-14 Omitted 18
14-004  1-27-14 Omitted 18
14-005  1-27-14 Omitted 18
14-006  1-27-14 Omitted 18
14-007  2-24-14 Omitted 18
14-008  6- 2-14 Omitted 18
14-009  6-16-14 Omitted 18
14-010  6-16-14 Omitted 18
14-011  7- 7-14 Omitted 18
14-012  7- 7-14 Omitted 18
14-013  7- 7-14 Omitted 18
14-014  7-21-14 Omitted 18
14-015  8- 4-14 Omitted 18
14-016  9- 8-14 Omitted 18
14-017  9-15-14 Omitted 18
14-018  9-22-14 Omitted 18
14-019 10-27-14 Omitted 18
14-020 11-17-14 Included 18
14-021 12-15-14 Omitted 18
14-022 12-15-14 Omitted 18
14-023 12-15-14 Included 18
2015-001  2- 2-15 Omitted 18
15-002  3- 2-15 Omitted 18
15-003  4- 6-15 Omitted 18
15-004  4- 6-15 Omitted 18
15-005  6-15-15 Omitted 18
15-006  6-15-15 Omitted 18
15-007  6-15-15 Omitted 18
15-008  6-15-15 Omitted 18
15-009  7- 6-15 Omitted 18
15-010  7-20-15 Omitted 18
15-011  8-17-15 Omitted 18
15-012  8-17-15 Omitted 18
15-013  8-17-15 Omitted 18
15-014  8-17-15 Omitted 18
15-015  9-21-15 Omitted 18
15-016  9-21-15 Omitted 18
15-017 10- 5-15 Omitted 18
15-018 10-19-15 Omitted 18
15-019 10-19-15 Omitted 18
15-020 11- 2-15 Omitted 18
2015-021 11- 2-15 Omitted 18
15-022 11- 2-15 Omitted 18
15-023 11-16-15 Omitted 18
15-024 12- 7-15 Omitted 18
15-025 12- 7-15 Omitted 18
15-026 12- 7-15 Omitted 18
15-027 12- 7-15 Omitted 18
15-028 12-14-15 Omitted 18
15-029 12-14-15 Omitted 18
16-001  1- 4-16 Omitted 18
16-002  1-19-16 Omitted 18
16-003  1-19-16 Omitted 18
16-004  1-25-16 Omitted 18
16-005  2- 1-16 Omitted 18
16-006  2- 1-16 Omitted 18
16-007  2- 1-16 Omitted 18
16-008  2- 1-16 Omitted 18
16-009  2- 1-16 Omitted 18
16-010  2- 1-16 Omitted 18
16-011  3- 7-16 Omitted 18
16-012  3- 7-16 Omitted 18
16-013  3- 7-16 Omitted 18
16-014  3-21-16 Omitted 18
16-015  4- 4-16 Included 18
16-016  4-11-16 Omitted 18
16-017  4-18-16 Omitted 18
16-018  4-18-16 Omitted 18
16-023  6- 9-16 Omitted 18
05-006  2- 7-05 Included 19
16-019  5-16-16 Omitted 19
16-020  6- 6-16 Omitted 19
16-021  6- 6-16 Omitted 19
16-022  6- 6-16 Omitted 19
16-024  6-20-16 Omitted 19
16-025  6-20-16 Omitted 19
16-026  6-20-16 Omitted 19
16-027  6-27-16 Omitted 19
16-028  7-11-16 Omitted 19
16-029  7-11-16 Omitted 19
16-030  7-18-16 Omitted 19
16-031  7-18-16 Omitted 19
16-032  7-27-16 Omitted 19
16-033  8- 1-16 Omitted 19
16-034  8- 1-16 Omitted 19
16-035  8- 1-16 Omitted 19
16-036  8- 1-16 Omitted 19
16-038  8-15-16 Omitted 19
16-039  8-15-16 Omitted 19
16-040  8-29-16 Omitted 19
16-041  8-29-16 Omitted 19
16-042  8-29-16 Omitted 19
16-043  9-12-16 Omitted 19
16-044  9-12-16 Omitted 19
16-045  9-19-16 Omitted 19
16-046  9-19-16 Omitted 19
16-047 10-10-16 Omitted 19
16-048 10-17-16 Omitted 19
16-049 10-17-16 Omitted 19
16-050 10-17-16 Omitted 19
16-051 11- 7-16 Omitted 19
16-052 11- 7-16 Omitted 19
16-053 11-22-16 Omitted 19
16-054 12- 5-16 Omitted 19
16-055 12- 5-16 Omitted 19
16-056 12-12-16 Omitted 19
16-057 12-12-16 Omitted 19
17-001  1-30-17 Omitted 19
17-002  1-30-17 Omitted 19
17-003  1-30-17 Omitted 19
17-004  1-30-17 Omitted 19
17-005  2- 6-17 Omitted 19
17-006  2- 6-17 Omitted 19
17-007  2- 6-17 Omitted 19
17-008  2-16-17 Omitted 19
17-009  2-20-17 Omitted 19
17-010  3- 6-17 Omitted 19
17-011  3-20-17 Omitted 19
17-012  4- 6-17 Omitted 19
17-013  4-17-17 Omitted 19
17-014  4-24-17 Omitted 19
17-015  4-24-17 Omitted 19
17-016  4-24-17 Omitted 19
17-017  4-24-17 Omitted 19
17-018  5- 8-17 Omitted 19
17-019  5- 8-17 Omitted 19
17-020  5- 8-17 Omitted 19
17-021  6- 5-17 Omitted 19
17-022  6- 5-17 Omitted 19
17-023  6-13-17 Omitted 19
17-024  6-19-17 Omitted 19
17-025  6-19-17 Omitted 19
17-026  6-19-17 Omitted 19
17-027  6-19-17 Omitted 19
17-028  6-19-17 Omitted 19
17-029  6-19-17 Omitted 19
17-030  6-26-17 Omitted 19
17-031  6-26-17 Omitted 19
17-032  7-10-17 Omitted 19
17-033  7-31-17 Omitted 19
17-034  8- 7-17 Omitted 19
17-035  8- 7-17 Omitted 19
17-036  8- 7-17 Omitted 19
17-037  8-16-17 Omitted 19
17-038  8-28-17 Omitted 19
17-039  8-28-17 Omitted 19
17-040  8-28-17 Omitted 19
17-041  9-18-17 Omitted 19
17-042  9-25-17 Omitted 19
17-043  9-25-17 Omitted 19
17-044 10- 2-17 Omitted 19
17-045 10-16-17 Omitted 19
17-046 10-16-17 Omitted 19
17-047 10-16-17 Omitted 19
17-048 10-16-17 Omitted 19
17-049 11- 6-17 Omitted 19
17-050 11- 6-17 Omitted 19
17-051 11- 6-17 Omitted 19
17-052 11- 6-17 Omitted 19
17-053 11- 6-17 Omitted 19
